报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),15020,17352,10260,6595,9880,11864,16636,21272,16002,4139,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1863,1462,862,441,759,75,153,50,150,90,
应收账款(万元),34673,30324,29099,25530,23168,19816,16288,10531,8580,7736,
预付款项(万元),7,915,7,6,20,37,16,6844,8291,18051,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),5088,1887,1351,1211,933,1239,1043,722,528,647,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
存货(万元),44,89,--,--,--,--,--,1518,1269,1025,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),40636,8680,10020,8256,12190,6362,79,12,12,9,
流动资产合计(万元),97330,60709,51599,42039,46950,39393,34215,40949,34832,31696,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,1287,1357,--,--,--,--,--,--,--,
固定资产原值(万元),39998,38358,38407,39820,--,--,--,--,--,--,
累计折旧(万元),23619,22071,20497,18595,--,--,--,--,--,--,
固定资产净值(万元),16379,16287,17910,21225,--,--,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,
固定资产(万元),16379,16287,17910,21225,21658,31672,24174,26253,23318,21664,
在建工程(万元),45,--,--,--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,
无形资产(万元),912,802,854,672,560,611,702,671,322,251,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,171,171,171,
长期待摊费用(万元),41,95,139,200,265,52,69,26,--,12,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),2872,4520,3791,3096,2691,2207,2078,3172,2728,1968,
其他非流动资产(万元),--,14,--,--,1430,--,8454,--,--,--,
非流动资产合计(万元),20249,23005,24051,25193,26604,34543,35478,30293,26539,24066,
资产总计(万元),117579,83714,75650,67232,73554,73935,69693,71241,61371,55762,
短期借款(万元),--,--,130,--,1900,4900,7100,13500,11000,11000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,
应付账款(万元),7335,2284,1998,1082,860,1194,1501,834,405,811,
预收账款(万元),1675,3297,2636,2628,4216,3398,2130,482,502,455,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),13335,12141,12092,10179,8075,7748,7278,2541,1979,1485,
应交税费(万元),1457,3666,2985,2078,2584,2740,1373,2212,2541,1119,
应付利息(万元),--,--,--,--,3,14,24,32,28,26,
应付股利(万元),--,--,--,--,--,--,--,2940,--,360,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),886,795,409,702,851,1394,680,9009,8274,7649,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,2900,2900,3000,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),24688,22183,20251,16670,18490,24289,22987,34549,24729,22904,
长期借款(万元),--,--,--,--,--,--,2900,2800,5800,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),260,275,289,289,156,136,210,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),260,275,289,289,156,136,3110,2800,5800,0,
负债合计(万元),24948,22458,20540,16958,18646,24425,26097,37349,30529,22904,
实收资本(或股本)(万元),21040,15780,15780,15780,15780,15780,15780,10520,10000,10000,
