报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),117171,67241,46788,40946,48733,73942,43757,56374,66768,21369,20214,17441,13248,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
交易性金融资产(万元),--,--,--,--,68,119,156,--,--,1,37,3,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应收票据(万元),34014,31217,25676,21928,22969,20248,12205,14649,8714,6682,3231,2393,2009,
应收账款(万元),81220,72089,61431,54012,50852,46557,37269,33080,31958,26744,19395,23191,14230,
预付款项(万元),1812,1292,1922,1807,1702,1791,1450,3754,8232,1653,776,1118,944,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应收股利(万元),--,--,--,--,--,--,1200,--,800,0,--,--,0,
其他应收款(万元),2498,1897,1813,2173,1692,1272,836,1094,887,852,2643,1857,1744,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
存货(万元),121370,79517,61915,72467,66467,51463,47216,48315,31391,29154,30932,28759,25205,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动资产(万元),250,500,29,392,--,1000,--,--,--,0,--,--,0,
其他流动资产(万元),13565,19332,45607,31354,32643,45002,16207,21500,--,0,--,--,1200,
流动资产合计(万元),371899,273086,245181,225079,225126,241394,160296,178765,148750,86454,77227,74762,58581,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
可供出售金融资产(万元),1726,1726,1226,1279,279,--,3276,3222,--,1290,5217,31886,9277,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
长期应收款(万元),4200,2380,750,500,300,300,1000,1000,--,0,--,--,0,
长期股权投资(万元),30883,8321,8546,8104,10374,13351,11252,12609,16731,12862,9164,14551,6757,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
固定资产原值(万元),411930,332600,248239,220180,205889,180359,171762,151292,126013,113843,109742,97200,79537,
累计折旧(万元),156095,129757,112592,100588,98190,83049,70949,56164,56913,45668,34767,24397,15909,
固定资产净值(万元),255835,202843,135646,119593,107699,97310,100814,95129,69100,68175,74975,72804,63628,
固定资产减值准备(万元),103,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产(万元),255733,202843,135646,119593,107699,97310,100814,95129,69100,68175,74975,72804,63628,
在建工程(万元),--,94943,90548,55240,38513,40110,38544,24057,13467,2838,747,8661,8491,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
