报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),84089,72320,176727,19160,22206,20651,23803,28538,41418,4650,3170,6944,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,0,156,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),3606,5220,3389,3460,2032,2567,1763,904,2102,1464,690,1257,
应收账款(万元),50891,37099,21757,13616,14111,11235,8537,7422,6063,4953,4563,3251,
预付款项(万元),17539,14771,2086,1368,1513,1061,1139,1377,1028,999,755,444,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),3909,2387,2267,855,617,646,358,416,397,401,279,274,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),28458,19944,15130,16881,19315,15121,16376,16769,10926,7514,10254,6566,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他流动资产(万元),34361,93770,712,69,214,83,--,484,--,201,452,130,
流动资产合计(万元),222853,245511,222068,55409,60008,51366,51976,55910,61934,20182,20320,18865,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),9032,8804,2300,2212,506,--,--,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期应收款(万元),562,613,--,--,--,--,--,--,--,0,0,0,
长期股权投资(万元),10418,10004,9314,9885,9162,7760,7284,3801,2803,2519,2733,2526,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),3312,--,--,--,--,--,--,--,1353,1132,0,0,
固定资产原值(万元),71346,44393,38560,35141,31160,28839,23934,22121,17073,13819,8770,7205,
累计折旧(万元),21276,17637,14179,11632,9366,7625,5909,4370,3822,2818,2488,1919,
固定资产净值(万元),50070,26756,24381,23509,21794,21214,18025,17751,13252,11001,6282,5286,
固定资产减值准备(万元),116,116,116,116,133,144,144,144,148,148,148,148,
固定资产(万元),49955,26640,24266,23394,21661,21070,17881,17607,13104,10853,6134,5138,
在建工程(万元),3757,2225,2932,2770,2357,379,2706,746,2630,403,5473,1581,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
