报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
货币资金(万元),263286300,298825600,284926100,240154400,261078100,247500100,245806900,237980900,184802900,145864800,124745000,84372400,53967300,42276600,39936600,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
拆出资金(万元),34972700,32523300,26067000,31077900,24852500,15206500,12965300,10904000,6396200,2221700,1683600,6469000,3076100,15441200,6899300,
交易性金融资产(万元),73121700,57843600,48837000,27117300,33223500,36405000,2757200,2309600,1734400,1887100,5030900,2981900,561600,243300,71500,
衍生金融资产(万元),5060100,8298000,8978600,3149900,1376900,1891000,1267100,1412700,1122400,945600,2129900,1463200,1451400,1214600,162400,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收账款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收利息(万元),--,11699300,10164500,9661200,9149500,8073100,6826400,5677600,4408800,4034500,3831700,3390000,2129200,1706900,1264500,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
买入返售金融资产(万元),20184500,20836000,10317400,31072700,27375100,28144700,31668500,20004500,18107500,58960600,20854800,13724500,3337100,7116700,3702200,
存货(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
发放贷款及垫款(万元),1336543000,1257447300,1148835500,1023452300,922291000,836136100,730987900,632519400,552602600,469294700,368357500,318322900,279588300,239531300,217356200,
可供出售金融资产(万元),--,155068000,163383400,106675200,92617000,76029200,70104100,67505800,69684800,65148000,55083800,42945500,31846300,32352800,18301200,
持有至到期投资(万元),--,258672200,243841700,256398000,229866300,210053800,191832200,174356900,188405700,140887300,104178300,119103500,103871300,64397800,48979100,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
长期股权投资(万元),800200,706700,731800,498600,308400,262400,236600,206900,177700,--,172800,126400,34600,20300,26000,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
固定资产原值(万元),29340900,28468300,27688300,25688800,23644600,21129000,17984000,15161900,13327300,11672200,9924300,8615100,7737700,7052900,6469900,
累计折旧(万元),12341100,11458500,10629200,9685600,8433500,7512400,6545600,5693000,4935400,4152600,3476300,2921600,2527500,2112000,1707500,
