报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
货币资金(万元),7220500,8109000,5075700,4785000,4350200,4627200,6168100,6906000,7536600,7346700,5949100,5343600,1550900,1989100,719300,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
交易性金融资产(万元),3245200,10800,5400,1200,44200,49500,71900,93300,48000,33100,50900,3700,--,0,14500,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
应收票据(万元),456700,613600,439400,1764900,616800,517800,90800,97300,205400,121000,71100,75600,54900,17400,19400,
应收账款(万元),848800,1331900,1617900,2337000,2374600,2204300,1912000,1239200,859100,757100,752500,588600,431100,250800,271900,
预付款项(万元),258900,237300,314100,361300,591000,449400,302400,225600,108600,112200,68700,268200,245700,77500,166500,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
其他应收款(万元),--,273600,289600,347800,312800,315600,357600,297100,214800,103100,114100,256900,55200,39900,143000,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
存货(万元),996700,1164700,1334100,1281600,1579000,1764100,1517100,1262800,1116700,772700,784200,633700,476100,357200,269100,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
其他流动资产(万元),1678400,1523500,4270100,1224800,1995100,2212900,716100,672400,310300,0,0,42400,5000,10000,0,
流动资产合计(万元),23329600,13264400,13346300,12103600,11863700,12140800,11136000,10793700,10399500,9245900,7790600,7212700,3018900,2741900,1603700,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
可供出售金融资产(万元),--,85400,180000,179500,179500,--,--,--,--,0,0,0,200000,0,0,
持有至到期投资(万元),935200,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
长期股权投资(万元),998300,944900,507800,504900,495200,583500,557900,383300,421000,428500,390200,381100,367000,407300,317400,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
固定资产原值(万元),39996400,51054000,49895100,48086200,39538100,36211000,31923600,28531000,23274300,20624300,17742100,15554000,12869800,0,0,
累计折旧(万元),15776600,19452500,17587400,15663800,13410700,12025600,10312200,8565200,7084500,5878300,4443800,3862000,2988900,0,0,
固定资产净值(万元),24219800,31601500,32307700,32422400,26127400,24185400,21611400,19965800,16189800,14746000,13298300,11692000,9862500,0,0,
固定资产减值准备(万元),497100,679700,658800,527100,136500,143600,127800,129800,126300,109800,91400,55000,18400,0,0,
固定资产(万元),23722700,30921800,31648900,31895300,25990900,24041800,21483600,19836000,16063500,14636200,13206900,11637000,9862500,7378200,6775400,
在建工程(万元),--,3831800,3162700,3226300,7732600,7457700,6052300,3362900,2960300,2848500,2754400,1871300,1110200,1747100,912000,
工程物资(万元),--,73600,359300,134700,159800,148800,61900,54000,158600,456000,547300,364500,301300,169100,323100,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
无形资产(万元),3646300,3825500,3850200,3575700,3339500,3345000,3269800,3136500,2809700,2564200,2380600,2131000,1497400,1422600,1145100,
开发支出(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
商誉(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
长期待摊费用(万元),366400,401700,269300,248200,328000,330600,317500,293600,171100,90400,95500,100700,104300,123300,116400,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
递延所得税资产(万元),341800,418400,436300,320300,256100,235000,226000,231900,75700,61100,37900,90100,70400,55300,33400,
其他非流动资产(万元),1644000,2944900,3405600,3208000,2914300,2484200,2220600,1662900,867400,720600,637300,93700,--,0,0,
非流动资产合计(万元),35394300,43448000,43820100,43292900,41395900,38626600,34189600,28961100,23527300,21805500,20050100,16669400,13313100,11302900,9622800,
资产总计(万元),58723900,56712400,57166400,55396500,53259600,50767400,45325600,39754800,33926800,31051400,27840700,23882100,16332000,14044800,11226500,
短期借款(万元),200000,949300,438400,643500,1224600,2815500,2184400,501100,820100,1614700,1311900,490300,925500,575100,824100,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
交易性金融负债(万元),--,1200,--,--,--,--,--,--,--,0,0,0,24600,22300,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
应付票据(万元),130500,232600,317400,247300,438700,140100,52300,6400,--,49000,100,16900,66800,137600,74100,
应付账款(万元),2557900,3158800,3198200,3151700,3389900,3639900,3054900,2360400,1826400,1340000,964100,890500,846500,522500,367000,
预收账款(万元),--,553000,419600,362400,438600,460100,456900,485900,351800,257900,203300,122800,102300,81700,59800,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
应付职工薪酬(万元),394700,404200,372700,339700,325200,422200,390800,369500,301200,263600,253900,153700,134700,126800,111000,
应交税费(万元),986800,1301200,1037600,553600,624000,579900,1082300,1254600,955000,791800,575300,424400,403200,243700,235300,
应付利息(万元),--,47200,70500,78400,77900,41100,36700,25500,16200,15000,17900,15100,7300,4600,1200,
应付股利(万元),--,414900,266500,278600,150100,253700,251000,240500,116100,107900,14300,153800,--,0,200,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
其他应付款(万元),--,3038200,2315700,3335700,2681300,2734300,2393200,2346100,694200,490500,389000,307700,244900,192900,210400,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
应付短期债券(万元),--,--,--,--,--,998200,--,--,--,0,0,145300,--,0,0,
一年内到期的非流动负债(万元),422900,1489900,2781900,658000,536400,1065900,653200,1164900,809000,638000,509400,529300,567500,376400,561600,
其他流动负债(万元),--,--,--,499800,999400,--,--,--,--,0,0,87300,--,0,0,
流动负债合计(万元),12338100,11590500,11218500,10148700,10886100,13150900,10555700,8754900,5890000,5568400,4265600,3337100,3323300,2283600,2444700,
长期借款(万元),4676500,6432100,5846200,5417900,3872600,3708400,3962400,4401300,4873000,5393100,5604500,4971800,4084000,3993300,4633200,
应付债券(万元),682300,648500,1531600,3460600,2493300,495800,--,--,--,0,0,0,--,0,0,
长期应付款(万元),--,223600,238300,252300,154600,186700,255800,234600,177700,231400,276500,523900,337000,309100,33000,
专项应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
预计非流动负债(万元),326900,280100,261700,219700,210200,197300,192100,172400,157700,151300,186900,101800,94200,85200,65000,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
递延所得税负债(万元),53700,74900,79700,81600,80100,74600,80000,43700,31500,31500,93200,65900,72900,61100,42500,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
非流动负债合计(万元),5940800,7659200,7957500,9432100,6810800,4662800,4490300,4852000,5239900,5807300,6161100,5663400,4588100,4448700,4773700,
负债合计(万元),18278900,19249700,19176000,19580800,17696900,17813700,15046000,13606900,11129900,11375700,10426700,9000500,7911400,6732300,7218400,
实收资本(或股本)(万元),1989000,1989000,1989000,1989000,1989000,1989000,1989000,1989000,1989000,1989000,1989000,1989000,1809000,1809000,1500000,
资本公积(万元),7472000,7473000,7472900,7472900,7773900,7768600,8195900,8259800,8830200,8818100,8814400,8770100,2377200,2442500,361200,
减:库存股(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
专项储备(万元),1510700,1306000,939400,657000,463800,359800,510500,458000,297600,222500,0,0,--,0,0,
盈余公积(万元),1143300,1143300,1143300,1143300,1143300,1143300,1143300,1143300,1143300,1143300,1006400,626300,425700,283200,19400,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
未分配利润(万元),20721300,18240700,19678600,18040500,17844200,15980700,13398000,10402500,7363300,4698700,3098400,1439600,1979800,1220600,769300,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,
外币报表折算差额(万元),--,--,--,--,--,-5200,73400,62600,68300,61000,-11500,0,--,0,0,
归属于母公司股东权益合计(万元),32776300,30148700,31235700,29279000,29178900,27236200,25310100,22315200,19691700,16932600,14896700,12825000,6591700,5755300,2649900,
少数股东权益(万元),7668700,7314000,6754700,6536700,6383800,5717500,4969500,3832700,3105200,2743100,2517300,2056600,1828900,1557200,1358200,
所有者权益(或股东权益)合计(万元),40445000,37462700,37990400,35815700,35562700,32953700,30279600,26147900,22796900,19675700,17414000,14881600,8420600,7312500,4008100,
负债和所有者权益(或股东权益)总计(万元),58723900,56712400,57166400,55396500,53259600,50767400,45325600,39754800,33926800,31051400,27840700,23882100,16332000,14044800,11226500,		
  
