报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),8512,30147,12567,8048,10513,6779,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),6384,5086,3514,3872,3150,3050,
应收账款(万元),16556,14737,11136,9571,8357,7732,
预付款项(万元),403,691,476,185,117,111,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),358,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),607,284,127,132,215,1246,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),3990,3196,2867,2989,2986,3176,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),23027,--,110,--,--,--,
流动资产合计(万元),59838,54142,30798,24796,25337,22093,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),21220,19620,17755,9928,9403,--,
累计折旧(万元),7044,6050,5088,4449,3867,--,
固定资产净值(万元),14176,13570,12667,5479,5536,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),14176,13570,12667,5479,5536,4214,
在建工程(万元),--,462,36,6198,3828,409,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),6098,6259,6403,6424,3343,1215,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),1049,860,545,403,474,527,
其他非流动资产(万元),623,--,--,33,1608,5780,
非流动资产合计(万元),21946,21151,19651,18537,14788,12146,
资产总计(万元),81784,75293,50450,43333,40126,34239,
短期借款(万元),--,--,2000,2000,4000,2000,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,
应付账款(万元),4097,5093,4985,4751,3553,3436,
预收账款(万元),454,338,312,285,200,207,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),386,217,160,136,167,199,
应交税费(万元),1816,1557,1738,1351,1408,1255,
应付利息(万元),--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),11952,10674,6537,4636,4985,5241,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),18704,17879,15732,13160,14313,12339,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),1744,1856,1936,1285,1194,816,
递延所得税负债(万元),175,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),1920,1856,1936,1285,1194,816,
负债合计(万元),20624,19734,17668,14444,15506,13155,
实收资本(或股本)(万元),8667,8667,6500,6500,6500,6500,
资本公积(万元),27130,27130,10893,10889,10889,11426,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),2566,1930,1494,1139,734,326,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),22797,17831,13895,10297,6438,2902,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),61160,55558,32782,28825,24562,21153,
少数股东权益(万元),--,--,--,64,58,-69,
所有者权益(或股东权益)合计(万元),61160,55558,32782,28889,24619,21084,
负债和所有者权益(或股东权益)总计(万元),81784,75293,50450,43333,40126,34239,		
  
