报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),18379,56952,18726,11874,13585,7197,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),725,--,100,1620,6381,6541,
应收账款(万元),83551,50290,44169,34935,35593,23022,
预付款项(万元),3379,2419,1955,1552,1478,841,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),4882,1454,5140,603,17413,775,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),64013,55373,37189,43074,25684,14684,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),2692,2846,3977,3178,1448,--,
流动资产合计(万元),177622,169335,111256,96836,101582,53059,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),207,69,69,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),78645,63326,51565,32284,13252,--,
累计折旧(万元),32481,22636,14145,8811,5503,--,
固定资产净值(万元),46164,40690,37420,23472,7749,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),46164,40690,37420,23472,7749,5158,
在建工程(万元),6023,3689,949,1738,6971,271,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),26929,5677,4261,4174,4602,5079,
开发支出(万元),7199,7236,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),6552,6277,4006,4764,29,420,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),2108,1664,695,474,588,314,
其他非流动资产(万元),1607,488,5608,3373,4982,159,
非流动资产合计(万元),96790,65790,53008,37995,24921,11401,
资产总计(万元),274411,235126,164264,134831,126503,64460,
短期借款(万元),30000,11000,--,--,9544,--,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),18880,22107,20707,--,8867,2429,
应付账款(万元),100570,84705,69711,78058,55566,20662,
预收账款(万元),243,402,269,1079,282,33,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),2761,2917,2563,6569,4018,990,
应交税费(万元),313,720,449,1900,1146,211,
应付利息(万元),46,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,800,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),4380,2729,1779,4142,1314,1016,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),157192,124579,95477,91750,80736,26141,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),2318,2645,293,150,150,150,
递延所得税负债(万元),2152,1701,1043,346,89,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),4470,4347,1336,496,239,150,
负债合计(万元),161662,128926,96813,92246,80975,26291,
实收资本(或股本)(万元),12878,9787,7340,6550,7500,7500,
资本公积(万元),57678,58352,27968,10659,24990,24990,
减:库存股(万元),1867,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),4517,3701,3312,2678,1573,756,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),39578,34576,28905,22907,11729,5185,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),112749,106200,67451,42585,45528,38169,
少数股东权益(万元),--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),112749,106200,67451,42585,45528,38169,
负债和所有者权益(或股东权益)总计(万元),274411,235126,164264,134831,126503,64460,		
  
