报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),16488,13311,9924,25690,18859,21192,28753,56087,3896,5798,5233,751,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),26742,27838,24788,12283,14752,13392,11499,9032,4890,2221,1064,1793,
应收账款(万元),37637,33591,27359,24203,24963,17462,14553,12172,6170,4262,4259,3669,
预付款项(万元),3614,4079,3450,1672,3082,8486,18075,14829,3499,2068,5146,2196,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,558,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),61,1478,106,372,226,474,643,290,110,50,79,354,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),16377,13783,11546,12480,10438,14510,9675,7893,4672,4514,2648,4101,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),8332,12400,8542,20387,4847,3128,--,--,--,--,--,--,
流动资产合计(万元),109251,106480,85715,97085,77166,79203,83198,100304,23236,18913,18430,12865,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),75166,66423,71845,68142,65838,56643,24810,16558,11669,6605,--,--,
累计折旧(万元),25986,23131,21640,16399,11127,6698,4638,3447,2423,1673,--,--,
固定资产净值(万元),49180,43292,50205,51743,54711,49945,20172,13111,9246,4932,--,--,
固定资产减值准备(万元),887,1105,1119,1119,859,903,539,--,--,--,--,--,
固定资产(万元),48292,42186,49085,50623,53852,49042,19633,13111,9246,4932,4552,4311,
在建工程(万元),11831,12609,548,130,187,2516,9983,4217,5635,4181,130,7,
工程物资(万元),100,370,31,--,--,--,--,84,159,842,--,0,
固定资产清理(万元),173,285,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),8210,8570,8774,5805,6170,6561,6694,6894,6185,5340,3036,1516,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),822,1088,602,463,442,413,366,188,147,90,78,66,
其他非流动资产(万元),2909,1561,2857,1033,1169,--,--,--,--,--,--,--,
非流动资产合计(万元),72338,66669,61897,58054,61820,58531,36677,24494,21372,15384,7795,5900,
资产总计(万元),181589,173150,147612,155139,138986,137734,119875,124798,44608,34298,26225,18765,
短期借款(万元),5912,500,--,11856,5752,6637,--,8623,10850,8559,8137,3400,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),8252,7167,7335,6637,5213,8430,2435,1902,1699,1405,549,3522,
预收账款(万元),477,967,883,553,747,649,611,1348,1886,1090,1810,1899,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),892,1009,842,771,225,130,305,14,50,60,32,192,
应交税费(万元),1882,1776,1084,1324,702,623,-333,565,560,257,167,197,
应付利息(万元),--,--,--,236,97,108,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),1892,2367,1224,1328,2014,1776,944,614,669,191,56,1621,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),19307,13786,11368,22706,14750,18354,3963,13066,15713,11562,10751,10831,
