报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),42232,29132,5722,2834,5046,4290,7984,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),11,--,23,12,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),12938,17775,12168,3515,915,671,651,
应收账款(万元),23122,16097,13596,13644,10546,7116,6307,
预付款项(万元),1591,606,483,654,278,354,165,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),5060,24,274,230,85,679,43,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),20877,10097,7594,8656,6252,2815,3435,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),27059,1433,3136,4952,4947,5584,3641,
流动资产合计(万元),132889,75165,42994,34497,28071,21508,22227,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),79049,70564,66167,--,--,--,--,
累计折旧(万元),2721,24478,19919,--,--,--,--,
固定资产净值(万元),76328,46086,46247,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),76328,46086,46247,42301,43046,29098,22304,
在建工程(万元),51720,12427,3533,7689,1796,4904,2811,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),4546,5463,5577,5718,3242,3236,3303,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),4492,434,339,315,104,201,--,
其他非流动资产(万元),4211,8260,538,619,53,111,192,
非流动资产合计(万元),141297,72671,56234,56642,48241,37550,28609,
资产总计(万元),274186,147835,99228,91139,76311,59058,50836,
短期借款(万元),34102,13864,9298,8550,4180,3901,2270,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),54527,32597,16500,4569,2576,1267,603,
应付账款(万元),52151,10975,9153,11319,11156,5601,3729,
预收账款(万元),140,27,23,35,25,37,20,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),1091,372,316,255,256,175,149,
应交税费(万元),2689,310,431,288,547,7,9,
应付利息(万元),139,44,50,30,24,22,23,
应付股利(万元),--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),21783,46,6,6,146,373,87,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),1883,1146,4574,6151,8689,1378,1773,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),168503,59381,40349,31204,27599,12761,8662,
长期借款(万元),32631,6085,899,5232,3621,8018,8829,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),--,11035,11032,13045,13721,11585,7804,
递延所得税负债(万元),2,--,3,2,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),32633,17120,11935,18279,17342,19602,16633,
负债合计(万元),201136,76502,52284,49483,44941,32363,25296,
实收资本(或股本)(万元),25939,25733,19300,19300,17153,17153,17153,
资本公积(万元),26451,25434,17323,17323,11526,10250,10250,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),3591,2087,978,424,214,--,--,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),17069,18080,9343,4610,2477,-708,-1863,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),73049,71334,46944,41656,31370,26695,25540,
少数股东权益(万元),--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),73049,71334,46944,41656,31370,26695,25540,
负债和所有者权益(或股东权益)总计(万元),274186,147835,99228,91139,76311,59058,50836,		
  
