报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),836,2562,4077,--,
结算备付金(万元),--,--,--,--,
拆出资金(万元),--,--,--,--,
交易性金融资产(万元),--,--,--,--,
衍生金融资产(万元),--,--,--,--,
应收票据(万元),--,--,--,--,
应收账款(万元),1050,180,--,--,
预付款项(万元),740,4,--,--,
应收保费(万元),--,--,--,--,
应收分保账款(万元),--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,
应收利息(万元),--,--,--,--,
应收股利(万元),--,--,--,--,
其他应收款(万元),469,646,--,--,
应收出口退税(万元), --,--,--,--,
应收补贴款(万元),--,--,--,--,
应收保证金(万元),--,--,--,--,
内部应收款(万元),--,--,--,--,
买入返售金融资产(万元),--,--,--,--,
存货(万元),23433,19,--,--,
待摊费用(万元),--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,
其他流动资产(万元),6,12,--,--,
流动资产合计(万元),26534,3423,4077,0,
发放贷款及垫款(万元),--,--,--,--,
可供出售金融资产(万元),--,--,--,--,
持有至到期投资(万元),--,--,--,--,
长期应收款(万元),--,--,--,--,
长期股权投资(万元),--,--,--,--,
其他长期投资(万元),--,--,--,--,
投资性房地产(万元),--,--,--,--,
固定资产原值(万元),--,--,--,--,
累计折旧(万元),--,--,--,--,
固定资产净值(万元),--,--,--,--,
固定资产减值准备(万元),--,--,--,--,
固定资产(万元),13191,5,--,--,
在建工程(万元),1611,--,--,--,
工程物资(万元),--,--,--,--,
固定资产清理(万元),--,--,--,--,
生产性生物资产(万元),--,--,--,--,
公益性生物资产(万元),--,--,--,--,
油气资产(万元),--,--,--,--,
无形资产(万元),3586,--,--,--,
开发支出(万元),--,--,--,--,
商誉(万元),--,--,--,--,
长期待摊费用(万元),--,--,--,--,
股权分置流通权(万元),--,--,--,--,
递延所得税资产(万元),25,--,--,--,
其他非流动资产(万元),66,--,--,--,
非流动资产合计(万元),18479,5,0,0,
资产总计(万元),45013,3429,4077,0,
短期借款(万元),--,--,10,17162,
向中央银行借款(万元),--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,
拆入资金(万元),--,--,--,--,
交易性金融负债(万元),--,--,--,--,
衍生金融负债(万元),--,--,--,--,
应付票据(万元),--,--,--,--,
应付账款(万元),3109,5,5,14,
预收账款(万元),4496,--,--,96,
卖出回购金融资产款(万元),--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,
应付职工薪酬(万元),367,69,62,53,
应交税费(万元),560,128,267,--,
应付利息(万元),--,--,--,16486,
应付股利(万元),5,5,5,65,
其他应交款(万元),--,--,--,--,
应付保证金(万元),--,--,--,--,
内部应付款(万元),--,--,--,--,
其他应付款(万元),7962,125,199,18243,
预提费用(万元),--,--,--,--,
预计流动负债(万元),--,--,--,--,
应付分保账款(万元),--,--,--,--,
保险合同准备金(万元),--,--,--,--,
代理买卖证券款(万元),--,--,--,--,
代理承销证券款(万元),--,--,--,--,
国际票证结算(万元),--,--,--,--,
国内票证结算(万元),--,--,--,--,
递延收益(万元),--,--,--,--,
应付短期债券(万元),--,--,--,--,
一年内到期的非流动负债(万元),1000,--,--,--,
其他流动负债(万元),--,--,--,--,
流动负债合计(万元),17498,333,547,52119,
长期借款(万元),--,--,--,--,
应付债券(万元),--,--,--,--,
长期应付款(万元),--,--,--,--,
专项应付款(万元),--,--,--,--,
预计非流动负债(万元),--,--,--,31517,
长期递延收益(万元),225,--,--,--,
递延所得税负债(万元),--,--,--,--,
其他非流动负债(万元),--,--,--,--,
非流动负债合计(万元),225,0,0,31517,
负债合计(万元),17723,333,547,83636,
实收资本(或股本)(万元),23322,28443,28443,28443,
资本公积(万元),-6282,13010,13010,5605,
减:库存股(万元),--,--,--,--,
专项储备(万元),345,--,--,--,
盈余公积(万元),1324,6377,6377,6377,
一般风险准备(万元),--,--,--,--,
未确定的投资损失(万元),--,--,--,--,
未分配利润(万元),8581,-44734,-44301,-124061,
拟分配现金股利(万元),--,--,--,--,
外币报表折算差额(万元),--,--,--,--,
归属于母公司股东权益合计(万元),27290,3096,3529,-83636,
少数股东权益(万元),--,--,--,--,
所有者权益(或股东权益)合计(万元),27290,3096,3529,-83636,
负债和所有者权益(或股东权益)总计(万元),45013,3429,4077,0,		
  
