报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),443645,422995,494424,561770,359482,399505,468399,425021,385538,369929,151874,113754,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应收票据(万元),113631,92344,33623,30132,25428,9371,19873,13856,8686,6333,3859,1582,
应收账款(万元),1510513,1419382,1329138,1273149,1038950,929360,815171,565309,431812,422110,412867,412093,
预付款项(万元),165056,175929,196446,188455,169357,254364,272888,317033,245804,100124,50486,39235,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应收利息(万元),597,433,--,--,--,--,--,48,34,45,74,70,
应收股利(万元),--,12,--,--,--,--,--,--,--,--,395,215,
其他应收款(万元),715709,679951,830202,865395,477065,512227,494905,424723,367953,266529,181356,141572,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,
存货(万元),2527333,2436368,2184214,1844351,1577618,1404257,993514,948436,591545,347254,268060,135510,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,
其他流动资产(万元),35422,20788,10180,2320,1702,1,--,--,--,--,0,0,
流动资产合计(万元),5511906,5248203,5078228,4765572,3649602,3509085,3064750,2694425,2031373,1512324,1068972,844030,
发放贷款及垫款(万元),32091,28526,--,--,--,--,--,--,--,--,0,0,
可供出售金融资产(万元),17946,29983,30469,28703,30119,25688,23716,24088,57281,37608,11818,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,0,0,
长期应收款(万元),153433,217142,248672,305812,417286,391255,393155,276057,280019,368125,234201,180077,
长期股权投资(万元),40388,47206,38598,32615,23641,22087,14785,8016,11943,13053,13581,33833,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,0,0,
投资性房地产(万元),233366,231929,19377,18411,18903,16216,13162,12146,11439,7980,4672,2895,
固定资产原值(万元),242163,233983,214920,188115,188632,184141,177856,--,149688,117156,80825,73531,
累计折旧(万元),102431,93114,85591,78429,69528,64508,59869,--,47584,40875,38461,37154,
固定资产净值(万元),139732,140869,129329,109685,119105,119633,117987,--,102103,76282,42363,36377,
固定资产减值准备(万元),639,647,46,46,46,36,36,--,36,62,62,66,
固定资产(万元),139092,140221,129283,109639,119059,119597,117951,110653,102067,76220,42301,36312,
在建工程(万元),694,4144,20914,37915,31225,15554,20054,11190,8581,9099,32467,5222,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,0,0,
固定资产清理(万元),25,22,43,36,22,15,11,--,--,--,0,0,
生产性生物资产(万元),141,144,148,151,--,--,--,--,--,--,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,
无形资产(万元),727460,736625,762944,752840,1347086,1354902,979656,596314,300737,83258,73656,76186,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,
商誉(万元),--,--,--,--,--,--,--,--,--,--,0,0,
长期待摊费用(万元),4480,3630,3067,5566,7204,9441,8841,10851,12495,11835,731,88,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,0,0,
递延所得税资产(万元),33707,29740,25633,23989,19871,19199,8228,7163,6328,7911,9140,8088,
其他非流动资产(万元),6179,7358,8890,8705,7398,8389,1939,2810,2946,926,660,1004,
非流动资产合计(万元),1389003,1476673,1288037,1324383,2021813,1982343,1581498,1059288,793835,616014,423227,343706,
资产总计(万元),6900909,6724876,6366265,6089955,5671415,5491428,4646249,3753713,2825208,2128339,1492199,1187736,
短期借款(万元),871081,895408,945310,992512,837900,930956,778292,640000,408422,259511,162873,150249,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应付票据(万元),150834,100891,73086,113296,134483,164982,190554,119016,36295,106475,87052,60044,
应付账款(万元),2573927,2575665,2370963,2076868,1711153,1420817,1182860,914334,479634,426959,318324,285972,
预收账款(万元),434772,484100,535023,517478,429571,748656,575728,610753,549789,222393,188942,121766,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应付职工薪酬(万元),4048,3453,2074,2012,1105,1772,549,3631,4933,8512,10558,24605,
应交税费(万元),53314,66611,75495,123149,113251,92445,63914,57694,49822,45421,41515,32703,
应付利息(万元),2303,7536,22117,27096,21019,13065,6733,--,100,345,2611,708,
应付股利(万元),671,737,1460,1350,782,537,231,268,120,5015,1325,1249,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,0,0,
其他应付款(万元),1049053,944494,817019,687787,606080,498321,393046,374418,432028,292878,220029,165430,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,0,0,
一年内到期的非流动负债(万元),84500,112000,350730,130075,81808,106800,77500,114850,50548,53000,150327,20800,
其他流动负债(万元),134441,85023,77325,51000,50800,14053,31010,40400,--,50000,45000,0,
流动负债合计(万元),5358944,5275918,5270600,4722622,3987953,3992404,3300417,2875364,2011691,1470508,1228556,863526,
长期借款(万元),606530,686830,513180,514390,908485,881989,844197,516454,453200,367950,109800,175951,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,0,0,
长期应付款(万元),--,--,--,1154,1978,4855,4812,10124,12862,7725,5754,560,
专项应付款(万元),787,988,959,921,1014,1435,1884,6412,11312,7091,3901,3035,
预计非流动负债(万元),6616,5149,2647,32,32,593,--,--,--,--,0,0,
长期递延收益(万元),3944,3683,2506,1068,14137,10185,--,--,--,--,0,0,
递延所得税负债(万元),15729,15673,560,565,429,378,--,--,4975,2024,0,0,
其他非流动负债(万元),--,--,80000,360000,330000,180000,130100,108,--,--,0,0,
非流动负债合计(万元),677773,750929,644213,925140,1299020,1118259,980992,533099,482349,384789,119455,179545,
负债合计(万元),6036717,6026847,5914813,5647761,5286972,5110662,4281409,3408464,2494040,1855298,1348011,1043071,
实收资本(或股本)(万元),181450,181450,163300,163300,163300,163300,163300,163300,163300,156928,108716,108716,
资本公积(万元),116345,107771,79229,78195,103281,101352,69528,74486,97335,64328,4404,14859,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,0,0,
专项储备(万元),54358,44975,26611,23080,22120,22798,22561,14461,9872,3498,143,77,
盈余公积(万元),22300,19465,14255,13416,11372,9696,6924,4163,1303,3748,1815,1482,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,
未分配利润(万元),210864,188988,148879,144749,68718,71413,91600,52849,24986,-6465,8588,1510,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,0,0,
