报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),81026,524399,244282,198975,137927,31620,24283,91574,1595,1895,1977,2438,
结算备付金(万元),--,--,--,--,--,--,--,0,0,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,0,0,--,--,0,
交易性金融资产(万元),52710,--,--,--,--,0,--,0,0,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,0,0,--,--,0,
应收票据(万元),692,476,--,--,--,0,--,0,9,22,25,10,
应收账款(万元),28976,124351,17390,193183,1736,22401,12650,23956,1009,1037,2644,6882,
预付款项(万元),824570,245327,224380,103739,136268,195005,22298,126624,1066,693,773,1750,
应收保费(万元),--,--,--,--,--,0,--,0,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,0,--,0,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,0,--,0,0,--,--,0,
应收利息(万元),--,--,--,--,--,0,--,0,0,--,0,0,
应收股利(万元),--,--,--,--,--,0,--,0,587,957,0,0,
其他应收款(万元),58545,51552,27222,27549,11441,40272,19431,16405,816,1051,2122,8634,
应收出口退税(万元), --,--,--,--,--,--,--,0,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,0,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,0,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,0,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,0,--,0,0,--,--,0,
存货(万元),2512034,2003973,1379957,1038516,658010,415069,499949,278212,2990,2920,4236,5470,
待摊费用(万元),--,--,--,--,--,--,--,0,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,0,0,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,0,--,0,0,--,--,0,
其他流动资产(万元),83909,13107,3217,846,2430,645,--,0,0,--,0,0,
流动资产合计(万元),3643115,2963186,1896450,1562809,947811,705011,578611,536771,8072,8576,11777,25184,
发放贷款及垫款(万元),--,--,--,0,0,0,--,0,0,--,--,0,
可供出售金融资产(万元),19861,28503,16221,15000,0,0,--,0,0,0,0,0,
持有至到期投资(万元),--,--,--,0,0,0,--,0,0,--,0,0,
长期应收款(万元),--,--,--,0,0,0,--,0,0,--,0,0,
长期股权投资(万元),387542,18554,5533,110815,133200,171857,11079,100,5630,5691,3091,5197,
其他长期投资(万元),--,--,--,--,--,--,--,0,0,--,--,0,
投资性房地产(万元),7500,4650,4817,--,10507,8963,8181,5443,0,--,0,0,
固定资产原值(万元),115008,69314,48213,48497,54439,12517,8684,7915,20721,25244,28287,32948,
累计折旧(万元),48221,16461,9184,5484,4185,2823,2101,1268,7785,10373,9236,10228,
固定资产净值(万元),66787,52853,39029,43013,50254,9694,6583,6647,12936,14871,19052,22720,
固定资产减值准备(万元),570,1283,330,--,--,--,--,0,564,1250,1250,948,
固定资产(万元),66218,51571,38700,43013,50254,9694,6583,6647,12372,13621,17801,21772,
在建工程(万元),2963,3159,2494,--,--,78,344,0,543,10406,13878,20362,
工程物资(万元),--,--,--,--,--,0,--,0,0,--,0,0,
固定资产清理(万元),--,--,--,--,--,0,--,0,0,--,0,0,
生产性生物资产(万元),--,--,--,--,--,0,--,0,0,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,0,0,--,--,0,
油气资产(万元),--,--,--,--,--,0,--,0,0,--,--,0,
