报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),27418,23799,29433,17375,31042,43832,48610,52647,63436,3807,3675,2721,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应收票据(万元),14409,7494,6430,4965,5475,3350,3191,1991,1632,1131,1111,735,
应收账款(万元),192109,118541,85292,17719,15071,12440,9446,10789,7983,6039,5287,4372,
预付款项(万元),46708,40222,25441,614,577,7197,2001,2535,315,253,353,317,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应收利息(万元),--,--,231,139,398,26,--,--,--,--,0,0,
应收股利(万元),58,58,58,--,--,--,--,--,--,--,0,0,
其他应收款(万元),13316,6730,4880,1135,694,754,486,335,173,113,176,175,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,
存货(万元),121439,84180,86117,8263,8729,9153,8408,8663,6053,6771,6219,4580,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,
一年内到期的非流动资产(万元),23,--,--,--,--,--,--,--,--,--,0,0,
其他流动资产(万元),2211,1035,1615,14697,1394,--,--,--,--,--,0,0,
流动资产合计(万元),417690,282057,239496,64907,63381,76751,72142,76960,79591,18114,16820,12899,
