报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
一年内到期的非流动资产(万元),6263949,4819666,4171087,3619208,2855801,2405210,1864767,1521762,1067505,820428,713607,299569,158135,
其他流动资产(万元),2023672,809740,371082,167247,753216,475057,190671,34894,28147,20605,26618,7102,5441,
流动资产合计(万元),48150227,44954541,43714667,39197223,35460940,31877572,27049822,22312235,19058886,16440449,14698549,10245113,8809509,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
可供出售金融资产(万元),--,2590811,2167933,2232183,2220511,1247119,1308131,1114216,1378305,1637102,537863,1582368,668979,
持有至到期投资(万元),10910,10387,13087,27982,32797,--,--,--,0,0,200,201,201,
长期应收款(万元),11480575,10960087,9436734,7669393,7462497,5368788,3809296,2834818,2159998,1402299,1040763,724806,337139,
长期股权投资(万元),4166439,3088932,1913434,1294604,1008617,959795,660222,630152,586103,524658,571109,494071,329006,
其他长期投资(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
投资性房地产(万元),422442,262827,287667,259874,120565,124871,150575,78509,75405,68822,69943,76037,81183,
固定资产原值(万元),9979542,9134052,11135931,10454962,9693347,9020731,8520710,7640271,6963239,6099509,4915791,3777104,--,
累计折旧(万元),5096834,4689492,5513672,5011884,4523530,4063513,3571894,3104387,2666995,2290121,1959960,1741499,--,
固定资产净值(万元),4882708,4444560,5622259,5443079,5169816,4957218,4948816,4535883,4296244,3809388,2955831,2035606,--,
固定资产减值准备(万元),2921,3030,4175,5351,2124,1316,1652,2536,2543,2655,2561,3786,--,
固定资产(万元),4879787,4441530,5618084,5437727,5167692,4955902,4947164,4533347,4293701,3806733,2953270,2031820,1759278,
在建工程(万元),--,784828,1016037,1319207,1138693,579938,711142,962526,988023,991099,858524,711570,343544,
工程物资(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
无形资产(万元),19198560,16259324,14830492,14504397,9796757,6226114,4299186,3061067,2272670,1643611,1241015,1085818,670274,
开发支出(万元),14546,1624,998,300,415,291,476,588,3268,0,733,0,--,
商誉(万元),516097,542567,520987,601653,153712,30762,30762,30614,30085,518,465,25,31,
长期待摊费用(万元),73680,48717,43389,34865,26227,23368,21237,15794,12782,12550,7067,4488,1731,
股权分置流通权(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
递延所得税资产(万元),450415,421433,463739,411691,288148,264789,258815,222226,174680,138950,115032,153151,172870,
其他非流动资产(万元),3266213,310807,119059,113983,161219,139882,151075,160699,72798,127019,82260,193866,5567,
非流动资产合计(万元),47897382,40068987,36431641,33907858,27577849,19921620,16348082,13644557,12047819,10353361,7478243,7058220,4369804,
资产总计(万元),96047609,85023528,80146308,73105081,63038789,51799192,43397904,35956792,31106704,26793811,22176792,17303333,13179314,
短期借款(万元),4535804,6178678,6362962,6106070,6812475,6487630,5274530,4294055,2839279,2436020,3002595,1885138,1596808,
向中央银行借款(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
拆入资金(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
交易性金融负债(万元),192,1043,1611,13406,4840,1059,2759,5829,7139,7750,72517,15822,1887,
衍生金融负债(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
应付票据(万元),2732553,1718834,1444655,1315010,1416750,945445,679785,533342,564903,504648,605543,474788,258337,
应付账款(万元),21484136,19555153,17334775,14312877,12870637,11696560,9943295,9035656,7292608,5385663,4362649,3211172,2311074,
预收账款(万元),--,8846823,8371943,8244448,7030448,5813159,5258358,4729266,5268265,4703273,4122935,2310354,1831360,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
应付职工薪酬(万元),194368,181658,192587,163388,138148,128315,118776,107013,95613,123456,181001,180148,144369,
应交税费(万元),776515,774801,631251,1028783,1141126,1010054,892795,729058,550744,431930,258991,343927,228335,
应付利息(万元),--,106910,141982,149801,204704,141353,120699,90086,54940,46061,17001,2,--,
应付股利(万元),--,30387,8506,9422,13968,9102,14700,15728,11139,8217,12365,12315,54616,
其他应交款(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
应付保证金(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
内部应付款(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
其他应付款(万元),--,3904672,3454251,3084128,1830336,1560428,1259092,1111325,879931,680894,606001,509831,433772,
预提费用(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
递延收益(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
一年内到期的非流动负债(万元),3436408,2584890,2950313,2234967,1439571,1902379,1155762,926964,1177564,747035,545581,320203,477293,
其他流动负债(万元),1838466,787250,1439633,499566,902598,701970,525397,260234,274292,415505,247944,11139,239478,
流动负债合计(万元),47986966,44671100,42334468,37161865,33805601,30397452,25245949,21838554,19016417,15490451,14035122,9274838,7577329,
长期借款(万元),19382609,15443175,14675105,13456085,10184858,6892472,4090663,3266792,2498909,1680521,1499553,1263251,859053,
应付债券(万元),2111437,2336630,2614582,3204955,3383495,2792518,3140463,1790871,1210113,1708551,500000,0,--,
长期应付款(万元),--,1098439,1043773,908887,906603,624206,737403,530328,559217,442893,330724,341708,346307,
专项应付款(万元),--,14300,15001,17128,14626,12802,13035,14728,13732,25820,12396,12473,7845,
预计非流动负债(万元),121847,68355,45897,37033,58641,54233,52710,27404,33797,36506,48343,8918,7709,
长期递延收益(万元),53060,35870,86881,411779,461768,--,--,--,0,0,--,0,--,
递延所得税负债(万元),516216,596860,444108,542856,569054,289347,310054,237822,239800,351997,108108,429511,211933,
其他非流动负债(万元),49313,44865,56361,238005,239582,181428,89944,46725,32552,12146,6012,6305,--,
非流动负债合计(万元),24092425,19758252,19116108,18986934,16013534,10847006,8434273,5914670,4588120,4258433,2505137,2062165,1432847,
负债合计(万元),72079391,64429352,61450576,56148799,49819135,41244458,33680223,27753224,23604537,19748884,16540259,11337004,9010176,
实收资本(或股本)(万元),1617474,1617474,1617474,1617474,1617474,1617474,1617474,1482500,1482500,1482500,1482500,1482500,1482500,
资本公积(万元),2505449,2548548,2401523,2401506,2106490,2744914,2876209,2313856,2527812,2784562,2006391,3076099,2132834,
减:库存股(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
专项储备(万元),235563,221691,184947,155225,145022,144792,130841,92550,74138,55725,--,0,--,
盈余公积(万元),523985,471374,420926,376499,346102,251346,140627,118347,75784,49470,32272,15365,--,
一般风险准备(万元),108859,97546,76675,38887,10779,--,--,--,0,0,--,0,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
未分配利润(万元),11067598,9728299,8157821,6975865,5777507,4798199,3995747,3115707,2236110,1493783,993654,491815,59073,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,0,0,--,0,--,
外币报表折算差额(万元),--,--,--,--,--,-6095,7226,61,3802,6486,2326,1723,-1392,
归属于母公司股东权益合计(万元),19717792,18127079,15966640,14723751,11707608,9550629,8768123,7123022,6400146,5872525,4517144,5067502,3673015,
少数股东权益(万元),4250426,2467097,2729092,2232531,1512046,1004105,949558,1080547,1102022,1172402,1119389,898827,496122,
所有者权益(或股东权益)合计(万元),23968218,20594176,18695732,16956282,13219654,10554734,9717681,8203568,7502167,7044927,5636533,5966329,4169138,
负债和所有者权益(或股东权益)总计(万元),96047609,85023528,80146308,73105081,63038789,51799192,43397904,35956792,31106704,26793811,22176792,17303333,13179314,		
  
