报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),25520,17662,13199,8798,4515,3609,2035,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),1970,1492,179,314,321,103,71,
应收账款(万元),8725,4432,4333,2491,2050,1595,1273,
预付款项(万元),174,140,126,51,39,22,52,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),119,188,68,8,21,43,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),129,34,40,60,59,54,496,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),7314,4213,2992,2932,2104,1641,1619,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),10760,20012,328,288,--,33,--,
流动资产合计(万元),54712,48171,21266,14942,9110,7099,5547,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,186,218,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),18056,4852,4000,3633,--,--,--,
累计折旧(万元),4119,3104,2669,2282,--,--,--,
固定资产净值(万元),13937,1747,1331,1351,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),13937,1747,1331,1351,1333,873,844,
在建工程(万元),28,5168,307,3,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),1330,904,977,1049,--,--,--,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),10986,4,4,4,--,--,--,
长期待摊费用(万元),45,--,5,19,--,13,69,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),316,187,185,123,12,24,28,
其他非流动资产(万元),755,325,243,29,30,--,27,
非流动资产合计(万元),27397,8335,3051,2578,1561,1128,968,
