报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),26142,41189,225913,23574,36887,40103,5989,3115,999,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,0,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),40,--,170,175,939,207,256,20,50,
应收账款(万元),79165,66481,45906,3925,3391,3692,2872,3719,2722,
预付款项(万元),1896,2094,2724,549,266,331,2072,834,1110,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,1813,946,499,367,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),7719,248,1351,53,77,84,124,116,223,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),22744,25442,27418,20862,20980,22102,18795,16184,11367,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,174,--,--,--,--,--,
其他流动资产(万元),205509,195399,8,13700,25,--,--,--,--,
流动资产合计(万元),343216,336599,305302,63957,63064,66886,30108,23988,16471,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),10546,--,5746,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),2459,--,4231,578,--,--,--,300,300,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,
固定资产原值(万元),62564,64812,58722,18267,18191,14399,13094,11838,11424,
累计折旧(万元),17987,18522,15951,6739,5890,5441,4751,4173,3602,
固定资产净值(万元),44577,46290,42772,11529,12301,8958,8343,7665,7822,
固定资产减值准备(万元),20,390,390,--,--,--,--,--,--,
固定资产(万元),44557,45901,42382,11529,12301,8958,8343,7665,7822,
在建工程(万元),9833,3061,2277,--,--,167,--,4,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),7510,5057,5150,1989,2004,2012,2061,2098,2176,
开发支出(万元),10140,2197,--,--,--,--,--,--,--,
商誉(万元),4740,4740,--,--,--,--,--,--,--,
长期待摊费用(万元),515,18,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),7678,5002,4368,114,82,54,41,39,33,
其他非流动资产(万元),9834,1200,--,202,116,523,--,--,--,
非流动资产合计(万元),107810,67175,64154,14412,14503,11713,10446,10106,10332,
资产总计(万元),451027,403774,369456,78369,77566,78599,40554,34094,26802,
短期借款(万元),--,--,5000,--,--,--,7700,4970,700,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,
应付票据(万元),3256,4199,--,--,--,--,--,--,--,
应付账款(万元),4911,8235,6740,2948,3964,5500,4849,6197,3965,
预收账款(万元),4375,5214,5875,2193,860,1566,1933,1553,1179,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1294,956,1089,140,412,550,616,377,--,
应交税费(万元),4912,3908,2357,166,37,397,326,475,1547,
应付利息(万元),--,--,--,--,--,--,15,--,--,
应付股利(万元),--,--,--,--,--,--,--,1000,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,
其他应付款(万元),37353,19524,16118,845,960,917,1022,1134,2245,
预提费用(万元),--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,550,--,--,--,--,--,2000,2800,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,
流动负债合计(万元),56101,42585,37179,6292,6234,8930,16459,17706,12436,
长期借款(万元),--,--,550,--,--,--,--,--,2604,
应付债券(万元),--,--,--,--,--,--,--,--,--,
长期应付款(万元),2,3,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,800,800,600,300,
预计非流动负债(万元),--,--,63,319,388,449,548,313,300,
长期递延收益(万元),6536,2194,2188,689,--,--,--,--,--,
递延所得税负债(万元),822,728,788,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,322,--,--,--,--,
非流动负债合计(万元),7360,2925,3589,1008,710,1249,1348,913,3204,
负债合计(万元),63461,45510,40768,7300,6944,10180,17808,18619,15640,
实收资本(或股本)(万元),97369,96939,48470,8000,8000,8000,6000,6000,5000,
资本公积(万元),102900,98389,146858,45007,45007,45007,6666,6666,166,
减:库存股(万元),3326,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,150,81,12,--,--,--,
盈余公积(万元),4245,4245,3489,2386,2244,1887,1199,471,607,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,
未分配利润(万元),184482,156936,129746,15527,15291,13514,8882,2337,5390,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),385671,356509,328563,71070,70622,68420,22746,15474,11162,
少数股东权益(万元),1894,1755,125,0,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),387565,358264,328688,71070,70622,68420,22746,15474,11162,
负债和所有者权益(或股东权益)总计(万元),451027,403774,369456,78369,77566,78599,40554,34094,26802,		
  
