报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),17222,16159,3917,2818,2047,1546,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,
应收账款(万元),10565,7698,5055,5339,4470,3322,
预付款项(万元),736,1480,620,892,1114,1499,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,41,9,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),4807,3715,2409,1755,2759,1906,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),655,739,818,896,878,1129,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),286,281,413,224,111,20,
流动资产合计(万元),34271,30072,13232,11923,11422,9431,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),658,685,712,739,766,793,
固定资产原值(万元),2765,2764,2725,2849,--,--,
累计折旧(万元),1044,962,879,879,--,--,
固定资产净值(万元),1721,1802,1846,1969,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),1721,1802,1846,1969,2015,2200,
在建工程(万元),1418,36,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),1402,1407,1449,178,176,162,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,5,23,107,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),140,86,64,61,50,37,
其他非流动资产(万元),--,--,--,735,--,--,
非流动资产合计(万元),5340,4017,4072,3686,3029,3300,
资产总计(万元),39611,34089,17304,15610,14451,12731,
短期借款(万元),--,--,--,--,1000,300,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,
应付账款(万元),5250,3453,3710,3482,2943,2284,
预收账款(万元),1145,1248,1115,1122,1352,1536,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),164,143,131,129,134,137,
应交税费(万元),267,151,681,709,138,450,
应付利息(万元),--,--,--,--,2,1,
应付股利(万元),--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),1625,43,119,107,259,224,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),8451,5038,5756,5548,5827,4931,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),600,600,--,200,--,--,
递延所得税负债(万元),--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),600,600,0,200,0,0,
负债合计(万元),9051,5638,5756,5748,5827,4931,
实收资本(或股本)(万元),14707,8000,6000,6000,6000,6000,
资本公积(万元),8712,13813,876,876,876,876,
减:库存股(万元),1518,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),2504,2084,1709,1223,839,545,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),6155,4554,2963,1763,909,379,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),30560,28451,11548,9861,8624,7800,
少数股东权益(万元),--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),30560,28451,11548,9861,8624,7800,
负债和所有者权益(或股东权益)总计(万元),39611,34089,17304,15610,14451,12731,		
  
