报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),49338200,61641900,59752900,58434200,65478500,51723900,47141500,40830400,29495500,21616700,18160100,15264700,8699400,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
拆出资金(万元),31341100,15462800,20025100,18569300,12408500,14804700,10342000,13138100,5891700,6239700,8183600,4294100,4917300,
交易性金融资产(万元),33030200,6479600,5597200,5908100,4019000,2322300,2548900,1553000,1522900,1585600,1541200,1083800,796000,
衍生金融资产(万元),3422000,1891600,868800,1017600,931500,592500,197500,188700,173800,99900,228700,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
应收账款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
预付款项(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
应收利息(万元),--,2872600,2625100,2493400,2356000,1769900,1300900,1085200,758800,601200,568500,489300,280600,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
买入返售金融资产(万元),19938600,25255000,27869900,34392400,34498000,31890500,10696500,7397500,17654700,15879700,7454200,18272800,3899800,
存货(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
发放贷款及垫款(万元),374994900,341461200,315164900,273944400,244875400,214833000,186332500,160437100,140216000,116181700,85275400,65441700,54942000,
可供出售金融资产(万元),--,38310100,38913800,29955900,27852600,28926500,28469600,27517300,27168300,24422900,20633200,14207000,10942800,
持有至到期投资(万元),91601200,55821800,47706400,35313700,25943400,20892700,17541700,14558600,9761400,8020100,7037300,7463200,5406500,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
长期股权投资(万元),887100,507900,371200,278600,148400,142400,110300,114300,113000,115300,102900,27100,4800,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
投资性房地产(万元),206100,161200,170100,170800,168400,170100,163800,171000,194600,217100,240600,39400,43800,
固定资产原值(万元),8340900,7332200,6384100,4849600,4142100,3622200,3038700,2588100,2328000,1934300,1715700,1183100,961800,
累计折旧(万元),2796500,2414100,2077300,1768300,1491700,1291800,1110000,963900,824200,682400,548100,412400,349400,
固定资产净值(万元),5544400,4918100,4306800,3081300,2650400,2330400,1928700,1624200,1503800,1251900,1167600,770700,612400,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
固定资产(万元),5544400,4918100,4306800,3081300,2650400,2330400,1928700,1624200,1503800,1251900,1167600,770700,612400,
在建工程(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
无形资产(万元),915000,725500,391400,359500,329200,299600,285100,260500,262000,247700,238100,--,--,
开发支出(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
商誉(万元),995400,995400,995400,995400,995300,995300,959800,959800,959800,959800,959800,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
递延所得税资产(万元),5837400,5012000,3101000,1602000,1029100,806400,498700,433700,370600,278600,252100,216200,226000,
其他非流动资产(万元),3333000,2400300,2896900,1387000,1503200,1049900,995300,714600,585200,673100,586100,442000,276500,
非流动资产合计(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
资产总计(万元),674572900,629763800,594231100,547497800,473182900,401639900,340821900,279497100,240250700,206794100,157179700,131055200,93410200,
短期借款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
向中央银行借款(万元),40531400,41483800,33010800,6260000,2000000,--,--,--,--,0,--,--,--,
吸收存款及同业存放(万元),489839200,450346300,435765600,428325900,400188600,328945800,279113600,242575900,210018900,179434700,136644000,116205400,84261100,
拆入资金(万元),20395000,27273400,24887600,17877100,9460300,12513200,10981500,6748400,4557300,4432100,3784200,555500,151200,
交易性金融负债(万元),4414400,2661900,2357600,2022700,1336900,2189100,685400,472400,135300,120300,235200,--,10600,
衍生金融负债(万元),3657000,2185700,1115200,757500,1024600,823500,274500,146900,182100,147400,226600,294500,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
应付账款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
预收账款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
卖出回购金融资产款(万元),7814100,12562000,16294200,18565200,6698800,15316400,15795300,4206400,3343900,3459700,1228200,4104800,623700,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
应付职工薪酬(万元),847500,802000,704800,652400,606800,511900,405600,332000,322000,329000,298000,359900,275100,
应交税费(万元),2041100,2670100,1952300,1282000,1165600,872200,667900,711200,497200,256500,409600,366500,340900,
应付利息(万元),--,3650100,3624600,3907300,4534900,3098800,2406500,1608000,1036900,829800,813900,442800,345000,
应付股利(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
其他应付款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
流动负债合计(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
长期借款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
应付债券(万元),42492600,29647700,27508200,25150700,10615500,6893600,7711100,4616700,3628500,4073100,4027800,1460000,1467900,
长期应付款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
预计非流动负债(万元),566500,--,--,--,--,--,--,--,--,0,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
递延所得税负债(万元),121100,107000,89700,86700,77100,77000,82700,86400,92400,94100,84800,--,--,
其他非流动负债(万元),6931800,8034600,6584300,6434500,3967800,3802800,2647100,1491800,3035600,4339100,1449300,467400,418700,
非流动负债合计(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
负债合计(万元),620212400,581424600,553894900,511322000,441676900,375044300,320771200,262996100,226850100,197515800,149201600,124256800,87894200,
实收资本(或股本)(万元),2522000,2522000,2522000,2522000,2522000,2522000,2157700,2157700,2157700,1911900,1470700,1470500,1470300,
资本公积(万元),6752300,6752300,6752300,6752300,6752300,6197600,3754500,3766500,3619700,1816900,2167700,2707400,2773100,
减:库存股(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
盈余公积(万元),5368200,4615900,3970800,3400900,2869000,2350200,1861800,1432500,1088000,841800,665300,461200,308800,
一般风险准备(万元),7854200,7092100,6783800,6467900,5397900,4634700,3919500,1879400,1681200,1497600,1079300,950000,650000,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
未分配利润(万元),27436100,24106300,19911000,16328900,13856200,11110700,8502500,7350800,4906300,3212300,2571900,1209300,313800,
拟分配现金股利(万元),--,--,--,--,--,--,1359300,--,625700,0,588300,411700,176400,
外币报表折算差额(万元),--,--,--,--,--,-173600,-126500,-115000,-52600,-2200,-3400,--,--,
归属于母公司股东权益合计(万元),54011800,48021000,40235000,36080600,31440400,26546500,20043400,16499700,13400600,9278300,7951500,6798400,5516000,
少数股东权益(万元),348700,318200,101200,95200,65600,49100,7300,1300,--,0,26600,--,--,
所有者权益(或股东权益)合计(万元),54360500,48339200,40336200,36175800,31506000,26595600,20050700,16501000,13400600,9278300,7978100,6798400,5516000,
负债和所有者权益(或股东权益)总计(万元),674572900,629763800,594231100,547497800,473182900,401639900,340821900,279497100,240250700,206794100,157179700,131055200,93410200,		
  
