报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),4622445,4563513,4258636,3300831,3385483,2298012,1843584,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),376876,1529753,1175822,551956,--,88600,--,
交易性金融资产(万元),6003298,1184930,894610,1300152,1096737,799037,670453,
衍生金融资产(万元),23155,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,
应收账款(万元),--,--,--,--,--,--,--,
预付款项(万元),--,--,--,--,--,--,--,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,252012,194050,120968,96248,71194,41631,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),--,--,--,--,--,--,--,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),345213,440748,511957,971631,657552,726736,218132,
存货(万元),--,--,--,--,--,--,--,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,
流动资产合计(万元),--,--,--,--,--,--,--,
发放贷款及垫款(万元),15399938,12445594,10763341,9160444,7622619,6153598,4915325,
可供出售金融资产(万元),--,3508630,630179,1120602,396518,59648,290608,
持有至到期投资(万元),--,5926782,4967105,2390191,2206464,1673040,709754,
长期应收款(万元),1371067,1049099,572106,--,--,--,--,
长期股权投资(万元),32108,28019,25520,19563,14611,11916,9150,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),297678,251354,222407,201509,--,--,102131,
累计折旧(万元),89143,69621,52108,40653,--,--,27812,
固定资产净值(万元),208535,181733,170299,160857,--,--,74319,
固定资产减值准备(万元),400,400,400,400,--,--,466,
固定资产(万元),208135,181333,169899,160456,115857,92606,73853,
在建工程(万元),--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),73940,53703,14691,10769,8522,5485,4362,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,
