报告日期,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),76344,55763,52541,
结算备付金(万元),--,--,0,
拆出资金(万元),--,--,0,
交易性金融资产(万元),--,--,0,
衍生金融资产(万元),--,--,0,
应收票据(万元),4421,2367,881,
应收账款(万元),45765,45592,42695,
预付款项(万元),3226,3809,5081,
应收保费(万元),--,--,0,
应收分保账款(万元),--,--,0,
应收分保合同准备金(万元),--,--,0,
应收利息(万元),43,12,0,
应收股利(万元),--,--,0,
其他应收款(万元),3603,4118,6634,
应收出口退税(万元), --,--,0,
应收补贴款(万元),--,--,0,
应收保证金(万元),--,--,0,
内部应收款(万元),--,--,0,
买入返售金融资产(万元),--,--,0,
存货(万元),43429,41774,38979,
待摊费用(万元),--,--,0,
待处理流动资产损益(万元),--,--,0,
一年内到期的非流动资产(万元),--,--,0,
其他流动资产(万元),--,--,0,
流动资产合计(万元),176830,153434,146811,
发放贷款及垫款(万元),--,--,0,
可供出售金融资产(万元),701,2201,2265,
持有至到期投资(万元),--,--,0,
长期应收款(万元),3196,3416,3638,
长期股权投资(万元),64844,59913,54969,
其他长期投资(万元),--,--,0,
投资性房地产(万元),1626,1430,3664,
固定资产原值(万元),98274,90822,85641,
累计折旧(万元),32586,30349,26936,
固定资产净值(万元),65688,60473,58704,
固定资产减值准备(万元),928,965,184,
固定资产(万元),64760,59508,58520,
在建工程(万元),1591,6411,4227,
工程物资(万元),--,28,27,
固定资产清理(万元),--,--,0,
生产性生物资产(万元),--,--,0,
公益性生物资产(万元),--,--,0,
油气资产(万元),--,--,0,
无形资产(万元),9962,10781,10691,
开发支出(万元),--,--,0,
商誉(万元),11559,11559,11024,
长期待摊费用(万元),748,1140,1214,
股权分置流通权(万元),--,--,0,
递延所得税资产(万元),487,346,203,
其他非流动资产(万元),8058,8405,8914,
非流动资产合计(万元),167534,165137,159356,
资产总计(万元),344363,318571,306167,
短期借款(万元),18150,19153,18555,
向中央银行借款(万元),--,--,0,
吸收存款及同业存放(万元),--,--,0,
拆入资金(万元),--,--,0,
交易性金融负债(万元),0,--,0,
衍生金融负债(万元),--,--,0,
应付票据(万元),2516,1216,109,
应付账款(万元),40940,38260,35553,
预收账款(万元),7307,4768,3991,
卖出回购金融资产款(万元),--,--,0,
应付手续费及佣金(万元),--,--,0,
应付职工薪酬(万元),2823,3798,4726,
应交税费(万元),2499,2950,2176,
应付利息(万元),5,26,0,
应付股利(万元),428,409,189,
其他应交款(万元),--,--,0,
应付保证金(万元),--,--,0,
内部应付款(万元),--,--,0,
其他应付款(万元),12473,10384,10990,
预提费用(万元),--,--,0,
预计流动负债(万元),--,--,0,
应付分保账款(万元),--,--,0,
保险合同准备金(万元),--,--,0,
代理买卖证券款(万元),--,--,0,
代理承销证券款(万元),--,--,0,
国际票证结算(万元),--,--,0,
国内票证结算(万元),--,--,0,
递延收益(万元),--,--,0,
应付短期债券(万元),--,--,0,
一年内到期的非流动负债(万元),--,234,2708,
其他流动负债(万元),--,--,0,
流动负债合计(万元),87142,81198,78996,
长期借款(万元),463,463,753,
应付债券(万元),--,--,0,
长期应付款(万元),1064,1064,1081,
专项应付款(万元),--,--,0,
预计非流动负债(万元),--,--,0,
长期递延收益(万元),--,--,--,
递延所得税负债(万元),219,563,568,
其他非流动负债(万元),2896,2645,2740,
非流动负债合计(万元),4643,4735,5143,
负债合计(万元),91785,85933,84139,
实收资本(或股本)(万元),36781,36781,36781,
资本公积(万元),86609,87471,87410,
减:库存股(万元),--,--,0,
专项储备(万元),--,--,--,
盈余公积(万元),12684,12076,11047,
一般风险准备(万元),--,--,0,
未确定的投资损失(万元),--,--,0,
未分配利润(万元),64283,49627,41273,
拟分配现金股利(万元),--,--,0,
外币报表折算差额(万元),421,230,26,
归属于母公司股东权益合计(万元),200779,186185,176538,
少数股东权益(万元),51800,46453,45490,
所有者权益(或股东权益)合计(万元),252578,232638,222028,
负债和所有者权益(或股东权益)总计(万元),344363,318571,306167,		
  
