报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),93574,108463,96837,59752,52168,39054,39737,55128,9971,5728,4005,2240,
结算备付金(万元),--,--,--,--,--,--,--,--,0,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,0,--,--,--,
交易性金融资产(万元),--,--,--,--,--,0,--,--,0,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,0,--,--,--,
应收票据(万元),--,34,33,--,100,5,--,--,0,--,--,--,
应收账款(万元),62500,33993,26318,26028,17247,12514,13488,8564,4172,3058,2346,1352,
预付款项(万元),9304,3685,2679,2161,768,1077,616,987,417,237,270,379,
应收保费(万元),--,--,--,--,--,--,--,--,0,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,0,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,0,--,--,--,
应收利息(万元),158,290,152,82,213,129,213,667,0,--,--,--,
应收股利(万元),--,--,--,--,--,0,--,--,0,--,--,--,
其他应收款(万元),6997,4674,4283,3931,3886,2848,1891,2303,508,221,413,774,
应收出口退税(万元), --,--,--,--,--,--,--,--,0,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,0,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,0,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,0,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,0,--,--,0,--,--,--,
存货(万元),36052,35386,28824,25036,18502,11857,8445,8051,2408,1139,594,123,
待摊费用(万元),--,--,--,--,--,--,--,--,0,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,0,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,0,--,--,0,--,--,--,
其他流动资产(万元),2546,1892,162,4276,75,39,--,--,0,--,--,--,
流动资产合计(万元),211131,188418,159289,121266,92959,67524,64389,75700,17476,10383,7629,4869,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,0,--,--,--,
可供出售金融资产(万元),24145,29031,9186,6186,788,--,--,--,0,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,0,--,--,--,
长期应收款(万元),--,--,81,--,--,--,--,--,0,--,--,--,
长期股权投资(万元),1476,879,623,1049,385,1250,100,--,0,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,0,--,--,--,
投资性房地产(万元),30,--,818,842,975,2608,--,--,0,--,320,--,
固定资产原值(万元),43758,40857,36922,33223,29940,26734,11075,5578,4389,2285,1675,247,
累计折旧(万元),16760,13543,10611,7976,5524,3571,2138,1120,634,388,231,103,
固定资产净值(万元),26998,27314,26311,25247,24415,23163,8937,4458,3755,1897,1444,144,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,0,--,--,--,
固定资产(万元),26998,27314,26311,25247,24415,23163,8937,4458,3755,1897,1444,144,
在建工程(万元),142,--,335,1281,32,0,16122,477,0,1351,166,1405,
工程物资(万元),--,--,--,--,--,--,--,--,0,--,--,--,
固定资产清理(万元),--,--,--,--,--,0,--,--,0,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,0,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,0,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,0,--,--,--,
无形资产(万元),5396,4816,4231,4476,5504,2979,1567,79,12,7,4,1,
开发支出(万元),2943,1121,669,1347,280,2017,736,750,0,--,--,--,
商誉(万元),54220,54220,56272,56563,4386,4386,--,--,0,--,--,--,
长期待摊费用(万元),1577,1399,226,147,90,155,343,185,118,111,34,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,0,--,--,--,
递延所得税资产(万元),3507,3997,4634,1842,1631,462,522,439,321,118,93,85,
其他非流动资产(万元),12851,--,--,--,--,--,--,--,0,--,--,--,
非流动资产合计(万元),133284,122776,103387,98981,38486,37019,28327,6388,4207,3484,2061,1635,
资产总计(万元),344414,311194,262675,220247,131445,104543,92716,82088,21682,13867,9690,6504,
短期借款(万元),--,--,--,--,--,--,--,--,0,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,0,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,0,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,0,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,0,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,0,--,--,--,
应付票据(万元),7881,581,462,--,--,--,--,--,0,--,--,--,
应付账款(万元),15958,14497,9599,8767,6724,3936,3848,3202,2148,1518,815,491,
预收账款(万元),32412,31827,35047,24018,13139,6794,4318,5107,2888,975,1104,403,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,0,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,0,--,--,--,
应付职工薪酬(万元),11279,10073,8490,6622,5304,3909,2896,2569,1385,1051,622,178,
应交税费(万元),7293,6518,5217,5540,4501,1407,1384,1499,1051,729,572,512,
应付利息(万元),3,--,--,--,--,--,--,--,0,--,--,--,
应付股利(万元),--,--,--,859,--,--,--,--,0,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,0,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,0,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,0,--,--,--,
其他应付款(万元),6133,8638,12188,2469,1875,1727,260,307,185,879,185,456,
预提费用(万元),--,--,--,--,--,--,--,--,0,--,--,--,
预计流动负债(万元),--,--,--,--,--,0,--,--,0,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,0,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,0,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,0,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,0,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,0,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,0,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,0,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,0,--,--,--,
一年内到期的非流动负债(万元),149,--,--,--,--,0,--,--,204,95,95,95,
其他流动负债(万元),--,--,--,--,--,0,--,--,0,--,--,--,
流动负债合计(万元),81108,72134,71002,48275,31543,17773,12707,12683,7862,5248,3394,2137,
长期借款(万元),1702,--,--,--,--,--,--,--,1086,629,724,820,
应付债券(万元),--,--,--,--,--,--,--,--,0,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,0,--,--,--,
