报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),1460,15269,7794,21884,22435,8700,18683,2181,21285,3820,534,1577,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收账款(万元),12065,11488,6848,3432,4376,5077,1294,286,--,109,476,233,
预付款项(万元),12087,4206,9940,237,615,471,144,1849,2166,676,1568,118,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收利息(万元),--,17,--,--,--,--,--,--,--,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,--,
其他应收款(万元),2617,3398,542,37,48,31,33,23,485,0,2,99,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
存货(万元),779,--,39376,53722,45443,32398,42156,39174,7933,1151,1173,1365,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,--,
一年内到期的非流动资产(万元),41343,38408,--,--,--,--,--,--,--,0,0,--,
其他流动资产(万元),150,5355,420,303,--,--,49,--,--,0,0,--,
流动资产合计(万元),70501,78141,64920,79616,72916,46676,62360,43514,31869,5756,3752,3393,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
可供出售金融资产(万元),4623,3539,1000,200,200,--,--,--,--,0,0,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,--,
长期应收款(万元),20846,34101,--,--,--,--,--,--,--,0,0,--,
长期股权投资(万元),1559,2055,--,--,--,200,200,200,200,0,0,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
固定资产原值(万元),55962,55950,185487,221281,206168,130142,91892,68131,34184,19204,17612,--,
累计折旧(万元),18664,16037,36062,31007,20079,12037,6348,7117,5398,4029,2980,--,
固定资产净值(万元),37298,39914,149425,190274,186089,118105,85543,61014,28785,15176,14632,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,0,0,--,
固定资产(万元),37298,39914,149425,190274,186089,118105,85543,61014,28785,15176,14632,10933,
在建工程(万元),--,--,1931,38498,32043,34344,11172,18693,15599,3867,0,2646,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,0,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
无形资产(万元),3919,7006,10483,17752,18469,12798,10512,10589,8571,3617,3035,215,
开发支出(万元),--,--,--,--,--,--,--,--,--,0,0,--,
商誉(万元),56370,90564,90683,--,--,--,--,--,--,0,0,--,
长期待摊费用(万元),25,1255,696,420,631,944,184,--,--,0,0,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,--,
递延所得税资产(万元),200,1091,153,159,100,12,3,13,12,13,16,--,
其他非流动资产(万元),3300,17119,208,229,10903,25521,8041,--,--,0,0,--,
非流动资产合计(万元),128140,196643,254579,247533,248435,191924,115655,90509,53167,22673,17683,13793,
资产总计(万元),198641,274784,319499,327149,321351,238600,178015,134023,85036,28429,21435,17186,
短期借款(万元),21400,26500,--,--,--,12000,--,--,--,4300,4500,1700,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,0,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
交易性金融负债(万元),--,16405,--,--,--,--,--,--,--,0,0,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应付账款(万元),504,1201,2610,2024,2690,2013,835,10517,6824,218,776,2463,
预收账款(万元),44,253,126,56,21,39,38,4,--,0,0,--,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应付职工薪酬(万元),373,313,504,1185,511,608,609,409,343,216,280,413,
应交税费(万元),89,5308,5141,20,604,122,960,571,175,50,11,284,
应付利息(万元),80,61,--,--,--,--,--,--,--,0,0,--,
应付股利(万元),949,949,4242,2993,1807,859,645,499,--,0,0,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
其他应付款(万元),279,240,343,2122,266,1531,1219,2004,257,26,1600,2027,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,0,0,--,
一年内到期的非流动负债(万元),--,--,8000,39218,17001,23240,10700,--,--,0,0,--,
其他流动负债(万元),--,333,252,--,--,--,--,--,--,0,0,--,
流动负债合计(万元),23718,51561,21217,47617,22898,40412,15007,14003,7599,4810,7168,6888,
