报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),48303,54518,46954,72696,190579,206935,220236,239645,251742,14009,6606,1531,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),17568,--,--,--,--,--,--,--,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),3886,16925,9676,3515,2722,2879,2963,5052,2365,1140,2037,1357,
应收账款(万元),48848,36520,42730,34009,22081,17304,17193,19568,15066,7707,2409,2145,
预付款项(万元),1457,2149,1378,1276,1868,1741,603,985,1239,265,325,880,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收利息(万元),--,535,1080,1538,3925,3791,3960,3686,450,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),3209,19273,1366,1742,850,767,1121,554,556,133,105,29,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),18300,19364,15798,18496,15451,12691,13967,15076,10918,8812,3437,3973,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他流动资产(万元),2939,86294,113047,119227,20855,9484,107,118,1,149,0,0,
流动资产合计(万元),144510,235577,232031,252500,258331,255591,260151,284685,282335,32216,14920,9915,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),5587,4490,52530,33170,1050,--,--,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期股权投资(万元),13200,--,--,--,--,572,--,--,--,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),38227,253,281,310,--,--,--,--,--,0,0,0,
固定资产原值(万元),41379,7502,7393,10883,11292,11426,10853,5288,3832,2583,1953,0,
累计折旧(万元),7504,5852,5491,9029,8017,6361,3833,2540,1512,1067,938,0,
固定资产净值(万元),33875,1650,1902,1854,3276,5065,7020,2748,2321,1516,1015,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,0,0,0,
固定资产(万元),33875,1650,1902,1854,3276,5065,7020,2748,2321,1516,1015,932,
在建工程(万元),2409,22763,11633,1135,--,--,95,4022,--,0,0,0,
工程物资(万元),678,--,--,--,--,--,--,--,--,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
无形资产(万元),6490,18570,16700,18247,13035,12342,14334,2717,1108,0,42,279,
开发支出(万元),4925,3300,3800,2971,3075,2339,1399,715,70,0,0,0,
商誉(万元),52307,5467,5467,5467,5467,5467,5467,--,--,0,0,0,
长期待摊费用(万元),2858,636,1159,1132,1504,1998,334,646,653,409,16,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,0,
递延所得税资产(万元),15207,79,819,2094,801,582,355,231,157,0,0,0,
其他非流动资产(万元),1219,3262,3094,1091,--,--,--,--,--,0,0,0,
非流动资产合计(万元),176981,60470,97385,67470,28207,28366,29004,11080,4309,1925,1073,1212,
资产总计(万元),321492,296047,329416,319970,286538,283957,289155,295764,286644,34141,15993,11127,
短期借款(万元),35738,1800,--,--,--,--,--,--,--,0,412,1000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
