报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2010-12-31,2009-12-31,
货币资金(万元),68592,22334,40606,9661,15720,21426,24354,10818,6054,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),--,2084,--,--,--,950,220,--,--,
应收账款(万元),5256,2398,4517,2696,4458,2570,2291,3022,1306,
预付款项(万元),1087,686,101,328,1311,431,1469,3602,860,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),360,925,6553,768,506,939,104,729,1253,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),35588,27382,26586,27154,30720,25239,25274,23398,18971,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,38,64,--,--,--,--,--,
其他流动资产(万元),100160,99346,68986,11049,10417,4038,39,--,1500,
流动资产合计(万元),211043,155154,147388,51720,63132,55593,53751,41569,29945,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),350,350,350,500,500,500,1004,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,1004,1000,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),267,288,425,5535,5921,251,267,1460,--,
固定资产原值(万元),118730,111927,100538,89180,80064,53894,--,--,--,
累计折旧(万元),35511,31280,23920,21845,16595,14144,--,--,--,
固定资产净值(万元),83219,80647,76618,67335,63469,39750,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,
固定资产(万元),83219,80647,76618,67335,63469,39750,40385,28405,26298,
在建工程(万元),241,8286,3045,2516,68,27959,7783,1167,315,
工程物资(万元),--,116,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,97,--,--,--,
生产性生物资产(万元),6478,4949,6624,4725,5043,4371,3985,3019,2080,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),7237,7622,7761,7146,6072,5554,5678,1144,1392,
