报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),37249,8860,54551,26173,15685,13104,10233,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,44,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,5,--,
应收账款(万元),30938,17653,13648,9686,7216,4526,4284,
预付款项(万元),506,448,222,265,59,233,200,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),1080,381,198,448,576,350,488,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),19739,18233,8911,7333,5737,4982,3231,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),270499,241846,3372,422,268,813,--,
流动资产合计(万元),360011,287421,80902,44327,29541,24057,18435,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),90,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),436,--,--,--,--,--,--,
固定资产原值(万元),13442,13144,3097,2804,--,--,--,
累计折旧(万元),3148,2136,1653,1424,--,--,--,
固定资产净值(万元),10294,11008,1444,1380,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),10294,11008,1444,1380,1334,1275,1243,
在建工程(万元),--,--,4536,2445,507,11,--,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),3683,3594,3694,3798,3906,3934,65,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),17,28,33,88,158,135,204,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),414,109,82,98,57,32,52,
其他非流动资产(万元),53,131,51,97,--,--,--,
非流动资产合计(万元),14988,14870,9840,7906,5962,5387,1564,
资产总计(万元),374999,302291,90742,52232,35503,29445,19999,
短期借款(万元),--,--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
