报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),27826,19647,4294,12446,
结算备付金(万元),--,--,--,--,
拆出资金(万元),--,--,--,--,
交易性金融资产(万元),--,--,--,--,
衍生金融资产(万元),--,--,--,--,
应收票据(万元),973,145,277,553,
应收账款(万元),22755,23056,32748,12754,
预付款项(万元),929,330,307,508,
应收保费(万元),--,--,--,--,
应收分保账款(万元),--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,
应收利息(万元),--,--,--,--,
应收股利(万元),--,--,--,--,
其他应收款(万元),1455,2031,2919,3301,
应收出口退税(万元), --,--,--,--,
应收补贴款(万元),--,--,--,--,
应收保证金(万元),--,--,--,--,
内部应收款(万元),--,--,--,--,
买入返售金融资产(万元),--,--,--,--,
存货(万元),27745,26014,20415,11768,
待摊费用(万元),--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,
其他流动资产(万元),2457,3678,2363,3501,
流动资产合计(万元),84139,74900,63322,44830,
发放贷款及垫款(万元),--,--,--,--,
可供出售金融资产(万元),--,--,--,--,
持有至到期投资(万元),--,--,--,--,
长期应收款(万元),--,--,--,--,
长期股权投资(万元),--,--,--,--,
其他长期投资(万元),--,--,--,--,
投资性房地产(万元),--,--,--,--,
固定资产原值(万元),26936,--,--,--,
累计折旧(万元),4145,--,--,--,
固定资产净值(万元),22791,--,--,--,
固定资产减值准备(万元),--,--,--,--,
固定资产(万元),22791,22092,2238,1950,
在建工程(万元),--,--,13797,2174,
工程物资(万元),--,--,--,--,
固定资产清理(万元),--,--,--,--,
生产性生物资产(万元),--,--,--,--,
公益性生物资产(万元),--,--,--,--,
油气资产(万元),--,--,--,--,
无形资产(万元),5809,4262,4096,4016,
开发支出(万元),--,--,--,--,
商誉(万元),--,--,--,--,
长期待摊费用(万元),355,117,81,127,
股权分置流通权(万元),--,--,--,--,
递延所得税资产(万元),835,640,403,314,
其他非流动资产(万元),286,247,25,246,
非流动资产合计(万元),30076,27358,20639,8827,
资产总计(万元),114215,102258,83961,53657,
短期借款(万元),--,10207,4310,500,
向中央银行借款(万元),--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,
拆入资金(万元),--,--,--,--,
交易性金融负债(万元),--,--,--,--,
衍生金融负债(万元),--,--,--,--,
应付票据(万元),7984,--,--,--,
应付账款(万元),36004,37941,32922,11414,
预收账款(万元),1243,855,771,592,
卖出回购金融资产款(万元),--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,
应付职工薪酬(万元),1971,2338,1559,1203,
应交税费(万元),1393,787,1074,783,
应付利息(万元),12,60,12,1,
应付股利(万元),--,--,--,--,
其他应交款(万元),--,--,--,--,
应付保证金(万元),--,--,--,--,
内部应付款(万元),--,--,--,--,
其他应付款(万元),574,412,978,381,
预提费用(万元),--,--,--,--,
预计流动负债(万元),--,--,--,--,
应付分保账款(万元),--,--,--,--,
保险合同准备金(万元),--,--,--,--,
代理买卖证券款(万元),--,--,--,--,
代理承销证券款(万元),--,--,--,--,
国际票证结算(万元),--,--,--,--,
国内票证结算(万元),--,--,--,--,
递延收益(万元),--,--,--,--,
应付短期债券(万元),--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,
其他流动负债(万元),--,--,--,--,
流动负债合计(万元),49181,52601,41627,14875,
长期借款(万元),8260,3980,--,--,
应付债券(万元),--,--,--,--,
长期应付款(万元),--,--,--,--,
专项应付款(万元),--,--,--,--,
预计非流动负债(万元),--,--,--,--,
长期递延收益(万元),18,79,34,--,
递延所得税负债(万元),--,--,--,--,
其他非流动负债(万元),--,--,--,--,
非流动负债合计(万元),8278,4059,34,0,
负债合计(万元),57459,56660,41660,14875,
实收资本(或股本)(万元),12500,12500,12500,12500,
资本公积(万元),29681,22738,22672,19275,
减:库存股(万元),--,--,--,--,
专项储备(万元),--,--,--,--,
盈余公积(万元),1972,1155,293,198,
一般风险准备(万元),--,--,--,--,
未确定的投资损失(万元),--,--,--,--,
未分配利润(万元),12480,9202,6866,6801,
拟分配现金股利(万元),--,--,--,--,
外币报表折算差额(万元),--,--,--,--,
归属于母公司股东权益合计(万元),56696,45534,42248,38650,
少数股东权益(万元),60,64,53,132,
所有者权益(或股东权益)合计(万元),56756,45598,42301,38782,
负债和所有者权益(或股东权益)总计(万元),114215,102258,83961,53657,		
  
