报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),46034,52473,31122,44392,23507,13808,24209,6748,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,362,--,--,--,--,
应收账款(万元),6519,7411,7387,4877,4978,1085,596,2287,
预付款项(万元),12077,6810,8753,12432,741,2560,5485,3512,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),0,0,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),1786,1246,586,1139,1197,728,591,38,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),2461,2288,1769,1806,1716,1170,599,354,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),7755,7115,6639,5188,2523,828,--,--,
流动资产合计(万元),76633,77343,56256,70196,34662,20180,31479,12939,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),1643,1617,1601,1603,1593,1600,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),1459,1501,--,--,--,--,--,--,
固定资产原值(万元),267920,244242,181130,155078,138633,106684,92480,90797,
累计折旧(万元),68536,55173,45492,36535,29142,22559,17478,12649,
固定资产净值(万元),199383,189069,135638,118543,109491,84125,75003,78149,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),199383,189069,135638,118543,109491,84125,75003,78149,
在建工程(万元),18068,19173,64432,55014,48585,34050,15728,2244,
工程物资(万元),602,696,442,379,213,480,121,119,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),16350,16762,15419,11939,8214,6017,2025,929,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),8,8,8,8,8,--,--,--,
长期待摊费用(万元),52,19,31,32,54,186,226,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),194,214,184,134,93,29,15,175,
其他非流动资产(万元),1500,3161,2872,3597,4818,4630,--,--,
非流动资产合计(万元),239260,232222,220627,191249,173069,131117,93117,81615,
资产总计(万元),315893,309565,276883,261445,207732,151297,124596,94554,
短期借款(万元),7573,12585,41689,34500,36000,32100,27800,17500,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
