报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
货币资金(万元),47578100,46640300,45765400,41791100,49116900,42287100,39163100,29659100,28864117,17190429,12782385,9386321,7647874,3953768,4969944,4726268,
结算备付金(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
拆出资金(万元),9834900,3117800,1685100,5633600,5114900,8709100,21481200,22889900,2109936,1368432,1319771,401667,1048612,69737,246147,185276,
交易性金融资产(万元),45959800,36207200,35459500,12868500,4443500,4229500,2154000,810100,553695,336348,669121,852507,918632,65289,78987,50264,
衍生金融资产(万元),4209200,2839600,1613700,1393300,514200,641400,326600,290700,230137,139903,376464,125743,10654,16860,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收账款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
预付款项(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收利息(万元),--,3040600,2389900,2174300,2476000,2324900,1953500,1292400,665534,435433,420271,291990,211531,196407,78904,48370,
应收股利(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
其他应收款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
买入返售金融资产(万元),7708300,9311900,2793700,22592400,71276100,92109000,79279700,52697900,37400454,19588415,11727548,16995556,5646947,5051404,1769827,1483160,
存货(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
流动资产合计(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
发放贷款及垫款(万元),283844500,234883100,200736600,172482200,154925200,132068200,120454200,96894000,84256764,69196254,48998577,39302878,31823625,23745995,19859501,15322019,
可供出售金融资产(万元),64710200,50422100,58485000,42663400,40806600,26368100,19205700,14750500,14723185,11114815,7716799,4336487,7028221,11999874,5036633,2794478,
持有至到期投资(万元),39514200,33748300,24982800,20680200,19779000,11765500,6919900,3276400,3428994,4235424,5553989,6159268,4971437,0,--,--,
长期应收款(万元),10425300,10349500,8983900,7414600,5825400,--,--,--,0,--,0,0,0,0,--,--,
长期股权投资(万元),322400,300800,241800,191800,170400,168200,149400,115900,77072,41621,38770,5000,5000,5000,5000,5000,
其他长期投资(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
固定资产原值(万元),2684900,2259400,2285100,1756500,1508000,1161600,1032000,827200,645100,576558,516777,446404,439362,422120,386171,373505,
累计折旧(万元),918800,771700,726700,619400,516100,433700,366100,302900,260100,213901,178099,146609,147948,127246,100904,80996,
固定资产净值(万元),1766100,1487700,1558400,1137100,991900,727900,665900,524300,385000,362656,338678,299795,291415,294875,285267,292509,
固定资产减值准备(万元),300,300,300,300,300,300,300,300,300,278,278,278,0,0,--,--,
固定资产(万元),1765800,1487400,1558100,1136800,991600,727600,665600,524000,384711,362378,338400,299517,291415,294875,285267,292509,
在建工程(万元),787200,712400,639000,646100,425300,348100,273100,266400,308009,192475,153395,112220,70746,0,1414,--,
工程物资(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
无形资产(万元),60200,55100,55600,51900,49200,53000,25000,28100,31901,35961,39150,42098,41202,44246,47950,2957,
开发支出(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
商誉(万元),53200,53200,53200,53200,44600,44600,44600,44600,0,--,0,0,0,0,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
递延所得税资产(万元),3231700,2729700,2345600,1453200,1135700,1010700,493600,236300,238955,183818,199332,104950,102645,85442,84565,70289,
其他非流动资产(万元),6780400,3685800,3156800,4735100,1864800,1104200,1032600,840000,637280,466748,221174,193972,112998,129822,115110,77867,
非流动资产合计(万元),--,--,--,--,--,--,--,--,104086871,--,0,0,0,0,--,--,
资产总计(万元),671165700,641684200,608589500,529888000,440639900,367743500,325097500,240879800,184967338,133216155,102089882,85133527,61770434,47509410,34006471,25906032,
短期借款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
向中央银行借款(万元),26850000,24500000,19800000,6770000,3000000,--,--,--,36474,4040,0,0,0,0,--,30000,
吸收存款及同业存放(万元),464839500,453295200,441575900,424963600,353592800,317788900,270770200,197211000,155042193,113789751,81534024,69649363,52896091,42064807,31413574,23601288,
拆入资金(万元),22083100,18792900,13000400,10367200,8108000,7827200,8838900,5275200,2613708,176258,1271762,99140,71610,40351,90350,120000,
交易性金融负债(万元),259400,656300,49400,100,190300,121600,--,1000,0,--,64423,0,0,0,--,--,
衍生金融负债(万元),3882300,2951400,1647900,1056300,449800,686400,299600,301300,231725,160181,394128,134187,11593,10242,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应付账款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
预收账款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
卖出回购金融资产款(万元),23056900,22979400,16747700,4801600,9857100,8178100,16186200,14142600,8958532,4591048,5829630,4314219,2320532,1912305,552577,1021358,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应付职工薪酬(万元),1534100,1403700,1391600,1126200,992500,921300,743500,608500,454537,417675,347211,311419,153958,116929,71172,42000,
应交税费(万元),1129700,812800,1148800,1080200,1087300,1210300,955600,506600,348623,226391,316222,181474,87931,65779,70207,44842,
应付利息(万元),--,4129300,3590000,3644300,3571000,2631700,1889500,1480300,859124,573232,630391,335537,206351,188809,79315,56909,
应付股利(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
其他应付款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
预提费用(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
流动负债合计(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
长期借款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应付债券(万元),71785400,66295800,71396600,41483400,18578700,6790100,6896900,8101300,6493497,6892786,6494139,5996261,4100000,1600000,600000,300000,
长期应付款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,0,--,4952,1938,5398,33352,8422,3070,
其他非流动负债(万元),8486900,3592200,2800200,2857400,15102800,1470800,1453600,1644200,729397,425045,300796,220282,297003,198298,112464,80007,
非流动负债合计(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
负债合计(万元),623907300,599409000,573148500,498150300,414530300,347626400,308034000,229272000,175767809,127256409,97187678,81243819,60150468,46230872,32998081,25299474,
实收资本(或股本)(万元),2077400,2077400,1905200,1905200,1905200,1905200,1270200,1078600,599245,500000,500000,500000,399900,399900,399900,300000,
资本公积(万元),7501100,7501100,5086100,5086100,5086100,4624200,5002100,2829600,3262423,1723944,1769597,1735602,283921,283921,268878,114091,
减:库存股(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
盈余公积(万元),1068400,1068400,982400,982400,982400,982400,664800,591300,340321,340321,340321,226471,140613,102631,77981,51497,
一般风险准备(万元),7342200,7061100,6987800,6066500,4341800,3132500,2892300,1378700,993645,810063,638028,477387,362686,240000,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
未分配利润(万元),25780100,21497700,17352400,14165600,11960700,9332600,7128300,5642700,4003894,2585418,1654259,950247,422229,203072,261630,144555,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
归属于母公司股东权益合计(万元),46595300,41689500,35012900,31364800,25793400,19976900,16957700,11520900,9199529,5959746,4902205,3889708,1619967,1278539,1008390,606558,
少数股东权益(万元),663100,585700,428100,372900,316200,140200,105800,86900,0,--,0,0,0,0,--,--,
所有者权益(或股东权益)合计(万元),47258400,42275200,35441000,31737700,26109600,20117100,17063500,11607800,9199529,5959746,4902205,3889708,1619967,1278539,1008390,606558,
负债和所有者权益(或股东权益)总计(万元),671165700,641684200,608589500,529888000,440639900,367743500,325097500,240879800,184967338,133216155,102089882,85133527,61770434,47509410,34006471,25906032,		
  
