报告日期,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),2748,3330,5041,
结算备付金(万元),--,--,0,
拆出资金(万元),--,--,0,
交易性金融资产(万元),--,--,0,
衍生金融资产(万元),--,--,0,
应收票据(万元),2859,8163,3550,
应收账款(万元),208,1849,2432,
预付款项(万元),548,1490,1912,
应收保费(万元),--,--,0,
应收分保账款(万元),--,--,0,
应收分保合同准备金(万元),--,--,0,
应收利息(万元),--,--,0,
应收股利(万元),--,--,0,
其他应收款(万元),310,221,299,
应收出口退税(万元), --,--,0,
应收补贴款(万元),--,--,0,
应收保证金(万元),--,--,0,
内部应收款(万元),--,--,0,
买入返售金融资产(万元),--,--,0,
存货(万元),10090,10374,6139,
待摊费用(万元),--,--,0,
待处理流动资产损益(万元),--,--,0,
一年内到期的非流动资产(万元),--,--,0,
其他流动资产(万元),--,--,0,
流动资产合计(万元),16764,25426,19372,
发放贷款及垫款(万元),--,--,0,
可供出售金融资产(万元),0,--,0,
持有至到期投资(万元),--,--,0,
长期应收款(万元),--,--,0,
长期股权投资(万元),361,515,466,
其他长期投资(万元),--,--,0,
投资性房地产(万元),10,82,85,
固定资产原值(万元),97979,96531,95928,
累计折旧(万元),51278,49441,44175,
固定资产净值(万元),46701,47090,51753,
固定资产减值准备(万元),5616,5626,5626,
固定资产(万元),41084,41464,46127,
在建工程(万元),60,169,90,
工程物资(万元),--,--,0,
固定资产清理(万元),--,--,0,
生产性生物资产(万元),--,--,0,
公益性生物资产(万元),--,--,0,
油气资产(万元),--,--,0,
无形资产(万元),4623,520,538,
开发支出(万元),--,--,0,
商誉(万元),--,--,0,
长期待摊费用(万元),--,--,0,
股权分置流通权(万元),--,--,0,
递延所得税资产(万元),--,276,353,
其他非流动资产(万元),--,--,0,
非流动资产合计(万元),46139,43027,47660,
资产总计(万元),62903,68453,67031,
短期借款(万元),23850,21422,15960,
向中央银行借款(万元),--,--,0,
吸收存款及同业存放(万元),--,--,0,
拆入资金(万元),--,--,0,
交易性金融负债(万元),0,--,0,
衍生金融负债(万元),--,--,0,
应付票据(万元),1625,988,0,
应付账款(万元),7179,2802,2694,
预收账款(万元),1322,1568,2118,
卖出回购金融资产款(万元),--,--,0,
应付手续费及佣金(万元),--,--,0,
应付职工薪酬(万元),315,740,747,
应交税费(万元),-144,658,-69,
应付利息(万元),46,40,31,
应付股利(万元),0,--,0,
其他应交款(万元),--,--,0,
应付保证金(万元),--,--,0,
内部应付款(万元),--,--,0,
其他应付款(万元),1100,836,1983,
预提费用(万元),--,--,0,
预计流动负债(万元),--,--,0,
应付分保账款(万元),--,--,0,
保险合同准备金(万元),--,--,0,
代理买卖证券款(万元),--,--,0,
代理承销证券款(万元),--,--,0,
国际票证结算(万元),--,--,0,
国内票证结算(万元),--,--,0,
递延收益(万元),--,--,0,
应付短期债券(万元),--,--,0,
一年内到期的非流动负债(万元),--,463,3463,
其他流动负债(万元),--,234,180,
流动负债合计(万元),35293,29751,27107,
长期借款(万元),--,--,0,
应付债券(万元),--,--,0,
长期应付款(万元),--,1254,1894,
专项应付款(万元),--,--,0,
预计非流动负债(万元),--,--,0,
长期递延收益(万元),--,--,--,
递延所得税负债(万元),--,--,0,
其他非流动负债(万元),219,--,0,
非流动负债合计(万元),219,1254,1894,
负债合计(万元),35512,31005,29001,
实收资本(或股本)(万元),18721,18721,18721,
资本公积(万元),10767,10767,10767,
减:库存股(万元),--,--,0,
专项储备(万元),--,--,--,
盈余公积(万元),1867,1847,1734,
一般风险准备(万元),--,--,0,
未确定的投资损失(万元),--,--,0,
未分配利润(万元),-4764,5092,5913,
拟分配现金股利(万元),--,--,0,
外币报表折算差额(万元),--,--,0,
归属于母公司股东权益合计(万元),26590,36427,37135,
少数股东权益(万元),801,1021,895,
所有者权益(或股东权益)合计(万元),27391,37448,38030,
负债和所有者权益(或股东权益)总计(万元),62903,68453,67031,		
  
