报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),14541,30103,2626,1143,820,1053,1999,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),292,--,--,--,--,--,--,
应收账款(万元),7642,3345,1809,1553,1529,1096,957,
预付款项(万元),1885,915,490,505,470,384,159,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),1331,410,811,126,93,1002,18,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),12638,6229,4905,3937,2018,1395,1170,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),89919,64084,17275,12514,5168,3600,5,
流动资产合计(万元),128247,105086,27916,19778,10099,8531,4307,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),100,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,650,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),21347,20023,16001,12192,--,--,--,
累计折旧(万元),7344,5776,3800,2361,--,--,--,
固定资产净值(万元),14003,14247,12201,9831,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),14003,14247,12201,9831,6947,5642,3716,
在建工程(万元),9133,3240,47,--,18,--,102,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),2981,2555,2522,2061,1026,852,439,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),31,31,--,--,--,--,--,
长期待摊费用(万元),582,293,224,338,290,51,58,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),433,248,101,104,61,30,11,
其他非流动资产(万元),1532,962,397,695,1555,343,346,
非流动资产合计(万元),28794,21575,15493,13029,10546,6918,4672,
资产总计(万元),157041,126661,43409,32808,20645,15449,8978,
短期借款(万元),--,--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),659,--,--,--,--,--,--,
应付账款(万元),2019,1100,966,816,1052,4431,2727,
预收账款(万元),4072,2636,1393,751,386,877,585,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),3277,2943,2299,1508,1144,816,540,
应交税费(万元),3077,1908,2108,1265,522,449,307,
