报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),21224,19951,28053,4111,4129,3872,3701,5588,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),11071,14931,8756,6410,6130,6837,7105,3148,
应收账款(万元),16582,17147,13424,12248,12034,9839,9733,9502,
预付款项(万元),4866,5614,3587,1238,1187,2329,2498,3721,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),834,181,203,296,339,277,237,213,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),16783,15789,12644,11262,12654,11711,10996,11528,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),110,--,--,--,--,--,--,--,
流动资产合计(万元),71471,73613,66668,35566,36473,34865,34269,33700,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1468,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,72,78,84,90,97,103,
固定资产原值(万元),33540,29056,24816,23995,--,--,--,--,
累计折旧(万元),16100,14320,12795,11377,--,--,--,--,
固定资产净值(万元),17440,14736,12021,12617,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),17440,14736,12021,12617,13360,14104,14873,14606,
在建工程(万元),4732,120,78,135,427,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),1064,2134,2174,2220,2266,2301,2094,1306,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),24,24,24,24,24,24,24,24,
长期待摊费用(万元),255,463,671,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),668,834,657,603,528,507,455,228,
其他非流动资产(万元),--,--,--,--,--,--,--,279,
非流动资产合计(万元),25651,18311,15695,15676,16689,17026,17541,16546,
资产总计(万元),97122,91924,82363,51242,53163,51890,51810,50246,
短期借款(万元),--,--,6000,9800,13800,15300,15350,18700,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,800,
应付账款(万元),7143,8811,7773,6170,5179,4592,6593,6023,
预收账款(万元),89,169,365,126,166,152,103,100,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1457,1900,1550,1111,1189,1182,1158,1249,
应交税费(万元),1249,1265,999,950,1293,1113,1620,1515,
应付利息(万元),--,--,7,14,27,26,81,65,
应付股利(万元),--,--,--,76,75,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),4703,5241,228,191,287,280,2342,3888,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,400,--,--,--,
其他流动负债(万元),302,324,336,326,326,198,169,63,
流动负债合计(万元),14942,17709,17258,18763,22742,22842,27415,32404,
长期借款(万元),--,--,--,--,--,400,400,--,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,1630,505,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,
长期递延收益(万元),3264,4200,4012,4179,4154,2225,--,--,
递延所得税负债(万元),--,--,--,--,--,12,14,16,
其他非流动负债(万元),--,--,--,--,--,--,2131,768,
非流动负债合计(万元),3264,4200,4012,4179,4154,4266,3050,784,
负债合计(万元),18206,21909,21270,22941,26896,27108,30465,33188,
实收资本(或股本)(万元),12349,6135,5978,4483,4483,4483,4483,4483,
资本公积(万元),31757,36876,32012,3170,3170,3170,3170,3170,
减:库存股(万元),4271,4538,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,
盈余公积(万元),4391,3068,2989,2241,2241,2119,1755,1398,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),34689,28473,20113,18406,16372,15010,11937,8007,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),78915,70015,61093,28300,26266,24782,21345,17058,
少数股东权益(万元),--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),78915,70015,61093,28300,26266,24782,21345,17058,
负债和所有者权益(或股东权益)总计(万元),97122,91924,82363,51242,53163,51890,51810,50246,		
  
