报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),130521,364164,493914,242571,150394,97482,57029,84663,110609,53606,9700,9584,1021,
结算备付金(万元),--,--,--,0,--,0,0,0,--,0,--,0,0,
拆出资金(万元),--,--,--,0,--,0,0,0,--,0,--,0,0,
交易性金融资产(万元),--,--,--,0,--,0,0,0,--,0,0,0,0,
衍生金融资产(万元),--,--,--,0,--,--,--,--,--,0,--,--,0,
应收票据(万元),--,--,0,0,--,0,0,0,--,0,0,0,50,
应收账款(万元),495,896,839,458,144,192,46,2049,--,0,0,0,25295,
预付款项(万元),1904,1674,98,3052,11,0,0,462,110,0,0,10,408,
应收保费(万元),--,--,--,0,--,0,0,0,--,0,--,0,0,
应收分保账款(万元),--,--,--,0,--,0,0,--,--,0,--,--,0,
应收分保合同准备金(万元),--,--,--,0,--,0,0,0,--,0,--,0,0,
应收利息(万元),--,--,106,0,--,0,0,0,--,0,0,0,0,
应收股利(万元),--,--,--,0,--,0,0,0,--,0,0,--,0,
其他应收款(万元),10906,37931,10515,3415,264,106,1169,159,229,788,222,702,14961,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
买入返售金融资产(万元),--,--,--,0,--,0,0,0,--,0,--,0,0,
存货(万元),665583,470664,225607,267069,270122,335253,339174,318170,297863,284317,280302,52456,16653,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,0,0,0,--,0,0,0,0,
其他流动资产(万元),906,1037,1,50000,--,0,0,0,--,0,0,0,6,
流动资产合计(万元),810314,876366,731079,566566,420937,433033,397418,405504,408811,338711,290225,62751,58394,
发放贷款及垫款(万元),--,--,--,0,--,0,0,--,--,0,--,0,0,
可供出售金融资产(万元),12453,12453,12453,0,--,0,0,0,--,0,0,0,0,
持有至到期投资(万元),--,--,--,0,--,0,0,0,--,0,0,0,0,
长期应收款(万元),--,--,--,0,--,0,0,0,--,0,0,0,3291,
长期股权投资(万元),31494,36487,--,0,--,0,0,--,--,0,57,795,2202,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
投资性房地产(万元),77892,69739,70419,70465,70445,46480,42673,50642,51535,27970,28820,25747,0,
固定资产原值(万元),12415,13518,13566,13488,13885,40143,15876,8401,2514,2416,2383,2337,60962,
累计折旧(万元),3153,3015,2624,2095,1655,1724,1140,675,430,316,223,155,31797,
固定资产净值(万元),9262,10503,10942,11393,12230,38418,14735,7726,2084,2101,2159,2182,29165,
