报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),24599,31935,20300,17918,9137,3320,4848,7030,1609,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),135,--,--,74,--,--,98,37,60,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),204,864,1132,620,341,572,14,--,--,
应收账款(万元),7041,6844,5141,4586,3849,3352,1239,751,588,
预付款项(万元),989,954,911,477,435,401,361,241,673,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),831,347,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),941,979,1523,600,6183,3367,135,86,2679,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),17203,16901,10802,4701,4612,3602,2161,739,406,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,15,--,--,--,--,
其他流动资产(万元),25924,16663,56,10,1836,1583,1149,614,77,
流动资产合计(万元),77867,75487,39866,28986,26408,16196,10004,9497,6092,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),830,854,877,257,263,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),131,162,172,182,191,201,--,--,--,
固定资产原值(万元),32694,31120,24617,17770,15276,--,--,--,--,
累计折旧(万元),10122,8212,6426,5041,4023,--,--,--,--,
固定资产净值(万元),22571,22908,18191,12730,11252,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,
固定资产(万元),22571,22908,18191,12730,11252,10424,3249,1947,1961,
在建工程(万元),5442,3109,140,211,1417,64,2653,515,110,
工程物资(万元),--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),5536,5398,2417,1194,1245,1295,1375,1374,1434,
开发支出(万元),--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),383,87,--,--,--,59,--,--,9,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),935,1045,1258,440,436,315,119,65,12,
其他非流动资产(万元),2986,639,2362,530,172,313,--,--,--,
非流动资产合计(万元),38814,34202,25417,15542,14976,12672,7396,3901,3527,
资产总计(万元),116680,109689,65284,44528,41384,28868,17401,13399,9619,
短期借款(万元),11276,12314,10585,8226,11496,1217,--,--,1150,
