报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),47405,41273,30443,57757,143776,158914,116464,71388,22419,14032,8305,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,0,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,253,--,--,--,--,--,--,--,--,
应收账款(万元),23244,26742,32645,58993,56946,49187,62773,33754,29280,19059,18834,
预付款项(万元),2277,968,2668,2074,12184,7818,4622,8018,2204,750,1171,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,770,653,216,95,194,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),362,263,119,631,337,1755,430,473,109,225,239,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),158576,159599,167635,153154,181582,213777,226246,248457,150505,120856,101362,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),43210,24491,124235,95797,83150,36129,4851,--,--,--,--,
流动资产合计(万元),275074,253336,357997,369176,478627,467796,415481,362284,204517,154922,129912,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),32526,32526,32526,30934,--,0,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,0,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),68155,71951,72561,70142,147,142,131,129,215,215,215,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),30753,30412,22386,15102,14963,13895,6985,6420,6143,5840,--,
累计折旧(万元),10001,8674,7580,6616,5685,4670,3860,3322,2821,2293,--,
固定资产净值(万元),20753,21738,14806,8486,9277,9224,3125,3098,3322,3547,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),20753,21738,14806,8486,9277,9224,3125,3098,3322,3547,3826,
在建工程(万元),--,--,6051,9578,5730,3255,6922,--,--,180,159,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),5165,5153,5316,5391,5534,5692,5747,2113,2161,2465,2527,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,512,512,--,--,--,--,--,--,
长期待摊费用(万元),3163,1388,744,--,--,--,--,--,--,--,21,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1881,2159,2147,869,409,241,238,422,393,603,166,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),131643,134915,134151,125912,21609,18555,16163,5761,6092,7010,6914,
资产总计(万元),406717,388251,492148,495089,500236,486351,431643,368045,210609,161932,136825,
短期借款(万元),7000,--,--,--,--,34015,--,50195,97300,78400,72000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,67,--,41169,31235,28426,22240,22638,18253,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,2869,6325,2035,
应付账款(万元),6795,8103,6011,5060,5631,4426,4806,4877,11311,1301,2041,
预收账款(万元),3045,1783,5501,3726,1643,8452,4700,7819,5904,4099,5106,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2074,1908,1791,2041,2095,1932,1683,1923,1429,19,40,
应交税费(万元),1004,3287,1366,1130,2228,3446,2361,-7152,383,1333,-843,
应付利息(万元),1046,858,6254,6190,5899,5682,5956,279,341,326,212,
应付股利(万元),49,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),1091,832,792,978,872,791,940,1172,160,494,1875,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,
