报告日期,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),3405,2561,2553,
结算备付金(万元),--,--,0,
拆出资金(万元),--,--,0,
交易性金融资产(万元),--,0,53,
衍生金融资产(万元),--,--,0,
应收票据(万元),2212,1712,1377,
应收账款(万元),6825,10196,13429,
预付款项(万元),1074,1702,1169,
应收保费(万元),--,--,0,
应收分保账款(万元),--,--,0,
应收分保合同准备金(万元),--,--,0,
应收利息(万元),--,--,0,
应收股利(万元),--,--,0,
其他应收款(万元),3100,2260,2779,
应收出口退税(万元), --,--,0,
应收补贴款(万元),--,--,0,
应收保证金(万元),--,--,0,
内部应收款(万元),--,--,0,
买入返售金融资产(万元),--,--,0,
存货(万元),8322,9001,6700,
待摊费用(万元),--,--,0,
待处理流动资产损益(万元),--,--,0,
一年内到期的非流动资产(万元),--,--,0,
其他流动资产(万元),--,--,0,
流动资产合计(万元),24939,27432,28060,
发放贷款及垫款(万元),--,--,0,
可供出售金融资产(万元),9341,24360,12405,
持有至到期投资(万元),--,0,2,
长期应收款(万元),--,--,0,
长期股权投资(万元),2757,2757,2907,
其他长期投资(万元),--,--,0,
投资性房地产(万元),5846,1174,1232,
固定资产原值(万元),32123,36646,37641,
累计折旧(万元),12253,16846,16389,
固定资产净值(万元),19870,19801,21252,
固定资产减值准备(万元),4651,4689,4792,
固定资产(万元),15218,15112,16460,
在建工程(万元),198,2544,1046,
工程物资(万元),--,--,0,
固定资产清理(万元),--,--,0,
生产性生物资产(万元),--,--,0,
公益性生物资产(万元),--,--,0,
油气资产(万元),--,--,0,
无形资产(万元),4716,5461,5426,
开发支出(万元),--,--,0,
商誉(万元),--,--,0,
长期待摊费用(万元),--,--,0,
股权分置流通权(万元),--,--,0,
递延所得税资产(万元),1700,1653,1434,
其他非流动资产(万元),--,--,0,
非流动资产合计(万元),39777,53061,40913,
资产总计(万元),64716,80493,68973,
短期借款(万元),17390,11070,16877,
向中央银行借款(万元),--,--,0,
吸收存款及同业存放(万元),--,--,0,
拆入资金(万元),--,--,0,
交易性金融负债(万元),0,--,0,
衍生金融负债(万元),--,--,0,
应付票据(万元),--,--,0,
应付账款(万元),4168,4466,4849,
预收账款(万元),2855,3812,2790,
卖出回购金融资产款(万元),--,--,0,
应付手续费及佣金(万元),--,--,0,
应付职工薪酬(万元),362,481,1137,
应交税费(万元),294,466,791,
应付利息(万元),--,--,0,
应付股利(万元),151,151,151,
其他应交款(万元),--,--,0,
应付保证金(万元),--,--,0,
内部应付款(万元),--,--,0,
其他应付款(万元),4814,14501,14577,
预提费用(万元),--,--,0,
预计流动负债(万元),--,--,0,
应付分保账款(万元),--,--,0,
保险合同准备金(万元),--,--,0,
代理买卖证券款(万元),--,--,0,
代理承销证券款(万元),--,--,0,
国际票证结算(万元),--,--,0,
国内票证结算(万元),--,--,0,
递延收益(万元),--,--,0,
应付短期债券(万元),--,--,0,
一年内到期的非流动负债(万元),--,--,0,
其他流动负债(万元),--,--,0,
流动负债合计(万元),30035,34947,41172,
长期借款(万元),2000,--,0,
应付债券(万元),--,--,0,
长期应付款(万元),--,--,0,
专项应付款(万元),--,--,0,
预计非流动负债(万元),0,1188,1570,
长期递延收益(万元),--,--,--,
递延所得税负债(万元),1230,4882,1158,
其他非流动负债(万元),--,--,0,
非流动负债合计(万元),3230,6069,2728,
负债合计(万元),33265,41016,43900,
实收资本(或股本)(万元),21559,21559,21559,
资本公积(万元),14677,25590,15496,
减:库存股(万元),--,--,0,
专项储备(万元),--,--,--,
盈余公积(万元),--,--,0,
一般风险准备(万元),--,--,0,
未确定的投资损失(万元),--,--,0,
未分配利润(万元),-7931,-10149,-14181,
拟分配现金股利(万元),--,--,0,
外币报表折算差额(万元),--,--,0,
归属于母公司股东权益合计(万元),28305,37001,22874,
少数股东权益(万元),3147,2475,2199,
所有者权益(或股东权益)合计(万元),31452,39476,25074,
负债和所有者权益(或股东权益)总计(万元),64716,80493,68973,		
  
