报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),972915,559631,632600,448717,366739,477105,522154,778813,465570,526922,310135,305443,201688,
结算备付金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),19368,19488,14116,13329,42767,45968,40509,18613,52566,9177,38655,92434,22466,
衍生金融资产(万元),4906,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),142355,137686,153619,136963,159169,137629,77811,103053,50859,169085,85341,75775,20528,
应收账款(万元),1789592,1639673,1152608,1066705,1148047,1006649,823803,811078,812984,386260,419373,889977,518087,
预付款项(万元),686130,214772,216598,329019,522335,339380,121304,193050,243345,107356,101439,169394,226135,
应收保费(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,1909,925,1084,397,75,1441,202,473,0,241,500,0,
应收股利(万元),--,441,4196,1235,1043,--,--,--,0,0,1079,213,450,
其他应收款(万元),--,825974,934789,325365,257498,280506,211444,270967,223627,112349,88412,114725,49640,
应收出口退税(万元), --,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),2733532,1925833,1740952,1641665,1677343,1596059,1803473,1546835,1342375,675357,783338,771538,472757,
待摊费用(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动资产(万元),438789,431425,394169,322867,238898,151334,163633,263529,118550,39404,12806,9511,733,
其他流动资产(万元),103874,119830,70248,66084,102984,82263,69047,86563,68803,27624,41018,7171,0,
流动资产合计(万元),8190296,5900192,5335203,4353033,4517218,4116967,3834619,4072703,3379151,2053533,1881838,2436679,1512484,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
可供出售金融资产(万元),--,44158,44273,42086,39603,734,60975,57195,76847,117579,126461,415364,152436,
持有至到期投资(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
长期应收款(万元),1387437,1288054,1322024,1273456,344954,295242,254057,231124,133626,99194,50190,19864,5864,
长期股权投资(万元),356990,239850,216222,203637,116567,157661,191376,195719,154833,193081,160260,91282,64612,
其他长期投资(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
投资性房地产(万元),196628,167919,175261,43881,36556,32481,18367,12698,7736,7561,7924,4903,5007,
固定资产原值(万元),3552356,3369423,3186217,3099875,2690489,2024682,1733515,1593634,1454313,1126837,999202,890272,630067,
累计折旧(万元),1185335,1046319,945565,872679,743256,637919,533769,484078,430645,332425,277609,249078,158123,
固定资产净值(万元),2367021,2323104,2240652,2227196,1947233,1386763,1199747,1109556,1023668,794413,721593,641194,471945,
固定资产减值准备(万元),48980,29002,36926,42391,42120,35955,38872,21012,23021,24909,6215,7041,7525,
固定资产(万元),2318041,2294102,2203726,2184805,1905114,1350808,1160875,1088544,1000647,769503,715378,634153,464420,
在建工程(万元),--,2219459,2276919,1704039,1046094,668462,227999,189833,169766,57327,94356,69351,33992,
工程物资(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产清理(万元),833,14766,13005,9951,--,--,--,--,0,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
无形资产(万元),466085,471124,465476,498356,435583,369997,327375,317222,321857,277763,264546,236037,135991,
开发支出(万元),9906,6740,4999,2297,4171,--,--,--,0,0,0,0,0,
商誉(万元),195499,211245,212789,176214,166375,139594,126716,120750,116859,120652,115025,97795,29368,
长期待摊费用(万元),32218,20524,24657,16571,19416,9608,4795,3489,2798,3051,3921,3589,3508,
股权分置流通权(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
递延所得税资产(万元),144127,141664,125767,119446,111774,85641,71780,70410,48946,36595,35887,30175,11478,
其他非流动资产(万元),39175,8789,8635,46570,34194,33310,20304,76485,0,0,0,0,0,
非流动资产合计(万元),7698100,7160246,7126272,6323285,4260400,3143630,2464619,2363469,2033914,1682305,1573948,1602513,906674,
资产总计(万元),15888396,13060438,12461475,10676317,8777618,7260597,6299238,6436171,5413065,3735838,3455786,4039192,2419157,
短期借款(万元),1989822,1531735,1572979,1790902,1123953,724478,543841,803091,830931,415748,220669,269656,94115,
向中央银行借款(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融负债(万元),--,303,14181,25077,10366,130,1286,3111,381,15504,40944,33838,0,
衍生金融负债(万元),34273,--,--,--,--,--,--,--,0,0,0,0,0,
应付票据(万元),188979,178546,155158,174908,168402,117336,98971,329523,253862,122609,101345,252491,281895,
应付账款(万元),1321083,1221631,1016095,889301,1136490,778165,705942,732897,911750,446226,439127,697961,385325,
预收账款(万元),13200,462409,378069,276351,305478,292089,272248,266274,193573,127060,68796,53038,26059,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
应付职工薪酬(万元),309682,271348,211511,223427,230629,217674,201956,201261,136553,81343,75731,93669,101723,
应交税费(万元),219409,136399,109203,92314,79978,68314,74753,91612,78916,62301,42182,-36474,-30628,
应付利息(万元),--,37779,30338,21637,18578,21353,20329,15207,1317,884,5185,9284,3472,
应付股利(万元),--,25443,1675,5603,4797,19790,3875,11625,1605,3143,3246,1029,585,
其他应交款(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应付款(万元),--,685454,515407,528501,528695,501950,429260,339384,238837,147690,158348,139565,93137,
预提费用(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
预计流动负债(万元),108327,121490,84743,87550,76105,78448,75349,73618,64957,51680,57305,62633,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动负债(万元),1407560,408558,366787,476552,405285,245878,126194,256032,284452,45547,27036,136810,2056,
其他流动负债(万元),102422,59591,168776,--,245251,192032,--,--,0,0,0,0,57592,
流动负债合计(万元),7353616,5142176,4624922,4592124,4334008,3257635,2554003,3123633,2997134,1519735,1239912,1713499,1015332,
长期借款(万元),2576977,2414017,2702322,2368484,1111030,776124,764179,657259,391215,560856,654822,446231,72580,
应付债券(万元),201928,798650,798650,--,445508,645073,646224,398844,0,0,0,0,0,
长期应付款(万元),--,34727,52937,55014,67256,24299,14510,8685,11886,0,0,0,0,
专项应付款(万元),--,1413,970,583,495,374,480,894,1644,1364,863,733,7242,
预计非流动负债(万元),--,--,--,--,--,--,--,--,0,4138,4138,0,0,
长期递延收益(万元),97159,84623,83974,51166,46762,--,--,--,0,0,2069,1159,618,
递延所得税负债(万元),183613,80134,65741,46748,36960,66120,65039,58150,57287,54072,60538,123341,16554,
其他非流动负债(万元),211145,177175,212356,7164,--,38643,34863,19856,17801,13010,0,0,0,
非流动负债合计(万元),3294481,3594519,3923074,2534706,1715399,1553350,1533519,1151171,495261,633440,722430,571463,96994,
负债合计(万元),10648098,8736695,8547996,7126830,6049407,4810984,4087522,4274804,3492395,2153175,1962342,2284962,1112326,
实收资本(或股本)(万元),298499,298289,297858,297782,267263,266240,266240,266240,266240,266240,266240,266240,221866,
资本公积(万元),412840,420966,312659,318186,68651,70770,93048,79926,134942,155770,135277,355347,161679,
减:库存股(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
盈余公积(万元),328259,328154,327938,320358,312641,312129,305984,295316,357759,357759,357759,349705,349705,
一般风险准备(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
未分配利润(万元),2208277,1973449,1749505,1766315,1665196,1489931,1339280,1278509,1068934,822953,766992,767476,546341,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,-71666,-53233,-56676,-205568,-182901,-183378,-147391,-57579,
归属于母公司股东权益合计(万元),3732500,3246093,2928597,2854132,2229031,2067404,1951318,1863315,1622306,1419821,1342890,1591376,1222011,
少数股东权益(万元),1507799,1077651,984882,695356,499180,382209,260398,298052,298364,162842,150555,162854,84820,
所有者权益(或股东权益)合计(万元),5240299,4323743,3913479,3549488,2728212,2449613,2211716,2161367,1920670,1582663,1493445,1754230,1306831,
负债和所有者权益(或股东权益)总计(万元),15888396,13060438,12461475,10676317,8777618,7260597,6299238,6436171,5413065,3735838,3455786,4039192,2419157,		
  
