报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),153772,148840,173521,19489,21351,19302,29631,33327,52866,7739,6065,6471,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收票据(万元),6468,7597,17589,1460,1204,518,2740,1660,447,2691,2564,281,
应收账款(万元),70135,40786,18840,12933,10378,5835,6975,5286,2872,2978,2857,7116,
预付款项(万元),25197,12404,6139,20377,22153,15535,8551,6505,5572,4697,6730,7224,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收利息(万元),--,182,--,--,--,--,--,--,--,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,--,
其他应收款(万元),8361,143,164,11,11,28,50,29,1,0,16,116,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
存货(万元),65875,51907,42999,19740,24441,25282,20519,31147,15802,13746,11736,10439,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,--,
一年内到期的非流动资产(万元),--,1235,--,--,--,--,--,--,--,0,0,--,
其他流动资产(万元),43807,86351,1288,872,106,--,--,--,--,0,0,--,
流动资产合计(万元),373615,349445,260541,74881,79645,66500,68466,77954,77560,31851,29969,31647,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
可供出售金融资产(万元),2475,7775,5300,2300,2300,--,--,--,--,0,0,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,--,
长期应收款(万元),--,--,1235,1235,--,--,--,--,--,0,0,--,
长期股权投资(万元),--,--,--,--,--,2300,--,--,--,0,0,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,--,
投资性房地产(万元),1872,1973,--,--,--,--,--,--,--,0,0,--,
固定资产原值(万元),181024,149529,127081,62425,61114,46387,39059,29909,28730,27451,25009,--,
累计折旧(万元),68948,48546,39810,23369,19683,16156,13322,11062,9160,7154,5301,--,
固定资产净值(万元),112076,100983,87271,39057,41431,30232,25737,18847,19570,20297,19708,--,
固定资产减值准备(万元),365,3,3,4,4,4,5,5,18,18,19,--,
固定资产(万元),111710,100979,87267,39053,41427,30228,25732,18842,19552,20279,19689,18310,
在建工程(万元),5184,545,17849,9568,510,8603,7357,2964,56,40,20,20,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,0,--,
固定资产清理(万元),--,4,--,--,--,--,--,--,--,0,0,--,
生产性生物资产(万元),139,--,--,--,--,--,0,--,--,0,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,
无形资产(万元),34240,22979,24464,11921,12260,12594,9869,10003,8211,8373,8541,7181,
开发支出(万元),--,--,--,--,--,--,--,--,--,0,0,--,
商誉(万元),274042,189422,189422,--,--,--,--,--,--,0,0,--,
长期待摊费用(万元),4535,399,--,--,--,--,--,--,--,0,0,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,--,
递延所得税资产(万元),5734,4049,1382,605,216,129,208,65,64,58,68,123,
其他非流动资产(万元),10870,4118,1199,2691,621,2221,--,--,--,0,0,--,
非流动资产合计(万元),450801,332244,328119,67373,57333,56075,43165,31874,27884,28751,28318,25634,
资产总计(万元),824416,681689,588660,142254,136978,122575,111631,109828,105444,60602,58287,57281,
短期借款(万元),67736,54742,27500,35000,32700,24700,21850,26200,18300,25500,24550,24550,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,0,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应付票据(万元),30862,25533,12356,2860,8290,4290,--,--,7000,2000,900,2000,
应付账款(万元),30693,35003,18287,6797,7978,7346,7556,7743,4968,2482,3605,3161,
预收账款(万元),11886,5486,4802,209,178,1951,1641,402,1844,241,356,35,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应付职工薪酬(万元),3845,2321,2204,1500,1006,898,774,589,298,191,356,517,
应交税费(万元),12198,9488,2716,524,919,325,692,-1303,155,343,402,1009,
应付利息(万元),119,76,46,65,63,64,72,61,32,62,72,79,
应付股利(万元),--,--,--,--,--,--,--,--,--,0,129,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
其他应付款(万元),9849,10632,7443,138,127,117,0,12,7,38,38,518,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
