报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),49671,16507,26915,33761,21119,19151,39609,21880,17732,9864,7566,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,42,49,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,0,1662,826,261,711,620,--,20,
应收账款(万元),468,13,35868,22112,23802,26497,30197,19045,12634,6883,5186,
预付款项(万元),738,5,2914,2548,2575,2973,10558,3126,10664,8540,12537,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),3,4,121,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),184,153,4990,3607,6370,6185,3126,858,1332,872,1931,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),7,6,39509,69036,74744,58730,64898,42245,27102,25894,14805,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),17732,14376,53501,154,--,--,--,--,--,--,--,
流动资产合计(万元),68803,31063,163818,131217,130271,114362,148649,87866,70084,52095,42094,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,27885,28391,20218,7654,--,--,--,--,--,
长期股权投资(万元),--,20,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),31824,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),128420,139145,60331,58819,57221,49229,36162,32635,31015,--,--,
累计折旧(万元),4321,414,25477,23249,21093,18194,16224,14101,12121,--,--,
固定资产净值(万元),124099,138730,34854,35570,36129,31035,19937,18534,18894,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),124099,138730,34854,35570,36129,31035,19937,18534,18894,18077,19193,
在建工程(万元),--,--,97712,53570,1057,4297,4692,1754,--,108,10,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),92550,95625,49971,5211,5339,5472,4259,4330,4421,3178,2319,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),21468,21468,31,31,--,--,--,--,--,--,--,
长期待摊费用(万元),34117,24143,142,64,102,50,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),6274,3432,5141,2403,2670,3045,528,522,336,300,109,
其他非流动资产(万元),1741,22,187,--,--,--,--,--,--,--,--,
非流动资产合计(万元),312074,283440,215924,125239,65515,51553,29416,25140,23651,21664,21631,
资产总计(万元),380877,314503,379742,256456,195786,165915,178065,113006,93735,73759,63724,
短期借款(万元),19900,28000,14630,19700,27200,26746,29700,19946,5000,1600,3600,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,7483,20759,46893,37718,23740,22222,14422,23252,5070,3140,
应付账款(万元),26086,40901,31357,27843,31784,19059,19670,34616,14256,10004,12828,
预收账款(万元),17130,9534,--,1706,1832,1090,10089,11812,26819,35570,24400,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1368,1290,399,117,89,99,92,104,90,62,64,
应交税费(万元),900,3102,381,1565,186,-1211,-745,705,-1111,-883,138,
应付利息(万元),181,42,409,198,472,442,369,--,--,--,--,
应付股利(万元),43,43,43,43,--,--,--,--,--,--,1333,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,
