报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
货币资金(万元),21490100,18471400,16628500,15318200,18800700,17068672,14692301,12598447,10419688,6813283,4928682,4560812,3545995,2585504,3201501,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
拆出资金(万元),6878700,6340600,7238000,8895300,7450500,5638836,7409982,9673285,2255667,1072155,1497777,1150836,584678,461932,235311,
交易性金融资产(万元),4915600,4291100,4095200,1652200,1336000,1322122,704069,536063,1671767,1151570,1681131,625485,664874,1485272,660394,
衍生金融资产(万元),26200,20600,21000,13700,5300,8988,3032,2223,2660,1862,5172,1283,161,105,589,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应收账款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应收利息(万元),1639400,1395800,1271700,1096700,898100,761951,700535,507316,283896,199739,172324,148000,25015,18713,18294,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
买入返售金融资产(万元),4300100,6307200,8264300,13872200,13317900,12374771,8848795,2322864,6511466,4274668,4270437,2789529,1049925,1002460,732050,
存货(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
发放贷款及垫款(万元),121864500,103902300,86795500,74791700,65471800,56885223,48344529,39607692,32760280,26745011,18769032,15332413,12552705,10777133,10489330,
可供出售金融资产(万元),23429000,18425500,17702600,12794100,10970600,9643079,9498306,8630350,7838830,6359587,8097906,8294593,7329864,963588,746619,
持有至到期投资(万元),22858100,22609500,20843100,14756200,12009900,10833126,9705505,8857296,6410810,4472362,0,0,--,3788672,2684426,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
长期股权投资(万元),232500,176000,163900,212400,177900,190638,135516,120634,117756,31082,21673,3060,--,--,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
投资性房地产(万元),38800,36700,50100,24000,34100,35875,34563,22040,23210,24380,25550,24757,--,--,0,
固定资产原值(万元),1999700,1532200,764200,769100,692400,482163,446265,327017,303073,248708,235298,218769,281188,247082,0,
累计折旧(万元),418500,371000,319900,274400,217700,179793,152137,125568,108434,95225,83386,75461,89636,81059,0,
固定资产净值(万元),1581200,1161200,444300,494700,474700,302369,294127,201449,194638,153483,151911,143308,191553,166023,0,
固定资产减值准备(万元),1300,1300,200,200,200,2,2,--,1086,--,0,0,--,--,0,
固定资产(万元),1579900,1159900,444100,494500,474500,302367,294125,201449,193553,153483,151911,143308,191553,166023,146812,
在建工程(万元),--,--,429300,218800,130100,217675,74819,10478,--,19999,0,87,--,--,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
无形资产(万元),55700,57800,59700,60800,62300,54712,--,--,--,--,0,0,--,--,0,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
商誉(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
递延所得税资产(万元),1288400,1213800,844800,507300,362000,385596,215653,142085,99662,78201,8544,86183,109170,117858,140250,
其他非流动资产(万元),727500,700000,640100,474100,391800,276615,213433,140635,120430,136870,253665,452041,81081,113322,138747,
非流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
资产总计(万元),257286500,232980500,211633900,184490900,152443700,133676385,111996893,95649868,73321050,53346932,41702102,35422294,27296889,23304382,20293998,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
向中央银行借款(万元),6411200,5350000,4302100,1003500,2011500,--,--,--,--,--,0,0,--,--,0,
吸收存款及同业存放(万元),174693500,156699800,149701400,141200900,123601600,114957833,95497221,78228505,61280961,47246720,35211193,27640454,24351006,21211152,18458303,
拆入资金(万元),6855200,4953300,3476900,3846900,2408300,2189657,2148924,2039777,1602470,161728,191262,252596,86234,19420,37324,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
衍生金融负债(万元),15400,13700,23000,9600,3100,10387,3286,1954,1192,852,2676,5918,1768,3300,770,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应付账款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
预收账款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
卖出回购金融资产款(万元),2133400,3117200,5113900,4660800,5952700,2985270,3893599,7209465,3974175,350000,1142678,3268450,879625,470000,1084352,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应付职工薪酬(万元),293100,276200,190900,115100,38900,33293,49682,59675,39832,11966,38538,23756,76,12173,13767,
应交税费(万元),219900,305500,335600,222400,152900,121755,123980,114069,23791,34663,49942,68813,101535,62886,54076,
应付利息(万元),2095800,1861100,1489100,1427400,1377500,1100983,790354,583124,346300,236848,213945,148247,103423,74990,55826,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
其他应付款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
流动负债合计(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应付债券(万元),40560200,39834000,30176500,17463900,5678300,3989800,1997225,1996217,1647074,1346882,1346039,350000,350000,350000,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
预计非流动负债(万元),2400,2400,6600,2300,2300,3911,3942,3931,4041,4132,7889,15678,7991,3224,6469,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
递延所得税负债(万元),--,--,--,--,--,--,--,1,2,--,0,0,--,--,0,
其他非流动负债(万元),4593000,2895900,2440000,2856700,1602200,452885,319610,369798,144524,195364,116577,981589,431202,313069,235609,
非流动负债合计(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
负债合计(万元),237873100,215309100,197256000,172809500,142829300,125845774,104827821,90606515,69064362,49589155,38320739,32755500,26312860,22520214,19946494,
实收资本(或股本)(万元),2114300,2114300,1520600,1267200,1056000,880016,880016,622756,622756,622756,622756,622756,502756,502756,353886,
