报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),5443,4204,7352,6905,654,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),5562,1690,1485,1509,657,
应收账款(万元),8382,9528,7654,7241,6686,
预付款项(万元),1853,1895,1001,619,424,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),70,39,540,4584,8634,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),12107,10971,10849,8709,8938,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),375,--,--,29,46,
流动资产合计(万元),33792,28327,28881,29596,26040,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),1865,2016,1971,1920,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,
固定资产原值(万元),47996,40919,39108,35204,--,
累计折旧(万元),23756,21524,19534,16596,--,
固定资产净值(万元),24240,19395,19574,18608,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),24240,19395,19574,18608,24290,
在建工程(万元),5383,2532,434,1889,2451,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),3695,3459,3540,3628,4041,
开发支出(万元),--,--,--,--,--,
商誉(万元),256,256,256,256,256,
长期待摊费用(万元),861,175,204,259,178,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),401,230,193,176,170,
其他非流动资产(万元),3623,2712,878,665,757,
非流动资产合计(万元),40325,30774,27050,27401,32144,
资产总计(万元),74117,59101,55931,56997,58184,
短期借款(万元),10900,12081,15000,14400,17893,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),--,--,--,--,--,
应付账款(万元),3273,3311,3140,2706,3452,
预收账款(万元),482,222,76,234,521,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),122,79,75,90,78,
应交税费(万元),412,1048,1039,516,684,
应付利息(万元),--,6,--,--,26,
应付股利(万元),--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),7,714,723,739,1963,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),4,4,--,2000,2000,
其他流动负债(万元),114,137,--,--,26,
流动负债合计(万元),15314,17602,20053,20686,26642,
长期借款(万元),5370,--,--,--,2000,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),1925,529,--,--,--,
递延所得税负债(万元),--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),7295,529,0,0,2000,
负债合计(万元),22609,18131,20053,20686,28642,
实收资本(或股本)(万元),8000,8000,8000,8000,8000,
资本公积(万元),11741,11741,11387,11387,8500,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),4620,3679,2748,2109,1726,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),27147,17550,13742,14815,11315,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),51508,40970,35878,36311,29541,
少数股东权益(万元),--,--,--,--,--,
所有者权益(或股东权益)合计(万元),51508,40970,35878,36311,29541,
负债和所有者权益(或股东权益)总计(万元),74117,59101,55931,56997,58184,		
  
