报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),9630,7405,27339,45076,60201,60064,17477,9986,23666,23863,4874,7017,872,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收票据(万元),1408,3356,4796,42751,33363,45946,24085,15892,12303,12248,8618,3299,1644,
应收账款(万元),8067,6834,21615,103637,79736,44692,36237,22791,15268,10904,5712,6059,3885,
预付款项(万元),53,60,552,5476,1365,1938,579,8249,4858,3629,118,2220,389,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收利息(万元),0,--,--,--,22,--,--,--,--,0,0,--,--,
应收股利(万元),0,--,--,--,--,--,--,--,--,0,0,--,--,
其他应收款(万元),483,1799,17616,7562,6434,933,1738,322,341,312,330,30,198,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
存货(万元),4963,5379,10929,43813,68588,63723,24417,13603,13927,14885,6828,6902,4390,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
其他流动资产(万元),386,2842,3188,4922,6734,12095,3318,110,15,17,0,--,--,
流动资产合计(万元),24989,27675,86037,253238,256443,229390,107851,70952,70377,65859,26480,25527,11378,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
可供出售金融资产(万元),--,2890,2890,4890,2411,--,--,--,--,0,0,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
长期股权投资(万元),--,--,--,--,--,411,411,411,411,0,0,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
固定资产原值(万元),59354,64448,81611,84181,76876,62052,46491,33427,8033,6602,4153,--,--,
累计折旧(万元),17939,18380,20416,19528,16460,11987,5621,3250,2427,1749,1163,--,--,
固定资产净值(万元),41415,46068,61196,64653,60416,50064,40870,30177,5606,4853,2991,--,--,
固定资产减值准备(万元),11529,9158,18081,17310,4216,536,536,--,--,0,0,--,--,
固定资产(万元),29886,36909,43115,47342,56200,49529,40335,30177,5606,4853,2991,2268,1832,
在建工程(万元),510,560,1060,1217,458,2497,813,5874,1996,0,0,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
无形资产(万元),3157,3246,3328,6791,7381,7546,6170,3941,3884,3623,3608,6,8,
开发支出(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
商誉(万元),--,--,--,1261,62886,87909,1891,1891,--,0,0,--,--,
长期待摊费用(万元),445,785,1342,1712,1918,3708,2734,851,687,749,132,117,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
递延所得税资产(万元),497,524,810,3009,2091,1510,532,60,70,52,100,13,0,
其他非流动资产(万元),476,799,88,1563,3955,882,4257,--,--,0,0,--,--,
非流动资产合计(万元),34971,45713,52634,67785,137300,153992,57143,43206,12655,9277,6831,2404,1840,
资产总计(万元),59960,73388,138671,321024,393743,383382,164993,114158,83032,75136,33311,27931,13218,
短期借款(万元),8000,5000,51600,92093,98549,81610,76774,37418,16697,8343,7959,4727,1729,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付票据(万元),4609,4783,137,47149,42110,39204,8033,5056,6101,8425,2148,685,372,
应付账款(万元),5393,5997,10556,80335,57629,48589,28976,13785,9517,9565,6437,9225,4483,
预收账款(万元),178,150,184,1767,637,1762,596,382,290,220,130,720,605,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付职工薪酬(万元),1045,1115,1695,3589,2046,2578,1921,1651,1218,827,505,418,876,
应交税费(万元),190,57,63,3711,8903,1956,557,-564,347,-566,222,-122,96,
应付利息(万元),1008,156,978,125,244,339,192,13,--,0,0,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
其他应付款(万元),530,482,879,15463,1657,47169,549,1137,29,60,22,40,28,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
一年内到期的非流动负债(万元),876,876,3178,3235,117,--,--,--,--,0,0,--,--,
其他流动负债(万元),41,42,2,278,141,102,3131,143,94,172,20,0,55,
流动负债合计(万元),21870,18659,69270,247745,212034,223309,120729,59020,34293,27046,17442,15692,8245,
长期借款(万元),4150,5026,5902,6948,8032,436,2500,2000,--,0,0,--,--,
