报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),23022,37458,28422,30322,29680,26323,26505,15953,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),14286,12286,5900,7341,20022,12447,8596,2211,
应收账款(万元),56122,35895,37343,55154,48126,21745,22456,9792,
预付款项(万元),2469,1079,1468,395,1836,618,1484,1038,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),0,--,--,9,--,--,10,18,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),3504,3067,2481,3074,2581,324,333,120,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),57254,48343,35680,31046,25487,24950,18532,13144,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),1500,305,--,--,--,--,--,--,
其他流动资产(万元),1829,2738,1761,186,784,2591,935,2609,
流动资产合计(万元),159986,141171,113055,127527,128516,88997,78850,44884,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),169,--,1013,1262,--,--,--,--,
长期股权投资(万元),189,200,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,
固定资产原值(万元),78666,67699,61573,58237,42522,--,24411,14852,
累计折旧(万元),36985,30062,24381,17952,12676,--,5319,3173,
固定资产净值(万元),41681,37636,37191,40284,29847,--,19092,11679,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),41681,37636,37191,40284,29847,25198,19092,11679,
在建工程(万元),24278,4449,3412,2997,1505,593,898,54,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,85,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),14453,3239,2881,3156,3289,2667,2734,138,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,
长期待摊费用(万元),2826,1709,1585,2503,3192,2392,1699,1100,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),1232,880,815,995,1000,764,348,164,
其他非流动资产(万元),6655,8541,4369,1170,356,490,271,--,
非流动资产合计(万元),91483,56654,51267,52368,39189,32104,25126,13135,
资产总计(万元),251469,197825,164321,179894,167705,121101,103976,58019,
短期借款(万元),17676,9998,--,--,--,--,1752,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),13941,11107,8302,13679,13344,7314,7634,--,
应付账款(万元),72761,48505,58991,72220,75579,51582,41204,24911,
预收账款(万元),309,264,357,333,373,207,1640,283,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),4453,3659,4977,6076,7199,5822,4236,3530,
应交税费(万元),1728,1624,2636,2385,1624,2915,1899,3815,
应付利息(万元),11,--,127,112,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),6863,1421,4577,4927,1162,1453,870,1393,
预提费用(万元),--,--,--,--,--,--,--,--,
