报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),99064,50510,54002,34015,83930,12887,8307,17513,8274,5849,7987,896,
结算备付金(万元),--,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),6,507,395,284,27,--,--,--,0,342,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),18901,24880,2755,7261,9558,3818,768,2703,284,2148,2641,1907,
应收账款(万元),156491,129975,85716,66070,66192,39766,37816,27480,18024,11517,11577,9661,
预付款项(万元),8469,17289,11420,2497,4144,9143,2714,6578,5048,1799,1468,1314,
应收保费(万元),--,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,0,0,0,0,
其他应收款(万元),44317,15132,8069,3658,945,1413,2297,558,571,432,319,675,
应收出口退税(万元), --,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,0,0,0,0,
存货(万元),105355,81166,77903,53160,44477,29719,19069,22755,12366,7471,8056,5540,
待摊费用(万元),--,--,--,--,--,--,--,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动资产(万元),21077,22964,16295,6094,--,--,--,--,0,0,0,0,
其他流动资产(万元),56682,47902,32380,37062,5118,98,80,18,22,27,32,36,
流动资产合计(万元),517893,390324,288934,210101,214392,96844,71051,77604,44589,29585,32079,20029,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),40,40,40,40,40,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),7054,8575,11694,11293,1736,--,--,--,0,0,0,0,
长期股权投资(万元),37799,70665,--,--,--,40,--,--,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,0,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,0,0,0,0,
固定资产原值(万元),280953,274275,166504,135851,104534,89133,73882,56748,29256,12298,0,0,
累计折旧(万元),78822,65457,47433,35581,27042,21304,14789,8145,3885,2566,0,0,
固定资产净值(万元),202131,208818,119071,100270,77493,67829,59093,48602,25372,9732,0,0,
固定资产减值准备(万元),229,486,--,--,--,--,--,--,0,0,0,0,
固定资产(万元),201903,208332,119071,100270,77493,67829,59093,48602,25372,9732,8438,6779,
在建工程(万元),7775,14429,71732,12640,13329,2149,5328,2833,3365,2165,91,38,
工程物资(万元),--,--,--,--,--,--,--,--,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,0,0,0,0,
无形资产(万元),10267,13936,13411,11281,10764,10847,7950,7725,1739,1781,680,144,
开发支出(万元),--,--,--,--,--,--,--,--,0,0,0,0,
商誉(万元),45501,71942,13023,295,673,378,390,929,0,0,0,0,
长期待摊费用(万元),3140,3969,1588,1150,1525,744,27,40,0,0,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,0,0,0,0,
递延所得税资产(万元),8552,7080,1634,1279,1166,1490,1932,372,145,93,112,61,
其他非流动资产(万元),35560,40910,23079,2865,4990,--,--,--,0,0,0,0,
非流动资产合计(万元),357589,439877,255272,141112,111716,83476,74719,60501,30621,13771,9322,7022,
资产总计(万元),875482,830201,544206,351213,326108,180321,145771,138106,75210,43356,41401,27051,
短期借款(万元),184633,246606,142893,42546,30630,39425,26513,32550,22200,4095,6477,3447,
向中央银行借款(万元),--,--,--,--,--,--,--,--,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融负债(万元),14987,44461,12,136,--,--,--,--,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,0,0,0,0,
应付票据(万元),167863,116732,88586,40414,43094,8950,21534,3691,8135,7412,4359,0,
应付账款(万元),156295,93674,75367,55922,60191,36623,23678,17380,13740,5991,9429,10942,
预收账款(万元),1363,2817,3105,326,123,216,105,182,430,25,172,31,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,0,0,0,0,
应付职工薪酬(万元),5377,8055,4702,3484,3092,1468,1295,796,507,437,408,268,
应交税费(万元),5426,3905,1760,2455,1053,-1629,-3593,-4262,-702,509,307,391,
应付利息(万元),413,433,205,932,977,919,68,2,0,0,0,0,
应付股利(万元),--,--,--,--,--,--,--,--,0,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,0,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,0,0,0,0,
其他应付款(万元),14483,12412,4467,1533,452,353,246,56,139,133,157,2018,
预提费用(万元),--,--,--,--,--,--,--,--,0,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,0,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,0,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,0,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,0,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,0,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,0,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,0,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,0,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动负债(万元),26586,5872,--,15000,--,--,--,--,139,604,593,247,
其他流动负债(万元),--,--,--,--,--,--,40,--,95,41,22,0,
流动负债合计(万元),577426,534969,321098,162746,139612,86325,69885,50396,44683,19248,21924,17344,
长期借款(万元),1681,1942,--,--,15000,15000,--,--,0,0,0,0,
应付债券(万元),--,--,--,--,--,--,--,--,0,0,0,0,
长期应付款(万元),3780,9141,--,--,--,--,--,--,0,144,748,318,
专项应付款(万元),--,--,--,--,--,--,--,--,0,0,0,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,0,0,0,0,
长期递延收益(万元),295,217,264,57,--,--,--,--,0,0,0,0,
递延所得税负债(万元),488,347,197,105,4,--,--,0,23,69,47,53,
其他非流动负债(万元),--,--,--,--,--,--,--,--,0,0,0,0,
非流动负债合计(万元),6244,11646,461,162,15004,15000,0,0,23,213,795,370,
负债合计(万元),583670,546615,321559,162907,154616,101325,69885,50396,44706,19460,22719,17714,
实收资本(或股本)(万元),112806,112806,101198,101198,33733,28400,28400,14200,10600,10600,10000,3000,
资本公积(万元),143438,144013,47225,47225,114690,38698,38698,52898,3922,3922,2008,1446,
减:库存股(万元),--,--,--,--,--,--,--,--,0,0,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,0,0,0,0,
盈余公积(万元),4306,3679,3680,2367,1505,502,502,502,128,77,23,365,
一般风险准备(万元),--,--,--,--,--,--,--,--,0,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,0,0,0,0,
未分配利润(万元),11270,7897,49460,36451,20883,11464,8319,20079,15814,9242,3726,1461,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,0,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,-69,-33,-30,40,55,0,0,
归属于母公司股东权益合计(万元),272466,268410,201872,187241,170637,78996,75885,87650,30504,23896,15756,6273,
少数股东权益(万元),19347,15176,20775,1065,854,--,--,60,0,0,2926,3064,
所有者权益(或股东权益)合计(万元),291812,283586,222647,188306,171492,78996,75885,87710,30504,23896,18682,9337,
负债和所有者权益(或股东权益)总计(万元),875482,830201,544206,351213,326108,180321,145771,138106,75210,43356,41401,27051,		
  
