报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
累计折旧(万元),40059,36545,33662,29913,26125,22531,19735,17261,14941,12951,0,--,
固定资产净值(万元),34591,38118,41696,44486,46385,44921,37013,22201,23576,22680,0,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,0,--,0,--,
固定资产(万元),34591,38118,41696,44486,46385,44921,37013,22201,23576,22680,27498,21979,
在建工程(万元),--,--,27,315,1059,650,6916,16046,8483,2092,982,469,
工程物资(万元),--,--,--,--,--,--,0,--,0,--,0,--,
固定资产清理(万元),--,--,--,--,--,--,1,--,0,--,0,--,
生产性生物资产(万元),--,--,--,--,--,--,0,--,0,--,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,0,--,0,--,
油气资产(万元),--,--,--,--,--,--,0,--,0,--,0,--,
无形资产(万元),9847,12038,11297,9654,9943,10026,10222,10453,10675,10926,10841,10530,
开发支出(万元),--,--,--,--,--,--,0,--,0,--,0,--,
商誉(万元),172,172,172,172,172,81,81,81,81,81,81,81,
长期待摊费用(万元),22,56,--,--,--,--,0,--,0,--,0,4,
股权分置流通权(万元),--,--,--,--,--,--,--,--,0,--,0,--,
递延所得税资产(万元),2942,2358,1533,1334,1195,826,796,730,632,496,793,499,
其他非流动资产(万元),21,--,--,1872,--,--,0,--,0,--,0,--,
非流动资产合计(万元),53109,57656,55230,58453,59602,57488,55030,49511,43447,36275,40195,33562,
资产总计(万元),132336,147351,139586,136698,132598,139881,135255,128585,93595,86256,76857,59823,
短期借款(万元),20500,25450,25000,23500,30400,34700,27893,21909,21900,22400,22037,16812,
向中央银行借款(万元),--,--,--,--,--,--,0,--,0,--,0,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,0,--,0,--,0,--,
拆入资金(万元),--,--,--,--,--,--,0,--,0,--,0,--,
交易性金融负债(万元),--,--,--,--,--,--,0,--,0,--,0,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,0,--,0,--,
应付票据(万元),--,460,--,2000,1000,2500,2500,1500,2000,5596,6345,5551,
应付账款(万元),11676,15398,11092,11176,9930,13917,11911,11356,8997,8753,11411,5865,
预收账款(万元),818,838,959,1772,524,723,219,376,158,147,564,1321,
卖出回购金融资产款(万元),--,--,--,--,--,--,0,--,0,--,0,--,
应付手续费及佣金(万元),--,--,--,--,--,--,0,--,0,--,0,--,
应付职工薪酬(万元),1092,140,5,5,45,3,4,10,4,33,229,133,
应交税费(万元),605,2432,229,916,1115,120,1029,329,248,705,574,572,
应付利息(万元),--,--,--,--,45,63,0,--,0,--,0,--,
应付股利(万元),--,25,20,--,--,--,0,--,0,--,0,--,
其他应交款(万元),--,--,--,--,--,--,--,--,0,--,0,--,
应付保证金(万元),--,--,--,--,--,--,--,--,0,--,0,--,
内部应付款(万元),--,--,--,--,--,--,--,--,0,--,0,--,
其他应付款(万元),1174,2622,3622,4550,2671,3011,5413,5332,5240,9003,27256,24616,
预提费用(万元),--,--,--,--,--,--,--,--,0,--,0,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,0,--,0,--,
应付分保账款(万元),--,--,--,--,--,--,0,--,0,--,0,--,
保险合同准备金(万元),--,--,--,--,--,--,0,--,0,--,0,--,
代理买卖证券款(万元),--,--,--,--,--,--,0,--,0,--,0,--,
代理承销证券款(万元),--,--,--,--,--,--,0,--,0,--,0,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,0,--,0,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,0,--,0,--,
递延收益(万元),--,--,--,--,--,--,--,--,0,--,0,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,0,--,0,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,0,1000,0,--,0,--,
其他流动负债(万元),--,--,--,--,--,930,873,936,0,--,0,--,
流动负债合计(万元),35865,47365,40928,43919,45729,55968,49842,42748,38547,46636,68416,54871,
长期借款(万元),--,--,--,3000,--,--,1000,3600,16000,6000,0,--,
应付债券(万元),--,--,--,--,--,--,0,--,0,--,0,--,
长期应付款(万元),--,--,--,--,--,--,0,--,0,--,0,--,
专项应付款(万元),--,--,--,--,--,--,0,--,0,--,0,--,
预计非流动负债(万元),274,302,247,168,82,124,297,254,161,187,165,110,
长期递延收益(万元),7791,10015,10822,11641,11020,--,--,--,0,--,0,--,
递延所得税负债(万元),0,0,1,--,--,--,0,--,0,--,0,--,
其他非流动负债(万元),--,--,--,--,--,10793,11481,12085,13705,14454,0,--,
非流动负债合计(万元),8065,10318,11070,14809,11103,10917,12778,15938,29866,20640,165,110,
负债合计(万元),43930,57683,51997,58728,56832,66885,62619,58686,68413,67277,68581,54981,
实收资本(或股本)(万元),40750,40750,20375,20400,20000,20000,20000,10000,7500,7500,1000,1000,
资本公积(万元),12485,12383,33115,32398,30383,30169,30388,39415,2551,2551,3041,3041,
减:库存股(万元),--,826,1445,2268,--,--,0,--,0,--,0,--,
专项储备(万元),--,--,--,--,--,--,0,--,0,--,0,--,
盈余公积(万元),4250,4250,4071,3123,2749,2340,2055,1663,1182,481,468,117,
一般风险准备(万元),--,--,--,--,--,--,0,--,0,--,0,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,0,--,0,--,
未分配利润(万元),30077,32582,28867,21926,20107,19942,19672,18198,13280,7805,3235,674,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,0,--,0,--,
外币报表折算差额(万元),--,--,--,--,--,--,0,--,0,--,0,--,
归属于母公司股东权益合计(万元),87561,89139,84783,75316,73033,72451,72115,69275,24513,18337,7744,4833,
少数股东权益(万元),845,529,2806,2654,2734,545,521,624,669,642,533,9,
所有者权益(或股东权益)合计(万元),88405,89667,87589,77970,75766,72996,72636,69899,25182,18979,8277,4842,
负债和所有者权益(或股东权益)总计(万元),132336,147351,139586,136698,132598,139881,135255,128585,93595,86256,76857,59823,		
  
