报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),15183,14600,19412,7816,4931,6453,6475,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),74,46,--,1749,812,--,10,
应收账款(万元),53530,40799,22279,15074,11242,6717,4451,
预付款项(万元),450,697,840,1377,1907,1193,424,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),1248,2906,2306,1431,1375,985,1155,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),9109,20278,17626,16125,17258,10010,7765,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),10164,5494,1203,1633,853,208,188,
其他流动资产(万元),187,250,490,489,1081,922,416,
流动资产合计(万元),89946,85072,64156,45693,39459,26487,20884,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),14827,14561,2963,2671,921,131,92,
长期股权投资(万元),--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),284,302,321,--,--,--,--,
固定资产原值(万元),2217,1926,1648,2011,1880,1787,--,
累计折旧(万元),1375,1159,1046,1044,850,636,--,
固定资产净值(万元),842,767,602,967,1030,1151,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),842,767,602,967,1030,1151,1274,
在建工程(万元),--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),115,134,151,14,3,165,185,
开发支出(万元),649,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),83,14,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),1568,1220,580,318,221,175,149,
其他非流动资产(万元),--,--,--,--,--,--,--,
非流动资产合计(万元),18369,16999,4617,3970,2175,1622,1700,
资产总计(万元),108315,102070,68773,49663,41634,28109,22583,
短期借款(万元),15000,6200,2600,2400,1000,1900,1500,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),5269,7694,1622,3459,1719,1115,578,
应付账款(万元),33203,32713,19166,8955,9461,4162,4356,
预收账款(万元),7905,13138,11762,15684,12858,6993,3205,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),546,491,291,271,346,310,333,
应交税费(万元),2946,1870,771,642,280,271,113,
应付利息(万元),22,9,4,16,17,6,19,
应付股利(万元),--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),2852,467,893,286,300,222,49,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),67742,62582,37110,31713,25981,14980,10153,
长期借款(万元),--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),546,729,447,209,219,234,135,
长期递延收益(万元),589,734,747,520,765,680,--,
递延所得税负债(万元),--,--,--,--,--,--,773,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),1135,1463,1194,729,984,914,908,
负债合计(万元),68877,64045,38304,32442,26965,15894,11061,
实收资本(或股本)(万元),16325,10000,10000,7500,7500,7500,7500,
资本公积(万元),5594,9449,9429,2982,2866,2866,374,
减:库存股(万元),2094,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),1170,1170,762,488,359,162,216,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),18451,17406,10148,6162,3944,1687,3432,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),39447,38025,30338,17132,14669,12215,11522,
少数股东权益(万元),-9,--,131,89,--,--,--,
所有者权益(或股东权益)合计(万元),39438,38025,30469,17221,14669,12215,11522,
负债和所有者权益(或股东权益)总计(万元),108315,102070,68773,49663,41634,28109,22583,		
  
