报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
货币资金(万元),337257600,361387200,335078800,305963300,352362200,329400700,317494300,276215600,228299900,169304800,169302400,114234600,70365700,55387300,50861600,45781600,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
拆出资金(万元),57780300,47753700,52741500,47223400,47850300,41161800,22451300,16051600,6491800,7790600,12679200,17035200,19086900,11573100,5740600,5557200,
交易性金融资产(万元),80534700,44093800,47447500,34327200,34682800,37255600,22167100,15220800,1298600,2014700,3364100,3432100,2115600,--,0,--,
衍生金融资产(万元),7133500,8901300,9445200,7887000,2404800,2502000,1475600,1746000,1333200,575800,1572100,2276900,1053900,995700,212900,162300,
应收票据(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
应收账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
预付款项(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
买入返售金融资产(万元),73404900,98663100,75562700,99633300,46846200,33190300,54457900,34943700,26222700,40882600,16349300,7588000,3921800,8923500,2176400,7123900,
存货(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
发放贷款及垫款(万元),1504613200,1389296600,1276733400,1165281200,1076875000,968141500,858328900,759401900,662337200,558317400,443601100,395754200,353397800,320586100,310919100,276605500,
可供出售金融资产(万元),--,149645300,174228700,144419500,118828800,100080000,92093900,84010500,90479500,94990900,53760000,53124100,50460900,--,0,--,
持有至到期投资(万元),--,354218400,297304200,287035300,256639000,262440000,257656200,242478500,231278100,149673800,131432000,133008500,122893700,230038500,122243900,103426400,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
长期股权投资(万元),2912400,3244100,3007700,2418500,2891900,2851500,3328400,3275000,4032500,3627800,2842100,17200,12700,706900,900900,1145200,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,
固定资产原值(万元),39707700,34271600,33833800,29819300,25981000,21149800,17419800,15425300,13507600,12033200,10801300,9834100,9318400,11605000,12061600,11616800,
累计折旧(万元),13885700,12492000,11631900,10190500,8774100,7511600,6345700,5349800,4401100,3526500,2771300,2105600,1377700,599800,4208200,3612400,
固定资产净值(万元),25822000,21779600,22201900,19628800,17206900,13638200,11074100,10075500,9106500,8506700,8030000,7728500,7940700,11005200,7853400,8004400,
