报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),14344,26765,9376,6309,4740,1833,907,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),1294,993,2580,949,620,1124,378,
应收账款(万元),28148,25326,21737,20831,7206,6624,3930,
预付款项(万元),511,384,382,74,56,90,83,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),305,159,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),1152,1430,767,597,264,246,152,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),11605,10083,9402,6239,2381,1765,846,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,26,17,--,4,0,--,
其他流动资产(万元),25002,12000,--,--,--,--,--,
流动资产合计(万元),82361,77166,44260,34999,15270,11682,6296,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),850,350,250,1000,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),3417,2739,2285,2030,1389,--,--,
累计折旧(万元),1961,1501,1086,718,404,--,--,
固定资产净值(万元),1456,1238,1199,1312,985,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),1456,1238,1199,1312,985,572,245,
在建工程(万元),1,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),3006,130,45,39,24,12,10,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),248,13,0,97,180,50,182,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),855,580,379,209,185,127,16,
其他非流动资产(万元),--,700,--,--,--,363,--,
非流动资产合计(万元),6415,3011,1873,2657,1374,1124,453,
资产总计(万元),88776,80177,46133,37656,16644,12806,6749,
短期借款(万元),5730,3095,3400,1895,1000,1690,467,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,
应付账款(万元),14391,11889,11001,11232,2885,1831,1055,
预收账款(万元),2372,1838,1628,431,285,79,13,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),2407,2140,2401,1906,981,828,654,
应交税费(万元),1953,1879,1619,2785,744,836,470,
应付利息(万元),--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),771,501,312,355,285,162,91,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),27624,21343,20362,18605,6180,5426,2750,
长期借款(万元),--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,155,--,--,80,--,
长期递延收益(万元),173,356,421,599,778,739,--,
递延所得税负债(万元),--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),173,356,576,599,778,819,0,
负债合计(万元),27797,21699,20937,19204,6959,6244,2750,
实收资本(或股本)(万元),13685,9123,6842,6842,5500,1361,1300,
资本公积(万元),30973,35145,7445,7088,398,398,100,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),2020,1521,1061,423,797,484,264,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),14301,12689,9847,4100,2990,4318,2336,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),60979,58479,25196,18452,9685,6562,4000,
少数股东权益(万元),--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),60979,58479,25196,18452,9685,6562,4000,
负债和所有者权益(或股东权益)总计(万元),88776,80177,46133,37656,16644,12806,6749,		
  
