报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),218669,166552,153024,224166,61618,41802,61515,77317,96908,6854,2789,1453,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,269,323,505,--,--,--,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),7571,1925,4942,880,3217,1069,1570,354,--,0,71,0,
应收账款(万元),424827,402487,287424,194645,113837,52833,33447,14072,3664,4877,2400,1433,
预付款项(万元),52624,44331,51270,28498,17722,25161,24360,22935,9569,6857,2659,18,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收利息(万元),10,27,409,176,119,73,112,500,143,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),19591,9511,16814,8891,10073,5116,1450,874,135,211,146,997,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),227031,264550,181900,152891,99189,49886,28267,13412,7983,4912,5243,4532,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他流动资产(万元),40877,34691,5557,2614,3413,143,19,--,--,0,0,0,
流动资产合计(万元),991199,924073,701610,613085,309694,176083,150738,129464,118402,23711,13309,8433,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),85361,107185,106742,33595,27690,--,--,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期股权投资(万元),47033,66859,75738,24117,23796,10968,6488,4588,1948,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
固定资产原值(万元),9064,8911,8664,8349,7873,6246,3995,1937,637,338,0,0,
累计折旧(万元),6652,6037,5125,4025,2907,1470,731,353,210,131,0,0,
固定资产净值(万元),2412,2874,3539,4324,4967,4776,3264,1584,427,207,0,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,0,0,0,
固定资产(万元),2412,2874,3539,4324,4967,4776,3264,1584,427,207,175,118,
在建工程(万元),--,165,305,--,--,118,1496,--,--,0,0,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
无形资产(万元),406,166,344,132,153,45,--,--,--,0,0,0,
开发支出(万元),--,--,193,--,--,--,--,--,--,0,0,0,
商誉(万元),132002,132941,132941,124212,124212,11764,10307,10307,--,0,0,0,
长期待摊费用(万元),4347,3875,4601,4267,4907,4750,3172,1165,266,59,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,0,
递延所得税资产(万元),24519,13754,10372,9353,4937,2031,1263,189,58,66,0,0,
其他非流动资产(万元),--,2000,2000,2167,2000,--,--,--,--,0,0,0,
非流动资产合计(万元),296080,329818,336775,202166,192661,34451,25990,17833,2699,333,175,118,
资产总计(万元),1287279,1253891,1038385,815250,502355,210533,176728,147297,121101,24043,13484,8551,
短期借款(万元),192000,93000,84500,63979,18997,--,--,--,--,1800,2000,0,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融负债(万元),2424,2404,4735,4947,8742,--,--,--,--,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付票据(万元),9300,4200,--,--,--,--,--,--,--,0,0,0,
应付账款(万元),186051,138356,93943,56469,37761,13475,9703,2865,417,430,193,2084,
预收账款(万元),87385,152052,26614,22604,16728,5553,1740,3619,889,2990,1835,1090,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付职工薪酬(万元),12165,7919,4149,3380,3122,321,447,356,89,0,0,1,
应交税费(万元),26237,15939,9721,12564,16029,2675,6539,2154,450,658,-65,101,
