报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),10258,7667,67964,22279,18329,13617,13462,23103,37216,11369,9035,5823,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),481,438,595,30,20,3090,2979,1406,774,267,532,375,
应收账款(万元),371828,398478,469997,314592,193904,15701,13930,12526,10953,8308,7728,5356,
预付款项(万元),15481,15451,5276,6055,3588,3524,8272,7293,332,667,465,4823,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,295,223,12,--,30,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),10187,9822,6732,30401,4495,257,602,62,31,257,67,59,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),25146,28203,25406,24036,21871,12927,9941,7037,4035,3965,2758,2344,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1017,103,--,67,327,816,742,--,--,--,--,--,
流动资产合计(万元),434398,460162,575970,397458,242534,50226,50151,51438,53341,24864,20585,18780,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1750,1750,370,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),2600,2692,2482,2395,1657,58161,38767,31645,29088,25496,--,--,
累计折旧(万元),1721,1503,1248,1008,952,18946,15406,11319,8425,5693,--,--,
固定资产净值(万元),879,1189,1234,1387,704,39216,23361,20325,20663,19803,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),879,1189,1234,1387,704,39216,23361,20325,20663,19803,18255,2579,
在建工程(万元),82,84,61,--,--,914,8813,3002,1404,1542,4000,11138,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
