报告日期,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),271172,265038,182090,
结算备付金(万元),--,--,0,
拆出资金(万元),--,--,0,
交易性金融资产(万元),--,--,0,
衍生金融资产(万元),--,--,0,
应收票据(万元),3674,32954,15626,
应收账款(万元),10939,8863,10158,
预付款项(万元),88835,28469,32984,
应收保费(万元),--,--,0,
应收分保账款(万元),--,--,0,
应收分保合同准备金(万元),--,--,0,
应收利息(万元),--,--,0,
应收股利(万元),--,--,0,
其他应收款(万元),34613,1847,1148,
应收出口退税(万元), --,--,0,
应收补贴款(万元),--,--,0,
应收保证金(万元),--,--,0,
内部应收款(万元),--,--,0,
买入返售金融资产(万元),--,--,0,
存货(万元),238075,100897,125291,
待摊费用(万元),--,--,0,
待处理流动资产损益(万元),--,--,0,
一年内到期的非流动资产(万元),--,--,0,
其他流动资产(万元),--,--,0,
流动资产合计(万元),647309,438068,367298,
发放贷款及垫款(万元),--,--,0,
可供出售金融资产(万元),175,740,166,
持有至到期投资(万元),--,--,0,
长期应收款(万元),--,--,0,
长期股权投资(万元),24133,23647,14383,
其他长期投资(万元),--,--,0,
投资性房地产(万元),16,--,0,
固定资产原值(万元),1028812,835972,743299,
累计折旧(万元),210606,188185,154884,
固定资产净值(万元),818206,647787,588415,
固定资产减值准备(万元),71,336,476,
固定资产(万元),818136,647451,587938,
在建工程(万元),456770,114338,39097,
工程物资(万元),155444,20815,43806,
固定资产清理(万元),--,--,0,
生产性生物资产(万元),--,--,0,
公益性生物资产(万元),--,--,0,
油气资产(万元),--,--,0,
无形资产(万元),6611,--,0,
开发支出(万元),459,181,0,
商誉(万元),9,--,0,
长期待摊费用(万元),--,--,0,
股权分置流通权(万元),--,--,0,
递延所得税资产(万元),7086,838,1130,
其他非流动资产(万元),--,--,0,
非流动资产合计(万元),1468839,808009,686521,
资产总计(万元),2116148,1246077,1053819,
短期借款(万元),534420,471920,299840,
向中央银行借款(万元),--,--,0,
吸收存款及同业存放(万元),--,--,0,
拆入资金(万元),--,--,0,
交易性金融负债(万元),--,--,67597,
衍生金融负债(万元),--,--,0,
应付票据(万元),392833,118746,87296,
应付账款(万元),131207,75583,66374,
预收账款(万元),116296,32544,48080,
卖出回购金融资产款(万元),--,--,0,
应付手续费及佣金(万元),--,--,0,
应付职工薪酬(万元),452,7,3347,
应交税费(万元),3108,5975,1499,
应付利息(万元),14544,--,0,
应付股利(万元),625,625,785,
其他应交款(万元),--,--,0,
应付保证金(万元),--,--,0,
内部应付款(万元),--,--,0,
其他应付款(万元),2270,3413,1352,
预提费用(万元),--,--,0,
预计流动负债(万元),--,--,0,
应付分保账款(万元),--,--,0,
保险合同准备金(万元),--,--,0,
代理买卖证券款(万元),--,--,0,
代理承销证券款(万元),--,--,0,
国际票证结算(万元),--,--,0,
国内票证结算(万元),--,--,0,
递延收益(万元),--,--,0,
应付短期债券(万元),120000,--,0,
一年内到期的非流动负债(万元),108630,--,23000,
其他流动负债(万元),-1645,431,0,
流动负债合计(万元),1422741,709244,599171,
长期借款(万元),106760,181260,124880,
应付债券(万元),128554,--,0,
长期应付款(万元),96258,--,0,
专项应付款(万元),--,--,0,
预计非流动负债(万元),--,--,0,
长期递延收益(万元),--,--,--,
递延所得税负债(万元),279,170,35,
其他非流动负债(万元),--,--,0,
非流动负债合计(万元),331851,181430,124915,
负债合计(万元),1754592,890674,724086,
实收资本(或股本)(万元),98067,98067,98067,
资本公积(万元),114006,114455,114022,
减:库存股(万元),--,--,0,
专项储备(万元),--,--,--,
盈余公积(万元),28607,27033,23095,
一般风险准备(万元),--,--,0,
未确定的投资损失(万元),--,--,0,
未分配利润(万元),105571,103731,83922,
拟分配现金股利(万元),--,--,0,
外币报表折算差额(万元),--,--,0,
归属于母公司股东权益合计(万元),346251,343287,319106,
少数股东权益(万元),15305,12117,10627,
所有者权益(或股东权益)合计(万元),361556,355403,329733,
负债和所有者权益(或股东权益)总计(万元),2116148,1246077,1053819,		
  
