报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),62476,37785,39757,30331,30555,27819,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),34,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),112,--,--,--,--,--,
应收账款(万元),35460,22700,16414,22745,34431,28002,
预付款项(万元),706,2107,944,189,328,115,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),5,96,--,88,113,84,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),998,1053,986,458,277,486,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),2486,1147,1326,1147,2138,686,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),451,176,615,828,2168,2617,
流动资产合计(万元),102727,65063,60043,55786,70009,59810,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),3058,3133,1905,1908,2763,2610,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),5716,4273,4013,3055,957,1679,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),50117,3655,3602,3319,--,--,
累计折旧(万元),2489,2335,2246,1803,--,--,
固定资产净值(万元),47627,1321,1356,1517,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),47627,1321,1356,1517,1770,2065,
在建工程(万元),--,16655,4113,1599,160,--,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),3899,4104,4248,4467,4642,4685,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),4920,5653,5653,--,--,--,
长期待摊费用(万元),93,1,10,55,111,186,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),491,418,370,389,345,236,
其他非流动资产(万元),--,--,1630,--,503,75,
非流动资产合计(万元),65804,35558,23297,12990,11251,11536,
资产总计(万元),168531,100622,83340,68775,81261,71345,
短期借款(万元),--,--,200,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,
应付账款(万元),17675,1919,501,97,301,490,
预收账款(万元),2707,2667,2337,431,239,264,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),4897,5012,4131,3431,3681,3308,
应交税费(万元),2218,2532,1720,136,1156,217,
应付利息(万元),18,0,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),1001,26,103,33,111,45,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),1463,209,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),29980,12365,8991,4127,5487,4323,
长期借款(万元),9417,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),464,709,770,576,690,834,
递延所得税负债(万元),3,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),9884,709,770,576,690,834,
负债合计(万元),39864,13075,9761,4703,6177,5157,
实收资本(或股本)(万元),40001,36000,36000,5000,5000,5000,
资本公积(万元),46940,26753,26753,935,790,607,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),3450,1971,827,4619,4619,4619,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),34086,19710,7688,53617,64751,55962,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),124433,84435,71268,64171,75160,66188,
少数股东权益(万元),4234,3112,2311,-98,-77,--,
所有者权益(或股东权益)合计(万元),128667,87547,73579,64072,75083,66188,
负债和所有者权益(或股东权益)总计(万元),168531,100622,83340,68775,81261,71345,		
  
