报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),37395,77084,52364,43152,45142,96701,90822,22677,22681,20693,36488,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1626,57,1315,48,590,1947,342,--,--,--,--,
应收账款(万元),21598,19732,20799,29387,13114,6733,2636,747,723,227,4,
预付款项(万元),284,432,208,455,340,188,862,4660,1143,101,2281,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),269,324,491,311,395,280,293,247,327,241,275,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),12667,10205,15448,11015,8914,8070,6745,7697,7488,5448,6183,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),162400,135200,110400,105400,92300,26000,23000,--,--,--,--,
流动资产合计(万元),236239,243034,201023,189769,160794,139920,124699,36029,32362,26709,45231,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),5000,5000,5000,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,16900,24200,6500,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,5987,200,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),31115,30694,29146,29393,28103,27158,23546,3669,3197,--,--,
累计折旧(万元),9873,8606,7481,6708,5200,3754,2463,2016,1780,--,--,
固定资产净值(万元),21242,22088,21665,22685,22903,23404,21083,1653,1416,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),21242,22088,21665,22685,22903,23404,21083,1653,1416,1562,1849,
在建工程(万元),2183,--,--,--,--,--,2211,10710,7191,2414,69,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),5235,3049,3144,3202,3222,3294,3374,3398,3435,2218,125,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,75,75,75,--,--,--,--,--,--,
长期待摊费用(万元),115,164,235,284,199,--,--,15,59,93,127,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1043,847,820,884,624,537,295,17,8,3,2,
其他非流动资产(万元),107,95,1454,411,403,659,--,--,--,--,--,
非流动资产合计(万元),34924,31242,32392,27541,27426,27894,26963,15793,29010,36478,8872,
资产总计(万元),271163,274276,233415,217310,188220,167814,151662,51822,61371,63187,54103,
短期借款(万元),1046,21611,--,--,--,--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),9096,7286,4376,1603,1126,750,2525,3800,3173,3373,2422,
应付账款(万元),12981,10582,11696,11796,5660,5276,7250,3032,2369,2817,1401,
预收账款(万元),2769,2293,2468,1681,2051,1789,1121,2806,2633,679,324,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),3511,2741,1886,1111,755,744,18,20,26,66,98,
应交税费(万元),4089,3681,2949,2350,3109,2676,897,264,3933,909,1006,
应付利息(万元),14,8,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,17087,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),597,505,302,390,650,171,1043,82,124,17,87,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),34104,48706,23676,18932,13351,11406,12854,10003,29345,7861,5338,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),1220,1220,1220,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),3842,3192,3205,3634,2894,--,--,--,--,--,--,
递延所得税负债(万元),1070,1504,1846,2152,1622,1082,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,2879,1342,1940,1940,200,--,
非流动负债合计(万元),6132,5916,6271,5786,4516,3960,1342,1940,1940,200,0,
负债合计(万元),40236,54621,29947,24719,17867,15366,14196,11943,31285,8061,5338,
实收资本(或股本)(万元),67600,67600,67600,67600,33800,26000,20000,15000,10000,10000,10000,
资本公积(万元),39674,39674,39674,39674,73474,81274,87495,11911,228,300,600,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),1391,1157,939,718,514,328,147,--,--,--,--,
盈余公积(万元),38198,33800,27298,21033,15192,10169,6063,2670,7489,4499,2575,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),83957,77367,67682,63294,46953,34677,23762,10297,12369,40328,35590,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),230927,219634,203309,192334,169933,152448,137467,39879,30086,55127,48765,
少数股东权益(万元),--,21,159,257,420,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),230927,219655,203469,192591,170353,152448,137467,39879,30086,55127,48765,
负债和所有者权益(或股东权益)总计(万元),271163,274276,233415,217310,188220,167814,151662,51822,61371,63187,54103,		
  
