报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),12565,7629,6906,8641,7741,7553,8267,7004,9669,4117,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,12,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,
应收票据(万元),2696,867,1107,836,651,1125,1219,2554,1722,1083,
应收账款(万元),10575,12169,11822,10339,12349,11596,10405,8330,7014,6821,
预付款项(万元),200,2047,2076,1298,2343,2796,1572,3342,992,449,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),215,241,293,1013,685,1074,909,316,242,879,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
存货(万元),18425,15203,13898,15627,14784,12469,10764,10242,9096,6620,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),606,347,1200,1000,--,--,--,--,--,--,
流动资产合计(万元),45282,38503,37302,38755,38553,36612,33136,31788,28734,19981,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),307,312,313,315,318,325,314,343,320,301,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),41689,41505,41249,40063,36885,27393,23629,--,--,--,
累计折旧(万元),20322,18635,16831,14481,12352,10671,9092,--,--,--,
固定资产净值(万元),21367,22869,24418,25582,24533,16722,14537,--,--,--,
固定资产减值准备(万元),--,--,--,7,7,8,8,--,--,--,
固定资产(万元),21367,22869,24418,25576,24527,16714,14529,8535,7479,5534,
在建工程(万元),4416,3303,2649,1667,1497,8523,10757,4331,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,
无形资产(万元),4122,4677,4965,5199,4423,3610,3683,3948,4213,1198,
开发支出(万元),--,--,--,--,865,689,240,--,--,385,
商誉(万元),--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),295,215,184,156,347,294,320,249,197,100,
其他非流动资产(万元),2421,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),32927,31377,32527,32913,31977,30154,29843,17405,12209,7518,
资产总计(万元),78209,69879,69830,71668,70530,66767,62979,49194,40943,27499,
短期借款(万元),13300,8800,9006,21900,14346,20161,16253,3977,2498,3762,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,
