报告日期,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),3086553,3055272,2882651,
结算备付金(万元),--,--,--,
拆出资金(万元),541461,449451,381937,
交易性金融资产(万元),423301,24226,146716,
衍生金融资产(万元),--,--,--,
应收票据(万元),--,--,--,
应收账款(万元),--,--,--,
预付款项(万元),--,--,--,
应收保费(万元),--,--,--,
应收分保账款(万元),--,--,--,
应收分保合同准备金(万元),--,--,--,
应收利息(万元),--,135946,112609,
应收股利(万元),--,--,--,
其他应收款(万元),--,--,--,
应收出口退税(万元), --,--,--,
应收补贴款(万元),--,--,--,
应收保证金(万元),--,--,--,
内部应收款(万元),--,--,--,
买入返售金融资产(万元),1278933,1640054,715866,
存货(万元),--,--,--,
待摊费用(万元),--,--,--,
待处理流动资产损益(万元),--,--,--,
一年内到期的非流动资产(万元),--,--,--,
其他流动资产(万元),--,--,--,
流动资产合计(万元),--,--,--,
发放贷款及垫款(万元),13722799,11596351,10097425,
可供出售金融资产(万元),4991717,5063446,4293584,
持有至到期投资(万元),1470958,1139437,821637,
长期应收款(万元),1407319,944988,431422,
长期股权投资(万元),45912,40718,37621,
其他长期投资(万元),--,--,--,
投资性房地产(万元),1,1,10,
固定资产原值(万元),--,--,--,
累计折旧(万元),--,--,--,
固定资产净值(万元),--,--,--,
固定资产减值准备(万元),--,--,--,
固定资产(万元),314902,321109,338902,
在建工程(万元),2411,1723,8797,
工程物资(万元),--,--,--,
固定资产清理(万元),--,--,--,
生产性生物资产(万元),--,--,--,
公益性生物资产(万元),--,--,--,
油气资产(万元),--,--,--,
无形资产(万元),42031,46356,38589,
开发支出(万元),--,--,--,
商誉(万元),--,--,--,
长期待摊费用(万元),7662,10260,10447,
股权分置流通权(万元),--,--,--,
递延所得税资产(万元),95421,86410,51218,
其他非流动资产(万元),249757,144284,84510,
非流动资产合计(万元),--,--,--,
资产总计(万元),31108578,28411785,26041811,
短期借款(万元),--,--,--,
向中央银行借款(万元),310227,378325,28438,
吸收存款及同业存放(万元),20736228,19567110,17550152,
拆入资金(万元),1691738,1308997,841415,
交易性金融负债(万元),20392,23603,108,
衍生金融负债(万元),--,--,--,
应付票据(万元),--,--,--,
应付账款(万元),--,--,--,
预收账款(万元),--,--,--,
卖出回购金融资产款(万元),1230845,1786411,1178169,
应付手续费及佣金(万元),--,--,--,
应付职工薪酬(万元),64138,52542,53760,
应交税费(万元),39432,52118,29086,
应付利息(万元),--,424487,303472,
应付股利(万元),--,--,--,
其他应交款(万元),--,--,--,
应付保证金(万元),--,--,--,
内部应付款(万元),--,--,--,
其他应付款(万元),--,--,--,
预提费用(万元),--,--,--,
预计流动负债(万元),--,--,--,
应付分保账款(万元),--,--,--,
保险合同准备金(万元),--,--,--,
代理买卖证券款(万元),--,--,--,
代理承销证券款(万元),--,--,--,
国际票证结算(万元),--,--,--,
国内票证结算(万元),--,--,--,
递延收益(万元),--,--,--,
应付短期债券(万元),--,--,--,
一年内到期的非流动负债(万元),--,--,--,
其他流动负债(万元),--,--,--,
流动负债合计(万元),--,--,--,
长期借款(万元),--,--,--,
应付债券(万元),3852061,2453076,3740029,
长期应付款(万元),--,--,--,
专项应付款(万元),--,--,--,
预计非流动负债(万元),--,--,--,
长期递延收益(万元),1380,1495,1610,
递延所得税负债(万元),--,--,--,
其他非流动负债(万元),703503,135684,225036,
非流动负债合计(万元),--,--,--,
负债合计(万元),28649944,26183848,23951274,
实收资本(或股本)(万元),300000,300000,300000,
资本公积(万元),858497,858497,858058,
减:库存股(万元),--,--,--,
专项储备(万元),--,--,--,
盈余公积(万元),233777,205592,175542,
一般风险准备(万元),342875,318211,297361,
未确定的投资损失(万元),--,--,--,
未分配利润(万元),604393,463044,332966,
拟分配现金股利(万元),--,--,--,
外币报表折算差额(万元),--,--,--,
归属于母公司股东权益合计(万元),2356265,2132561,1995518,
少数股东权益(万元),102370,95376,95019,
所有者权益(或股东权益)合计(万元),2458634,2227937,2090537,
负债和所有者权益(或股东权益)总计(万元),31108578,28411785,26041811,		
  
