报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),65011,141379,83579,65733,33441,76121,128943,78599,115225,8908,4007,4447,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),2334,--,2636,2127,--,--,--,--,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),6290,7484,8337,10415,8033,5749,4243,2393,3426,2342,1192,0,
应收账款(万元),83570,80822,79518,51577,39556,31985,12306,6479,5293,3751,1453,1393,
预付款项(万元),5828,14912,7110,9637,11593,9731,9000,7261,3444,3289,2213,2105,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收利息(万元),--,--,--,555,28,185,320,48,106,0,0,0,
应收股利(万元),--,--,--,--,0,--,--,--,--,0,0,0,
其他应收款(万元),113846,128965,27318,5411,3003,2594,1510,1134,618,557,325,192,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),59006,50455,50313,34175,28430,22459,12873,8935,5422,3024,2360,1982,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),1084,--,--,--,0,--,--,--,--,0,0,0,
其他流动资产(万元),54889,63221,39269,33127,749,942,--,--,--,0,0,0,
流动资产合计(万元),391859,487238,298081,212757,124832,149766,169195,104850,133534,21872,11551,10118,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),25130,31965,26865,8565,3565,--,--,--,--,0,0,0,
持有至到期投资(万元),--,1004,--,7000,8000,--,--,--,--,0,0,0,
长期应收款(万元),--,--,--,--,0,--,--,--,--,0,0,0,
长期股权投资(万元),11490,520,96,151,5282,1780,20,20,20,21,29,48,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),--,--,--,--,0,107,112,117,121,126,131,135,
固定资产原值(万元),242116,201481,192718,175141,143087,105535,71524,61559,46331,40693,31364,23865,
累计折旧(万元),56314,47211,37974,27828,20461,14176,9977,6952,4741,3195,2075,6143,
固定资产净值(万元),185802,154270,154745,147313,122626,91359,61547,54606,41589,37498,29288,17722,
固定资产减值准备(万元),301,301,301,301,301,1,--,--,--,0,0,0,
固定资产(万元),185500,153969,154443,147012,122325,91358,61547,54606,41589,37498,29288,17722,
在建工程(万元),82799,85897,132117,15076,25831,38977,41196,14160,2442,3063,6589,22391,
工程物资(万元),--,--,--,--,0,--,--,--,--,0,0,0,
固定资产清理(万元),--,--,--,--,0,--,--,--,--,0,0,0,
生产性生物资产(万元),43,121,45,--,--,--,--,--,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,
无形资产(万元),68722,38063,26591,23842,17906,17093,13454,10660,6697,6987,7260,4707,
开发支出(万元),9113,17919,13526,6354,5895,4866,2328,736,41,41,56,0,
商誉(万元),64467,64666,63454,42253,42253,42370,6668,6668,122,126,129,137,
长期待摊费用(万元),1556,1496,1526,1180,646,392,72,--,--,0,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,0,
递延所得税资产(万元),3145,2701,1835,841,677,761,311,297,95,97,116,84,
其他非流动资产(万元),18739,38510,80294,170,1617,--,--,--,--,0,0,0,
非流动资产合计(万元),470702,436831,500792,252443,233996,197705,125708,87264,51129,47959,43596,45225,
资产总计(万元),862561,924069,798873,465200,358828,347471,294903,192114,184663,69831,55147,55343,
短期借款(万元),146310,164938,109500,4200,55500,35400,47400,14000,23500,11550,6900,3840,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融负债(万元),--,--,--,--,0,--,--,--,--,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付票据(万元),2005,5322,10111,3150,7423,6688,3295,964,925,1359,4850,0,
应付账款(万元),43138,40784,41649,20741,17584,15443,7732,6972,6993,6259,7022,3926,
预收账款(万元),6324,7999,3679,3337,3094,2388,2051,1655,2121,3977,2038,2035,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付职工薪酬(万元),2536,1961,1553,1156,940,1156,758,745,639,402,649,444,
应交税费(万元),2327,3622,3192,2509,2004,2609,2278,1472,1903,1635,957,932,
应付利息(万元),1969,1605,1549,485,647,648,871,65,47,27,29,28,
应付股利(万元),4237,4987,4987,900,0,--,--,--,--,32,32,32,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他应付款(万元),28108,17469,29016,19909,18543,31485,2347,2319,1751,1411,1621,1158,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,0,
