报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,
货币资金(万元),1178805,1280785,1576638,1245634,1454668,1019437,759242,639064,728454,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),2,4026,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),69329,35660,14531,6186,2682,4562,1669,4184,43273,
应收账款(万元),582808,533614,526504,504171,546383,439597,504138,469704,353015,
预付款项(万元),59294,36863,17708,26372,25097,26710,68032,78377,58381,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),221,--,--,--,--,--,--,--,--,
应收股利(万元),949,38812,--,43581,47039,--,--,20230,--,
其他应收款(万元),22526,3819,3463,4387,5658,6151,10055,11029,171694,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),327863,273084,237849,188484,270052,319757,316368,378608,276886,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),93,6552,5574,1950,1452,1785,--,--,--,
其他流动资产(万元),105131,131272,98514,138644,117968,88216,21195,60648,11988,
流动资产合计(万元),2347021,2344487,2480783,2159410,2470999,1906215,1680699,1661845,1643691,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),742691,865362,558233,588775,591244,322881,373196,326481,369594,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),2141336,1941746,1520333,1505584,1416970,1422707,1067980,792420,627939,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),10798,11274,9713,6373,6578,6986,7399,3317,2300,
固定资产原值(万元),11450058,11440472,10623187,10462345,9323907,8230073,8040550,7874999,--,
累计折旧(万元),6160077,5673232,5161593,4788017,4402696,4061207,3780431,3422905,--,
固定资产净值(万元),5289981,5767239,5461594,5674328,4921211,4168866,4260119,4452094,--,
固定资产减值准备(万元),10286,3804,4098,4277,4674,10010,30413,5380,--,
固定资产(万元),5279694,5763436,5457496,5670051,4916537,4158857,4229706,4446714,4547055,
在建工程(万元),167558,84543,261837,138688,614656,828143,394120,101378,314021,
工程物资(万元),67,964,2984,3306,315,87407,1631,740,2914,
固定资产清理(万元),10720,147,15431,452,5081,5177,17,2141,1918,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),210425,219314,209151,204039,175565,168919,157734,91286,74414,
开发支出(万元),--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),32527,33464,42072,7203,6294,9914,11625,7045,2674,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),12497,12052,13128,18626,27726,34252,21223,23810,20677,
其他非流动资产(万元),14301,11548,12499,63722,188393,250313,192470,94565,243979,
非流动资产合计(万元),8622614,8943851,8102876,8206821,7949359,7295555,6457100,5889896,6207485,
资产总计(万元),10969634,11288338,10583658,10366231,10420359,9201770,8137798,7551741,7851176,
短期借款(万元),644749,692000,491000,632700,683500,1542200,993000,1116554,1009446,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),194,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,
应付票据(万元),22605,22827,26,9000,14500,2900,13000,99000,56689,
应付账款(万元),576548,647706,683019,583188,673248,518062,429672,477580,502734,
预收账款(万元),29288,67839,19365,6329,4242,13316,19070,496,6756,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),20555,21980,15279,38005,38942,36377,21092,19101,20607,
应交税费(万元),74217,73042,59635,78920,92967,96744,86686,56192,63228,
应付利息(万元),10310,10530,10156,15290,17493,13774,9526,9089,8003,
应付股利(万元),741,1172,1550,741,796,741,58695,594,1560,
其他应交款(万元),--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,
其他应付款(万元),79782,154786,112443,86396,121449,82193,66774,70557,114470,
预提费用(万元),--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),177244,137007,161003,173407,101264,104329,224441,303809,143829,
其他流动负债(万元),5488,--,--,--,--,2700,--,--,--,
流动负债合计(万元),1641720,1828889,1553477,1623976,1748401,2413335,1921957,2152971,1927322,
长期借款(万元),2212800,2358260,2221564,2133433,2557250,2348278,2158846,1811881,2112929,
应付债券(万元),--,--,--,--,844502,--,--,--,--,
长期应付款(万元),67575,52366,26867,5758,6901,3000,3000,3000,3000,
专项应付款(万元),--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,
长期递延收益(万元),31005,35634,37993,41673,43904,--,--,--,--,
递延所得税负债(万元),78504,117083,96381,105094,106451,51962,66634,54768,65701,
其他非流动负债(万元),22774,16285,16587,69495,--,44622,40000,39479,47413,
非流动负债合计(万元),2412657,2579627,2399392,2355453,3559008,2447862,2268481,1909128,2229043,
负债合计(万元),4054378,4408517,3952869,3979430,5307409,4861198,4190437,4062100,4156364,
实收资本(或股本)(万元),1360069,1360069,1360069,1360069,1183706,910543,803334,770000,330000,
资本公积(万元),2410277,2409231,2383077,2341981,1658481,1835545,1332523,1216401,1654603,
减:库存股(万元),--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,
盈余公积(万元),361081,316009,262048,198676,137423,77086,50940,10864,26490,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,
未分配利润(万元),1860824,1737330,1638410,1441295,1144917,790988,592583,380688,543872,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),6119546,6077814,5827669,5561879,4347227,3614162,2779380,2377953,2554965,
少数股东权益(万元),795711,802007,803120,824922,765723,726410,1167981,1111688,1139847,
所有者权益(或股东权益)合计(万元),6915257,6879821,6630789,6386801,5112950,4340573,3947361,3489641,3694812,
负债和所有者权益(或股东权益)总计(万元),10969634,11288338,10583658,10366231,10420359,9201770,8137798,7551741,7851176,		
  
