报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),25931,15799,3836,4744,
结算备付金(万元),--,--,--,--,
拆出资金(万元),--,--,--,--,
交易性金融资产(万元),--,--,--,--,
衍生金融资产(万元),--,--,--,--,
应收票据(万元),100,294,180,--,
应收账款(万元),6823,3504,4966,1457,
预付款项(万元),883,1169,854,626,
应收保费(万元),--,--,--,--,
应收分保账款(万元),--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,
应收利息(万元),--,--,--,--,
应收股利(万元),--,--,--,--,
其他应收款(万元),301,464,542,530,
应收出口退税(万元), --,--,--,--,
应收补贴款(万元),--,--,--,--,
应收保证金(万元),--,--,--,--,
内部应收款(万元),--,--,--,--,
买入返售金融资产(万元),--,--,--,--,
存货(万元),31332,25065,16595,11752,
待摊费用(万元),--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,
其他流动资产(万元),3017,3693,1690,1760,
流动资产合计(万元),68388,49988,28663,20871,
发放贷款及垫款(万元),--,--,--,--,
可供出售金融资产(万元),1000,1000,400,--,
持有至到期投资(万元),--,--,--,--,
长期应收款(万元),--,--,--,--,
长期股权投资(万元),--,--,--,139,
其他长期投资(万元),--,--,--,--,
投资性房地产(万元),--,--,--,--,
固定资产原值(万元),19572,--,--,--,
累计折旧(万元),8343,--,--,--,
固定资产净值(万元),11229,--,--,--,
固定资产减值准备(万元),--,--,--,--,
固定资产(万元),11229,6187,4137,3854,
在建工程(万元),3125,331,--,--,
工程物资(万元),--,--,--,--,
固定资产清理(万元),--,--,--,--,
生产性生物资产(万元),--,--,--,--,
公益性生物资产(万元),--,--,--,--,
油气资产(万元),--,--,--,--,
无形资产(万元),20014,13328,8965,1073,
开发支出(万元),--,--,--,--,
商誉(万元),--,--,--,--,
长期待摊费用(万元),815,692,217,268,
股权分置流通权(万元),--,--,--,--,
递延所得税资产(万元),1168,1363,818,370,
其他非流动资产(万元),169,--,--,--,
非流动资产合计(万元),37520,22901,14538,5704,
资产总计(万元),105909,72890,43200,26575,
短期借款(万元),--,--,700,2200,
向中央银行借款(万元),--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,
拆入资金(万元),--,--,--,--,
交易性金融负债(万元),--,--,--,--,
衍生金融负债(万元),--,--,--,--,
应付票据(万元),21089,9070,900,--,
应付账款(万元),21358,15730,17289,6461,
预收账款(万元),2336,2070,1261,1063,
卖出回购金融资产款(万元),--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,
应付职工薪酬(万元),3244,2585,1499,1097,
应交税费(万元),3572,3720,4219,3819,
应付利息(万元),--,--,--,--,
应付股利(万元),--,--,--,3200,
其他应交款(万元),--,--,--,--,
应付保证金(万元),--,--,--,--,
内部应付款(万元),--,--,--,--,
其他应付款(万元),2358,1324,898,2979,
预提费用(万元),--,--,--,--,
预计流动负债(万元),--,--,--,--,
应付分保账款(万元),--,--,--,--,
保险合同准备金(万元),--,--,--,--,
代理买卖证券款(万元),--,--,--,--,
代理承销证券款(万元),--,--,--,--,
国际票证结算(万元),--,--,--,--,
国内票证结算(万元),--,--,--,--,
递延收益(万元),--,--,--,--,
应付短期债券(万元),--,--,--,--,
一年内到期的非流动负债(万元),--,588,--,--,
其他流动负债(万元),4622,6592,4167,3015,
流动负债合计(万元),58579,41679,30932,23835,
长期借款(万元),1112,3574,--,283,
应付债券(万元),--,--,--,--,
长期应付款(万元),--,--,--,--,
专项应付款(万元),--,--,--,--,
预计非流动负债(万元),246,216,175,165,
长期递延收益(万元),--,--,--,--,
递延所得税负债(万元),--,--,--,--,
其他非流动负债(万元),--,--,--,--,
非流动负债合计(万元),1358,3790,175,448,
负债合计(万元),59938,45469,31107,24283,
实收资本(或股本)(万元),9000,9000,1117,1000,
资本公积(万元),6290,4748,1283,150,
减:库存股(万元),--,--,--,--,
专项储备(万元),--,--,--,--,
盈余公积(万元),1586,84,559,500,
一般风险准备(万元),--,--,--,--,
未确定的投资损失(万元),--,--,--,--,
未分配利润(万元),29095,13589,9135,642,
拟分配现金股利(万元),--,--,--,--,
外币报表折算差额(万元),--,--,--,--,
归属于母公司股东权益合计(万元),45971,27421,12094,2292,
少数股东权益(万元),--,--,--,--,
所有者权益(或股东权益)合计(万元),45971,27421,12094,2292,
负债和所有者权益(或股东权益)总计(万元),105909,72890,43200,26575,		
  
