报告日期,2018-12-31,2017-12-31,
货币资金(万元),200,3468,
结算备付金(万元),--,--,
拆出资金(万元),--,--,
交易性金融资产(万元),--,--,
衍生金融资产(万元),--,--,
应收票据(万元),370,520,
应收账款(万元),13292,10112,
预付款项(万元),190,208,
应收保费(万元),--,--,
应收分保账款(万元),--,--,
应收分保合同准备金(万元),--,--,
应收利息(万元),--,--,
应收股利(万元),--,--,
其他应收款(万元),247,535,
应收出口退税(万元), --,--,
应收补贴款(万元),--,--,
应收保证金(万元),--,--,
内部应收款(万元),--,--,
买入返售金融资产(万元),--,--,
存货(万元),7785,10273,
待摊费用(万元),--,--,
待处理流动资产损益(万元),--,--,
一年内到期的非流动资产(万元),--,--,
其他流动资产(万元),64,86,
流动资产合计(万元),22148,25203,
发放贷款及垫款(万元),--,--,
可供出售金融资产(万元),--,--,
持有至到期投资(万元),--,--,
长期应收款(万元),--,--,
长期股权投资(万元),--,--,
其他长期投资(万元),--,--,
投资性房地产(万元),--,--,
固定资产原值(万元),--,--,
累计折旧(万元),--,--,
固定资产净值(万元),--,--,
固定资产减值准备(万元),--,--,
固定资产(万元),14634,15857,
在建工程(万元),--,26,
工程物资(万元),--,--,
固定资产清理(万元),--,--,
生产性生物资产(万元),--,--,
公益性生物资产(万元),--,--,
油气资产(万元),--,--,
无形资产(万元),3903,4108,
开发支出(万元),--,--,
商誉(万元),--,--,
长期待摊费用(万元),684,587,
股权分置流通权(万元),--,--,
递延所得税资产(万元),215,112,
其他非流动资产(万元),--,--,
非流动资产合计(万元),19436,20690,
资产总计(万元),41584,45893,
短期借款(万元),2751,38,
向中央银行借款(万元),--,--,
吸收存款及同业存放(万元),--,--,
拆入资金(万元),--,--,
交易性金融负债(万元),--,--,
衍生金融负债(万元),--,--,
应付票据(万元),--,6223,
应付账款(万元),20740,20422,
预收账款(万元),158,98,
卖出回购金融资产款(万元),--,--,
应付手续费及佣金(万元),--,--,
应付职工薪酬(万元),549,275,
应交税费(万元),383,45,
应付利息(万元),200,--,
应付股利(万元),--,--,
其他应交款(万元),--,--,
应付保证金(万元),--,--,
内部应付款(万元),--,--,
其他应付款(万元),1633,48,
预提费用(万元),--,--,
预计流动负债(万元),--,--,
应付分保账款(万元),--,--,
保险合同准备金(万元),--,--,
代理买卖证券款(万元),--,--,
代理承销证券款(万元),--,--,
国际票证结算(万元),--,--,
国内票证结算(万元),--,--,
递延收益(万元),--,--,
应付短期债券(万元),--,--,
一年内到期的非流动负债(万元),--,--,
其他流动负债(万元),--,--,
流动负债合计(万元),26415,27149,
长期借款(万元),--,--,
应付债券(万元),--,--,
长期应付款(万元),--,--,
专项应付款(万元),--,--,
预计非流动负债(万元),436,436,
长期递延收益(万元),590,707,
递延所得税负债(万元),--,--,
其他非流动负债(万元),--,--,
非流动负债合计(万元),1026,1144,
负债合计(万元),27441,28293,
实收资本(或股本)(万元),85272,85272,
资本公积(万元),-95438,-95438,
减:库存股(万元),--,--,
专项储备(万元),--,--,
盈余公积(万元),639,639,
一般风险准备(万元),--,--,
未确定的投资损失(万元),--,--,
未分配利润(万元),23669,27126,
拟分配现金股利(万元),--,--,
外币报表折算差额(万元),--,--,
归属于母公司股东权益合计(万元),14143,17600,
少数股东权益(万元),--,--,
所有者权益(或股东权益)合计(万元),14143,17600,
负债和所有者权益(或股东权益)总计(万元),41584,45893,		
  
