报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),13440,18803,10753,10313,4080,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),1297,500,754,492,25,
应收账款(万元),50037,35475,29141,21117,12397,
预付款项(万元),3921,1954,3014,4995,519,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),3802,1988,3042,2162,3410,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),533,2081,628,47,98,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),37423,8182,5407,100,1600,
流动资产合计(万元),110453,68984,52739,39227,22129,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),--,--,--,466,414,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),851,480,493,506,519,
固定资产原值(万元),48319,21766,17096,19258,--,
累计折旧(万元),16249,10956,8975,8914,--,
固定资产净值(万元),32069,10810,8121,10343,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),32069,10810,8121,10343,9489,
在建工程(万元),9635,9921,3738,549,56,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,0,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),18777,14241,10537,5759,4421,
开发支出(万元),--,--,--,--,--,
商誉(万元),10757,8544,7965,2562,--,
长期待摊费用(万元),169,70,654,--,29,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),430,21,13,20,5,
其他非流动资产(万元),2570,660,294,189,1027,
非流动资产合计(万元),75260,44746,31816,20394,15961,
资产总计(万元),185714,113730,84555,59620,38091,
短期借款(万元),8000,9000,--,--,1318,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),--,359,--,--,--,
应付账款(万元),26051,19025,13182,10586,6031,
预收账款(万元),449,324,131,101,125,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),2682,1504,1200,793,338,
应交税费(万元),1431,1916,2122,859,1332,
应付利息(万元),27,15,--,448,342,
应付股利(万元),--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),3155,1707,2025,1701,5657,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,
其他流动负债(万元),1413,783,--,--,--,
流动负债合计(万元),43209,34632,18659,14488,15142,
长期借款(万元),12178,1200,--,--,--,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),95,2334,1911,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),498,1188,68,--,--,
递延所得税负债(万元),3194,725,490,24,37,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),15965,5446,2469,24,37,
负债合计(万元),59173,40079,21129,14513,15180,
实收资本(或股本)(万元),15247,11435,11435,10000,722,
资本公积(万元),64816,29710,28598,18607,415,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),2491,1701,924,588,292,
盈余公积(万元),791,562,390,47,361,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),41718,28732,20535,15275,21143,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),125224,72289,62046,44667,22911,
少数股东权益(万元),1317,1362,1380,441,--,
所有者权益(或股东权益)合计(万元),126540,73651,63426,45108,22911,
负债和所有者权益(或股东权益)总计(万元),185714,113730,84555,59620,38091,		
  
