报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),16515,11748,9667,16664,3803,7726,5942,4816,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),918,810,250,120,100,--,--,--,
应收账款(万元),13321,16679,15232,14658,14169,9028,7720,6389,
预付款项(万元),201,92,124,119,315,346,613,75,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,14,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),781,483,432,204,148,220,187,172,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),--,--,--,--,--,--,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),12,--,--,--,--,--,--,332,
流动资产合计(万元),31747,29813,25706,31764,18535,17334,14462,11784,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),10,17,--,--,--,--,--,--,
长期股权投资(万元),22,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),1429,1142,1044,1244,209,217,--,--,
固定资产原值(万元),7195,7360,7376,7360,7511,7319,2025,2119,
累计折旧(万元),2210,2106,1854,1685,1388,1030,919,766,
固定资产净值(万元),4985,5254,5523,5675,6123,6289,1106,1353,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),4985,5254,5523,5675,6123,6289,1106,1353,
在建工程(万元),165,--,--,--,--,--,2,--,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),209,284,125,164,194,154,154,197,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,
长期待摊费用(万元),379,520,655,586,892,688,89,164,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),1131,965,886,561,327,171,122,73,
其他非流动资产(万元),287,805,376,331,308,--,--,--,
非流动资产合计(万元),8616,8986,8609,8559,8053,7520,1474,1787,
资产总计(万元),40363,38799,34315,40324,26588,24854,15936,13571,
短期借款(万元),1500,2500,--,4100,2000,1550,180,600,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),--,42,--,--,--,--,--,--,
应付账款(万元),1458,1323,967,1138,998,585,339,377,
预收账款(万元),757,434,144,470,1198,969,792,723,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2932,1110,630,1514,2130,2712,2248,1809,
应交税费(万元),534,352,705,581,1088,1175,560,238,
