报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),27993,12094,21659,57026,52639,79684,98333,114249,11437,12001,2302,1296,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),5545,7496,3751,3949,1643,560,846,831,192,--,--,0,
应收账款(万元),10060,8263,9822,6215,7553,5581,4623,4370,4422,3558,1740,3008,
预付款项(万元),2609,412,1295,744,1082,302,401,802,801,431,96,0,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,0,
应收利息(万元),138,182,329,67,140,1413,1656,1607,--,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,0,
其他应收款(万元),288,530,398,1283,1190,436,162,328,523,273,951,253,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,
存货(万元),11571,9672,8981,12121,7919,8255,5811,7007,6917,4507,5417,4285,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,
其他流动资产(万元),33508,44266,35251,7589,16445,12000,--,--,305,52,52,0,
流动资产合计(万元),91714,82915,81486,88995,88610,108231,111832,129194,24597,20822,10559,8842,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,0,
可供出售金融资产(万元),--,7593,7775,7599,3501,--,--,--,--,--,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,0,
长期股权投资(万元),--,1270,1350,1425,1490,1050,1050,--,--,--,--,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,0,
投资性房地产(万元),3464,3609,3755,3901,4047,--,--,--,--,--,--,0,
固定资产原值(万元),44962,42056,42881,40116,39960,42500,40537,17694,9699,7573,--,0,
累计折旧(万元),17234,14910,13714,10979,9217,6888,4765,4373,3278,2117,--,0,
固定资产净值(万元),27728,27145,29167,29137,30743,35612,35772,13321,6421,5456,--,0,
固定资产减值准备(万元),211,--,--,--,--,--,244,438,--,--,--,0,
固定资产(万元),27517,27145,29167,29137,30743,35612,35529,12883,6421,5456,3999,2024,
在建工程(万元),1234,755,875,869,932,976,807,11867,1307,589,456,455,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,
