报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),48282,28658,32651,29613,35455,55690,79268,87931,8065,17445,4822,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),2896,7580,4796,4963,4552,4278,3970,2576,4142,2791,1149,
应收账款(万元),19107,35982,29975,26182,27485,23034,22932,23121,14753,6931,7141,
预付款项(万元),756,2424,1528,2617,2096,8672,1927,1382,2966,3608,2290,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,80,13,143,299,304,--,--,--,
应收股利(万元),173,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),2836,1034,720,508,532,434,3379,729,538,471,341,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),23684,29080,21961,20810,24027,21919,15762,18177,18546,11643,16950,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),17680,28638,26586,28026,23270,16200,--,--,--,--,--,
流动资产合计(万元),121751,137055,118218,112801,117430,130370,127537,134219,49010,42889,32692,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1224,1224,3224,2000,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),11316,403,398,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),90788,91359,91503,90139,76319,55103,48678,43370,41108,37556,37274,
累计折旧(万元),43374,38294,34491,28606,23229,19300,15962,15470,13343,11021,9131,
固定资产净值(万元),47414,53065,57013,61533,53090,35803,32716,27900,27765,26534,28143,
固定资产减值准备(万元),62,79,79,91,94,92,92,94,93,92,96,
固定资产(万元),47352,52987,56934,61442,52996,35710,32624,27806,27672,26442,28047,
在建工程(万元),902,1311,533,562,7892,16830,9335,8248,3586,3280,2463,
工程物资(万元),--,--,--,--,0,0,--,--,3,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,75,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),10094,10379,11166,11587,9916,10273,7847,8149,8509,4474,4845,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),89,4475,2736,2736,89,89,89,89,89,89,89,
长期待摊费用(万元),--,1010,--,--,--,--,--,--,--,0,1,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),2845,2967,2107,2432,1491,1292,847,737,689,367,366,
其他非流动资产(万元),424,452,406,883,4307,--,--,--,--,--,--,
非流动资产合计(万元),74245,75206,77503,81641,76692,64195,50743,45104,40547,34652,35810,
资产总计(万元),195996,212261,195721,194442,194121,194565,178279,179323,89557,77542,68503,
