报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),91041,85705,43355,30022,32976,34957,60185,43702,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,97,--,--,--,--,
应收账款(万元),269,913,1094,326,96,40,164,203,
预付款项(万元),1620,1593,1069,1463,3012,6574,11943,12834,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),2048,2195,2693,2660,3481,4892,6487,19157,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),8618,7778,8368,9971,10034,10573,10247,9893,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),432,1627,104,163,430,--,--,--,
流动资产合计(万元),104027,99811,56683,44703,50029,57035,89026,85789,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),30456,36634,36770,26131,3080,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),2227,--,--,--,--,3080,3080,2603,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),10345,10829,11313,9090,9357,4336,4144,1852,
固定资产原值(万元),144843,143422,142980,--,--,126224,--,--,
累计折旧(万元),49163,43883,38426,--,--,25452,--,--,
固定资产净值(万元),95680,99539,104553,--,--,100772,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),95680,99539,104553,90178,93748,100772,105738,103020,
在建工程(万元),12024,10122,10280,23345,21289,18113,10748,23147,
工程物资(万元),167,153,193,212,229,153,2,63,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
