报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),28790,21964,375,98,
结算备付金(万元),--,--,--,--,
拆出资金(万元),--,--,--,--,
交易性金融资产(万元),--,--,--,--,
衍生金融资产(万元),--,--,--,--,
应收票据(万元),11078,13955,2961,--,
应收账款(万元),19509,18780,17508,5894,
预付款项(万元),28,192,134,135,
应收保费(万元),--,--,--,--,
应收分保账款(万元),--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,
应收利息(万元),--,--,--,--,
应收股利(万元),--,--,--,--,
其他应收款(万元),--,371,432,93,
应收出口退税(万元), --,--,--,--,
应收补贴款(万元),--,--,--,--,
应收保证金(万元),--,--,--,--,
内部应收款(万元),--,--,--,--,
买入返售金融资产(万元),--,--,--,--,
存货(万元),4115,3160,4624,2100,
待摊费用(万元),--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,
其他流动资产(万元),55,54,38,213,
流动资产合计(万元),63951,58475,26072,8533,
发放贷款及垫款(万元),--,--,--,--,
可供出售金融资产(万元),--,--,--,--,
持有至到期投资(万元),--,--,--,--,
长期应收款(万元),--,--,--,--,
长期股权投资(万元),--,--,--,--,
其他长期投资(万元),--,--,--,--,
投资性房地产(万元),--,--,--,--,
固定资产原值(万元),42044,--,--,--,
累计折旧(万元),7896,--,--,--,
固定资产净值(万元),34148,--,--,--,
固定资产减值准备(万元),--,--,--,--,
固定资产(万元),34148,32403,15687,5779,
在建工程(万元),--,892,661,353,
工程物资(万元),--,--,--,--,
固定资产清理(万元),--,--,--,--,
生产性生物资产(万元),--,--,--,--,
公益性生物资产(万元),--,--,--,--,
油气资产(万元),--,--,--,--,
无形资产(万元),5855,1751,1778,850,
开发支出(万元),--,--,--,--,
商誉(万元),--,--,--,--,
长期待摊费用(万元),175,261,253,293,
股权分置流通权(万元),--,--,--,--,
递延所得税资产(万元),600,296,517,296,
其他非流动资产(万元),154,1635,1752,512,
非流动资产合计(万元),43034,37239,20647,8082,
资产总计(万元),106985,95715,46719,16615,
短期借款(万元),2000,--,1500,--,
向中央银行借款(万元),--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,
拆入资金(万元),--,--,--,--,
交易性金融负债(万元),--,--,--,--,
衍生金融负债(万元),--,--,--,--,
应付票据(万元),4966,9994,4505,--,
应付账款(万元),8425,8597,9082,4417,
预收账款(万元),--,--,--,7,
卖出回购金融资产款(万元),--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,
应付职工薪酬(万元),871,1107,882,344,
应交税费(万元),2830,3188,3654,749,
应付利息(万元),23,--,--,--,
应付股利(万元),--,--,--,--,
其他应交款(万元),--,--,--,--,
应付保证金(万元),--,--,--,--,
内部应付款(万元),--,--,--,--,
其他应付款(万元),8,66,72,3616,
预提费用(万元),--,--,--,--,
预计流动负债(万元),--,--,--,--,
应付分保账款(万元),--,--,--,--,
保险合同准备金(万元),--,--,--,--,
代理买卖证券款(万元),--,--,--,--,
代理承销证券款(万元),--,--,--,--,
国际票证结算(万元),--,--,--,--,
国内票证结算(万元),--,--,--,--,
递延收益(万元),--,--,--,--,
应付短期债券(万元),--,--,--,--,
一年内到期的非流动负债(万元),--,680,919,--,
其他流动负债(万元),--,--,--,--,
流动负债合计(万元),19124,23632,20614,9133,
长期借款(万元),--,--,--,--,
应付债券(万元),--,--,--,--,
长期应付款(万元),--,--,642,--,
专项应付款(万元),--,--,--,--,
预计非流动负债(万元),--,--,--,--,
长期递延收益(万元),2933,940,960,418,
递延所得税负债(万元),--,--,--,--,
其他非流动负债(万元),--,--,--,--,
非流动负债合计(万元),2933,940,1602,418,
负债合计(万元),22057,24572,22216,9551,
实收资本(或股本)(万元),15120,15120,7000,5000,
资本公积(万元),42472,42472,1600,--,
减:库存股(万元),--,--,--,--,
专项储备(万元),--,--,--,--,
盈余公积(万元),1543,351,1139,213,
一般风险准备(万元),--,--,--,--,
未确定的投资损失(万元),--,--,--,--,
未分配利润(万元),25792,13200,14764,1850,
拟分配现金股利(万元),--,--,--,--,
外币报表折算差额(万元),--,--,--,--,
归属于母公司股东权益合计(万元),84928,71143,24503,7064,
少数股东权益(万元),--,--,--,--,
所有者权益(或股东权益)合计(万元),84928,71143,24503,7064,
负债和所有者权益(或股东权益)总计(万元),106985,95715,46719,16615,		
  
